,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-09 20:00:00-04:00,1419.0,1427.25,1418.0,1425.25,687,275,975746.0
2021-05-09 20:01:00-04:00,1425.5,1425.75,1422.0,1423.5,220,120,313213.5
2021-05-09 20:02:00-04:00,1423.5,1423.5,1420.25,1421.5,101,65,143573.25
2021-05-09 20:03:00-04:00,1421.5,1425.25,1421.5,1425.0,96,34,136594.25
2021-05-09 20:04:00-04:00,1425.0,1425.25,1424.25,1425.0,67,31,95466.75
2021-05-09 20:05:00-04:00,1425.0,1425.0,1421.5,1421.75,60,38,85363.5
2021-05-09 20:06:00-04:00,1422.0,1424.25,1422.0,1424.25,37,21,52651.0
2021-05-09 20:07:00-04:00,1424.25,1425.75,1424.25,1425.0,50,34,71255.75
2021-05-09 20:08:00-04:00,1425.25,1426.5,1424.5,1424.75,56,36,79817.0
2021-05-09 20:09:00-04:00,1424.75,1425.0,1423.5,1423.75,34,20,48426.5
2021-05-09 20:10:00-04:00,1424.0,1425.75,1424.0,1425.25,19,11,27075.75
2021-05-09 20:11:00-04:00,1424.5,1424.75,1423.75,1424.0,23,15,32756.25
2021-05-09 20:12:00-04:00,1424.0,1424.0,1423.25,1423.25,18,12,25624.0
2021-05-09 20:13:00-04:00,1423.25,1423.5,1422.5,1422.75,9,5,12806.75
2021-05-09 20:14:00-04:00,1422.5,1423.0,1422.5,1422.5,11,8,15650.5
2021-05-09 20:15:00-04:00,1423.0,1423.25,1422.75,1422.75,24,15,34149.75
2021-05-09 20:16:00-04:00,1423.0,1423.5,1422.75,1423.0,21,12,29886.75
2021-05-09 20:17:00-04:00,1423.5,1423.5,1423.5,1423.5,5,4,7117.5
2021-05-09 20:18:00-04:00,1423.75,1424.75,1423.75,1424.0,43,14,61237.0
2021-05-09 20:19:00-04:00,1424.25,1424.75,1424.25,1424.25,18,9,25640.5
2021-05-09 20:20:00-04:00,1424.0,1424.5,1423.75,1424.5,16,11,22786.75
2021-05-09 20:21:00-04:00,1423.25,1423.75,1420.5,1420.5,266,54,378158.0
2021-05-09 20:22:00-04:00,1420.5,1420.75,1420.5,1420.75,11,9,15626.5
2021-05-09 20:23:00-04:00,1420.0,1420.0,1417.75,1418.5,87,31,123429.25
2021-05-09 20:24:00-04:00,1418.75,1419.25,1418.25,1418.25,52,32,73770.75
2021-05-09 20:25:00-04:00,1419.0,1419.0,1417.75,1418.25,68,33,96441.0
2021-05-09 20:26:00-04:00,1418.25,1418.75,1417.75,1418.25,21,13,29779.5
2021-05-09 20:27:00-04:00,1418.25,1420.25,1417.75,1419.5,60,40,85140.0
2021-05-09 20:28:00-04:00,1419.25,1419.5,1418.0,1419.25,36,15,51071.0
2021-05-09 20:29:00-04:00,1418.75,1419.25,1418.75,1419.25,6,5,8513.75
2021-05-09 20:30:00-04:00,1419.75,1420.75,1418.75,1418.75,36,14,51124.5
2021-05-09 20:31:00-04:00,1419.0,1419.0,1419.0,1419.0,2,1,2838.0
2021-05-09 20:32:00-04:00,1419.25,1420.0,1419.0,1420.0,9,7,12775.25
2021-05-09 20:33:00-04:00,1420.25,1420.75,1419.5,1420.5,57,17,80952.75
2021-05-09 20:34:00-04:00,1420.25,1420.25,1419.5,1419.75,12,10,17041.0
2021-05-09 20:35:00-04:00,1420.25,1420.25,1419.25,1419.5,15,9,21292.5
2021-05-09 20:36:00-04:00,1419.75,1420.5,1419.75,1420.5,12,9,17042.5
2021-05-09 20:37:00-04:00,1420.5,1420.75,1420.0,1420.25,16,7,22728.5
2021-05-09 20:38:00-04:00,1419.75,1419.75,1419.25,1419.25,3,2,4258.75
2021-05-09 20:39:00-04:00,1419.25,1419.5,1418.5,1419.5,32,13,45405.75
2021-05-09 20:40:00-04:00,1419.75,1420.5,1419.25,1419.25,9,6,12781.0
2021-05-09 20:41:00-04:00,1418.75,1419.25,1418.75,1419.25,22,8,31213.5
2021-05-09 20:42:00-04:00,1419.75,1419.75,1419.0,1419.75,19,9,26969.0
2021-05-09 20:43:00-04:00,1419.5,1420.0,1419.5,1420.0,10,4,14198.25
2021-05-09 20:44:00-04:00,1420.25,1420.25,1419.75,1419.75,19,15,26978.5
2021-05-09 20:45:00-04:00,1420.0,1420.0,1419.25,1419.75,14,7,19872.0
2021-05-09 20:46:00-04:00,1419.75,1419.75,1419.75,1419.75,7,7,9938.25
2021-05-09 20:47:00-04:00,1419.75,1419.75,1419.25,1419.5,15,8,21292.0
2021-05-09 20:48:00-04:00,1419.5,1420.25,1418.5,1420.0,115,31,163243.0
2021-05-09 20:49:00-04:00,1420.25,1421.25,1420.25,1421.25,37,13,52574.75
2021-05-09 20:50:00-04:00,1421.25,1422.0,1421.25,1421.75,17,13,24168.0
2021-05-09 20:51:00-04:00,1421.75,1423.5,1421.75,1422.5,74,23,105268.5
2021-05-09 20:52:00-04:00,1422.25,1422.5,1422.0,1422.0,10,6,14222.25
2021-05-09 20:53:00-04:00,1421.75,1421.75,1421.75,1421.75,1,1,1421.75
2021-05-09 20:54:00-04:00,1422.25,1422.5,1422.25,1422.25,5,3,7111.75
2021-05-09 20:55:00-04:00,1421.75,1422.5,1421.75,1422.5,70,17,99556.75
2021-05-09 20:56:00-04:00,1422.5,1423.0,1422.5,1422.75,20,12,28453.0
2021-05-09 20:57:00-04:00,1423.0,1423.0,1422.75,1422.75,2,2,2845.75
2021-05-09 20:58:00-04:00,1423.25,1423.25,1422.5,1422.5,6,4,8538.5
2021-05-09 20:59:00-04:00,1422.5,1422.75,1422.0,1422.0,3,3,4267.25
2021-05-09 21:00:00-04:00,1421.5,1421.5,1420.5,1421.25,44,27,62524.25
2021-05-09 21:01:00-04:00,1421.0,1421.75,1420.75,1421.0,12,10,17053.5
2021-05-09 21:02:00-04:00,1421.25,1422.0,1421.0,1422.0,19,13,27007.0
2021-05-09 21:03:00-04:00,1422.5,1422.75,1422.0,1422.25,21,12,29868.25
2021-05-09 21:04:00-04:00,1421.5,1421.5,1421.25,1421.25,6,5,8528.25
2021-05-09 21:05:00-04:00,1421.75,1421.75,1421.25,1421.5,11,9,15637.75
2021-05-09 21:06:00-04:00,1422.0,1422.75,1422.0,1422.75,13,11,18490.75
2021-05-09 21:07:00-04:00,1423.0,1424.0,1423.0,1423.0,17,12,24198.75
2021-05-09 21:08:00-04:00,1423.75,1423.75,1423.75,1423.75,11,2,15661.25
2021-05-09 21:09:00-04:00,1423.25,1423.75,1423.0,1423.75,11,7,15656.75
2021-05-09 21:11:00-04:00,1423.25,1423.75,1423.0,1423.75,13,8,18504.0
