,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-08 20:58:00-04:00,78.71,78.71,78.71,78.71,2,1,157.42
2021-09-08 21:24:00-04:00,78.715,78.715,78.715,78.715,2,1,157.43
2021-09-09 03:30:00-04:00,78.61,78.61,78.61,78.61,1,1,78.61
2021-09-09 05:11:00-04:00,78.74,78.74,78.74,78.74,1,1,78.74
2021-09-09 08:11:00-04:00,78.925,78.925,78.925,78.925,2,2,157.85
2021-09-09 09:50:00-04:00,78.965,78.965,78.965,78.965,2,1,157.93
2021-09-09 09:51:00-04:00,78.965,78.965,78.965,78.965,1,1,78.965
2021-09-09 10:23:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-09 10:57:00-04:00,79.055,79.055,79.055,79.055,1,1,79.055
2021-09-09 11:39:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-09 15:50:00-04:00,79.045,79.045,79.045,79.045,1,1,79.045
