,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-08 20:58:00-04:00,78.715,78.715,78.715,78.715,2,1,157.43
2021-09-09 00:32:00-04:00,78.65,78.65,78.65,78.65,1,1,78.65
2021-09-09 01:55:00-04:00,78.63,78.635,78.63,78.635,5,2,393.16
2021-09-09 03:30:00-04:00,78.61,78.61,78.61,78.61,3,1,235.83
2021-09-09 04:24:00-04:00,78.77,78.77,78.77,78.77,1,1,78.77
2021-09-09 04:44:00-04:00,78.76,78.76,78.76,78.76,1,1,78.76
2021-09-09 08:00:00-04:00,78.915,78.915,78.905,78.905,6,4,473.45
2021-09-09 08:14:00-04:00,78.92,78.92,78.92,78.92,6,1,473.52
2021-09-09 08:34:00-04:00,78.79,78.79,78.79,78.79,5,1,393.95
2021-09-09 08:47:00-04:00,78.73,78.73,78.73,78.73,1,1,78.73
2021-09-09 09:17:00-04:00,78.865,78.865,78.865,78.865,2,1,157.73
2021-09-09 09:23:00-04:00,78.85,78.85,78.85,78.85,1,1,78.85
2021-09-09 09:32:00-04:00,78.845,78.845,78.845,78.845,1,1,78.845
2021-09-09 09:50:00-04:00,78.97,78.97,78.97,78.97,2,1,157.94
2021-09-09 09:51:00-04:00,78.97,78.97,78.97,78.97,3,1,236.91
2021-09-09 09:58:00-04:00,78.96,78.96,78.96,78.96,2,1,157.92
2021-09-09 10:00:00-04:00,78.96,78.96,78.96,78.96,2,1,157.92
2021-09-09 10:05:00-04:00,78.965,78.965,78.965,78.965,1,1,78.965
2021-09-09 10:23:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-09 10:26:00-04:00,78.985,78.985,78.985,78.985,2,1,157.97
2021-09-09 10:27:00-04:00,78.99,78.99,78.99,78.99,1,1,78.99
2021-09-09 10:46:00-04:00,79.02,79.02,79.02,79.02,1,1,79.02
2021-09-09 10:47:00-04:00,79.025,79.025,79.025,79.025,2,1,158.05
2021-09-09 11:01:00-04:00,79.065,79.065,79.065,79.065,2,1,158.13
2021-09-09 11:19:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-09 11:56:00-04:00,79.01,79.01,79.01,79.01,1,1,79.01
2021-09-09 12:01:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
2021-09-09 12:15:00-04:00,79.07,79.07,79.07,79.07,1,1,79.07
2021-09-09 12:22:00-04:00,79.095,79.095,79.095,79.095,1,1,79.095
2021-09-09 12:49:00-04:00,79.18,79.18,79.18,79.18,1,1,79.18
2021-09-09 12:58:00-04:00,79.17,79.17,79.17,79.17,2,1,158.34
2021-09-09 14:19:00-04:00,79.07,79.07,79.07,79.07,1,1,79.07
