,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-12 00:31:00-04:00,79.965,79.965,79.965,79.965,1,1,79.965
2021-08-12 01:02:00-04:00,79.955,79.955,79.955,79.955,1,1,79.955
2021-08-12 01:32:00-04:00,79.965,79.965,79.965,79.965,1,1,79.965
2021-08-12 01:43:00-04:00,79.945,79.945,79.945,79.945,1,1,79.945
2021-08-12 02:02:00-04:00,79.925,79.925,79.925,79.925,1,1,79.925
2021-08-12 04:15:00-04:00,79.87,79.87,79.87,79.87,1,1,79.87
2021-08-12 04:25:00-04:00,79.875,79.875,79.87,79.87,4,2,319.485
2021-08-12 04:28:00-04:00,79.87,79.87,79.87,79.87,1,1,79.87
2021-08-12 04:38:00-04:00,79.89,79.89,79.89,79.89,5,1,399.45
2021-08-12 04:39:00-04:00,79.895,79.895,79.89,79.89,2,2,159.785
2021-08-12 04:40:00-04:00,79.91,79.91,79.91,79.91,1,1,79.91
2021-08-12 05:00:00-04:00,79.92,79.92,79.92,79.92,2,2,159.84
2021-08-12 05:52:00-04:00,79.92,79.92,79.92,79.92,2,2,159.84
2021-08-12 05:54:00-04:00,79.905,79.91,79.905,79.91,2,2,159.815
2021-08-12 05:55:00-04:00,79.91,79.91,79.91,79.91,1,1,79.91
2021-08-12 06:09:00-04:00,79.905,79.905,79.905,79.905,1,1,79.905
2021-08-12 08:29:00-04:00,79.865,79.865,79.865,79.865,3,1,239.595
2021-08-12 08:46:00-04:00,79.84,79.84,79.84,79.84,10,9,798.4
2021-08-12 08:48:00-04:00,79.84,79.845,79.835,79.845,24,15,1916.21
2021-08-12 08:49:00-04:00,79.85,79.85,79.85,79.85,6,6,479.1
2021-08-12 08:50:00-04:00,79.86,79.86,79.86,79.86,6,5,479.16
2021-08-12 09:31:00-04:00,79.855,79.855,79.855,79.855,2,1,159.71
2021-08-12 09:36:00-04:00,79.845,79.845,79.845,79.845,1,1,79.845
2021-08-12 09:37:00-04:00,79.825,79.825,79.825,79.825,2,2,159.65
2021-08-12 10:03:00-04:00,79.94,79.94,79.94,79.94,5,1,399.7
2021-08-12 10:08:00-04:00,79.895,79.895,79.895,79.895,1,1,79.895
2021-08-12 10:12:00-04:00,79.88,79.88,79.88,79.88,2,2,159.76
2021-08-12 10:13:00-04:00,79.885,79.885,79.885,79.885,1,1,79.885
2021-08-12 10:25:00-04:00,79.93,79.93,79.93,79.93,1,1,79.93
2021-08-12 10:48:00-04:00,79.915,79.915,79.905,79.905,2,2,159.82
2021-08-12 10:54:00-04:00,79.885,79.885,79.885,79.885,1,1,79.885
2021-08-12 10:57:00-04:00,79.845,79.845,79.845,79.845,4,1,319.38
2021-08-12 11:09:00-04:00,79.845,79.845,79.845,79.845,1,1,79.845
2021-08-12 11:12:00-04:00,79.81,79.81,79.81,79.81,2,1,159.62
2021-08-12 11:18:00-04:00,79.835,79.835,79.835,79.835,1,1,79.835
2021-08-12 11:50:00-04:00,79.83,79.83,79.83,79.83,1,1,79.83
2021-08-12 12:00:00-04:00,79.855,79.87,79.855,79.87,2,2,159.725
2021-08-12 12:36:00-04:00,79.865,79.865,79.865,79.865,1,1,79.865
2021-08-12 13:26:00-04:00,79.87,79.87,79.87,79.87,2,1,159.74
2021-08-12 13:39:00-04:00,79.84,79.84,79.84,79.84,1,1,79.84
2021-08-12 13:43:00-04:00,79.85,79.85,79.85,79.85,1,1,79.85
2021-08-12 13:47:00-04:00,79.85,79.85,79.85,79.85,1,1,79.85
2021-08-12 14:09:00-04:00,79.83,79.835,79.83,79.835,4,2,319.33
2021-08-12 14:25:00-04:00,79.81,79.81,79.81,79.81,4,1,319.24
2021-08-12 14:29:00-04:00,79.79,79.79,79.79,79.79,4,2,319.16
2021-08-12 15:00:00-04:00,79.81,79.81,79.81,79.81,3,1,239.43
2021-08-12 15:25:00-04:00,79.805,79.805,79.805,79.805,1,1,79.805
2021-08-12 15:54:00-04:00,79.815,79.815,79.815,79.815,1,1,79.815
