,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-15 09:09:00-05:00,79.855,79.86,79.855,79.86,2,2,159.715
2021-11-15 09:10:00-05:00,79.82,79.82,79.82,79.82,1,1,79.82
2021-11-15 09:36:00-05:00,79.9,79.9,79.9,79.9,1,1,79.9
2021-11-15 10:28:00-05:00,79.995,79.995,79.995,79.995,1,1,79.995
2021-11-15 10:30:00-05:00,79.97,79.97,79.97,79.97,1,1,79.97
