,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-01 20:57:00-04:00,79.175,79.175,79.175,79.175,1,1,79.175
2021-09-01 23:00:00-04:00,79.155,79.155,79.155,79.155,2,2,158.31
2021-09-01 23:11:00-04:00,79.16,79.16,79.16,79.16,2,1,158.32
2021-09-02 01:58:00-04:00,79.255,79.26,79.255,79.26,2,2,158.515
2021-09-02 02:28:00-04:00,79.245,79.245,79.245,79.245,1,1,79.245
2021-09-02 02:40:00-04:00,79.28,79.28,79.28,79.28,1,1,79.28
2021-09-02 03:06:00-04:00,79.375,79.375,79.375,79.375,1,1,79.375
2021-09-02 03:58:00-04:00,79.43,79.43,79.43,79.43,1,1,79.43
2021-09-02 09:33:00-04:00,79.35,79.35,79.35,79.35,1,1,79.35
2021-09-02 10:14:00-04:00,79.395,79.395,79.395,79.395,1,1,79.395
2021-09-02 10:46:00-04:00,79.5,79.5,79.5,79.5,1,1,79.5
2021-09-02 10:55:00-04:00,79.575,79.575,79.575,79.575,2,1,159.15
2021-09-02 11:11:00-04:00,79.655,79.655,79.655,79.655,1,1,79.655
2021-09-02 11:23:00-04:00,79.58,79.58,79.58,79.58,1,1,79.58
2021-09-02 11:31:00-04:00,79.62,79.63,79.61,79.63,30,8,2388.645
2021-09-02 12:24:00-04:00,79.585,79.585,79.585,79.585,6,1,477.51
2021-09-02 13:46:00-04:00,79.625,79.625,79.625,79.625,1,1,79.625
