,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-10 18:09:00-04:00,82.675,82.675,82.675,82.675,1,1,82.675
2021-06-11 01:52:00-04:00,82.74,82.74,82.74,82.74,2,1,165.48
2021-06-11 04:35:00-04:00,82.68,82.68,82.68,82.68,1,1,82.68
2021-06-11 07:04:00-04:00,82.625,82.625,82.625,82.625,2,1,165.25
2021-06-11 07:09:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-06-11 08:07:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-11 09:06:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-06-11 09:11:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-06-11 09:16:00-04:00,82.615,82.615,82.615,82.615,1,1,82.615
2021-06-11 09:17:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-06-11 09:19:00-04:00,82.63,82.63,82.63,82.63,2,1,165.26
2021-06-11 09:43:00-04:00,82.5,82.5,82.5,82.5,2,1,165.0
2021-06-11 09:59:00-04:00,82.485,82.485,82.485,82.485,1,1,82.485
2021-06-11 10:06:00-04:00,82.485,82.485,82.485,82.485,1,1,82.485
2021-06-11 10:22:00-04:00,82.375,82.375,82.375,82.375,1,1,82.375
2021-06-11 10:48:00-04:00,82.34,82.34,82.335,82.335,2,2,164.675
2021-06-11 10:59:00-04:00,82.345,82.345,82.345,82.345,1,1,82.345
2021-06-11 11:10:00-04:00,82.33,82.33,82.33,82.33,1,1,82.33
2021-06-11 11:13:00-04:00,82.27,82.27,82.26,82.265,3,3,246.795
2021-06-11 11:14:00-04:00,82.295,82.295,82.295,82.295,1,1,82.295
2021-06-11 11:18:00-04:00,82.23,82.23,82.23,82.23,1,1,82.23
2021-06-11 11:29:00-04:00,82.25,82.25,82.25,82.25,2,1,164.5
2021-06-11 11:49:00-04:00,82.23,82.23,82.23,82.23,1,1,82.23
2021-06-11 11:56:00-04:00,82.22,82.22,82.22,82.22,2,1,164.44
2021-06-11 13:08:00-04:00,82.175,82.175,82.175,82.175,1,1,82.175
2021-06-11 13:19:00-04:00,82.13,82.13,82.13,82.13,1,1,82.13
2021-06-11 13:20:00-04:00,82.13,82.13,82.13,82.13,1,1,82.13
2021-06-11 15:44:00-04:00,82.21,82.21,82.21,82.21,1,1,82.21
