,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-11 01:06:00-04:00,82.73,82.73,82.73,82.73,1,1,82.73
2021-06-11 08:41:00-04:00,82.55,82.55,82.55,82.55,2,2,165.1
2021-06-11 09:16:00-04:00,82.615,82.615,82.615,82.615,2,1,165.23
2021-06-11 09:17:00-04:00,82.62,82.62,82.62,82.62,2,1,165.24
2021-06-11 10:12:00-04:00,82.385,82.385,82.385,82.385,1,1,82.385
2021-06-11 10:13:00-04:00,82.375,82.375,82.375,82.375,4,3,329.5
2021-06-11 10:20:00-04:00,82.365,82.365,82.365,82.365,1,1,82.365
2021-06-11 10:21:00-04:00,82.38,82.38,82.38,82.38,1,1,82.38
2021-06-11 10:23:00-04:00,82.375,82.375,82.375,82.375,1,1,82.375
2021-06-11 10:26:00-04:00,82.355,82.355,82.355,82.355,1,1,82.355
2021-06-11 10:48:00-04:00,82.34,82.34,82.34,82.34,2,2,164.68
2021-06-11 10:59:00-04:00,82.345,82.345,82.345,82.345,2,2,164.69
2021-06-11 13:14:00-04:00,82.17,82.17,82.17,82.17,9,2,739.53
