,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-16 19:10:00-04:00,78.865,78.865,78.865,78.865,1,1,78.865
2021-09-16 23:49:00-04:00,78.895,78.895,78.895,78.895,1,1,78.895
2021-09-17 01:19:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-17 02:08:00-04:00,78.98,78.98,78.98,78.98,1,1,78.98
2021-09-17 05:44:00-04:00,79.015,79.015,79.015,79.015,1,1,79.015
2021-09-17 07:34:00-04:00,78.94,78.94,78.93,78.93,10,3,789.375
2021-09-17 08:29:00-04:00,79.025,79.025,79.025,79.025,3,1,237.075
2021-09-17 10:52:00-04:00,78.455,78.455,78.455,78.455,2,1,156.91
2021-09-17 10:59:00-04:00,78.42,78.42,78.42,78.42,1,1,78.42
2021-09-17 11:03:00-04:00,78.43,78.43,78.43,78.43,1,1,78.43
2021-09-17 13:46:00-04:00,78.43,78.43,78.43,78.43,2,1,156.86
2021-09-17 13:49:00-04:00,78.405,78.405,78.405,78.405,1,1,78.405
2021-09-17 15:13:00-04:00,78.43,78.43,78.43,78.43,1,1,78.43
2021-09-17 15:59:00-04:00,78.43,78.43,78.43,78.43,1,1,78.43
