,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index
,open,high,low,close,volume,num_trds,value
2021-09-06 20:34:00-04:00,4523.25,4523.25,4523.25,4523.25,1,1,4523.25
2021-09-06 20:37:00-04:00,4523.25,4523.25,4523.25,4523.25,1,1,4523.25
2021-09-06 21:01:00-04:00,4520.0,4520.0,4520.0,4520.0,2,1,9040.0
2021-09-06 22:42:00-04:00,4522.25,4522.25,4522.25,4522.25,2,2,9044.5
2021-09-06 22:43:00-04:00,4522.5,4522.5,4522.5,4522.5,8,8,36180.0
2021-09-06 22:44:00-04:00,4522.75,4523.25,4522.75,4523.0,7,7,31660.25
2021-09-06 22:45:00-04:00,4523.0,4523.0,4523.0,4523.0,4,4,18092.0
2021-09-06 22:46:00-04:00,4523.0,4523.0,4523.0,4523.0,10,10,45230.0
2021-09-07 01:15:00-04:00,4523.0,4523.0,4523.0,4523.0,1,1,4523.0
2021-09-07 01:45:00-04:00,4522.0,4522.25,4522.0,4522.25,2,2,9044.25
2021-09-07 02:46:00-04:00,4522.0,4522.0,4522.0,4522.0,1,1,4522.0
2021-09-07 03:04:00-04:00,4522.25,4522.25,4522.25,4522.25,1,1,4522.25
2021-09-07 03:09:00-04:00,4522.0,4522.0,4522.0,4522.0,1,1,4522.0
2021-09-07 03:38:00-04:00,4522.25,4522.25,4522.25,4522.25,1,1,4522.25
2021-09-07 04:02:00-04:00,4521.25,4521.25,4521.25,4521.25,1,1,4521.25
2021-09-07 06:28:00-04:00,4517.75,4517.75,4517.75,4517.75,1,1,4517.75
2021-09-07 06:29:00-04:00,4516.25,4516.25,4516.25,4516.25,1,1,4516.25
2021-09-07 06:31:00-04:00,4516.5,4516.5,4516.5,4516.5,1,1,4516.5
2021-09-07 06:57:00-04:00,4516.25,4516.25,4516.25,4516.25,1,1,4516.25
2021-09-07 06:59:00-04:00,4516.5,4516.5,4516.5,4516.5,1,1,4516.5
2021-09-07 07:00:00-04:00,4518.0,4518.0,4518.0,4518.0,5,1,22590.0
2021-09-07 08:16:00-04:00,4518.25,4518.25,4518.25,4518.25,1,1,4518.25
2021-09-07 08:50:00-04:00,4516.75,4516.75,4516.75,4516.75,1,1,4516.75
2021-09-07 09:32:00-04:00,4510.0,4510.0,4509.75,4509.75,3,2,13529.75
2021-09-07 09:34:00-04:00,4508.75,4508.75,4508.75,4508.75,1,1,4508.75
2021-09-07 09:45:00-04:00,4505.5,4505.5,4504.5,4504.5,4,2,18021.0
2021-09-07 09:47:00-04:00,4501.0,4501.5,4501.0,4501.5,2,2,9002.5
2021-09-07 09:52:00-04:00,4500.0,4500.0,4500.0,4500.0,2,1,9000.0
2021-09-07 10:09:00-04:00,4499.75,4499.75,4499.75,4499.75,10,1,44997.5
2021-09-07 10:10:00-04:00,4498.0,4498.0,4498.0,4498.0,1,1,4498.0
2021-09-07 10:12:00-04:00,4496.0,4496.0,4496.0,4496.0,5,1,22480.0
2021-09-07 10:17:00-04:00,4497.75,4497.75,4497.75,4497.75,1,1,4497.75
2021-09-07 10:19:00-04:00,4497.25,4497.25,4497.25,4497.25,4,1,17989.0
2021-09-07 10:26:00-04:00,4497.0,4497.0,4497.0,4497.0,1,1,4497.0
2021-09-07 10:28:00-04:00,4498.25,4498.25,4498.25,4498.25,1,1,4498.25
2021-09-07 10:30:00-04:00,4497.0,4497.0,4497.0,4497.0,1,1,4497.0
2021-09-07 11:17:00-04:00,4498.0,4498.0,4498.0,4498.0,3,1,13494.0
2021-09-07 11:47:00-04:00,4500.0,4500.0,4500.0,4500.0,20,2,90000.0
2021-09-07 11:54:00-04:00,4499.0,4499.0,4499.0,4499.0,20,2,89980.0
2021-09-07 13:03:00-04:00,4510.0,4510.0,4509.0,4509.0,7,3,31565.0
2021-09-07 14:50:00-04:00,4506.0,4506.0,4506.0,4506.0,2,2,9012.0
2021-09-07 15:30:00-04:00,4504.5,4504.5,4504.5,4504.5,1,1,4504.5
2021-09-07 15:55:00-04:00,4502.25,4502.25,4502.25,4502.25,2,2,9004.5
2021-09-07 15:58:00-04:00,4502.0,4502.0,4502.0,4502.0,1,1,4502.0
2021-09-07 15:59:00-04:00,4502.25,4502.25,4502.25,4502.25,1,1,4502.25
