,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-07 20:05:00-04:00,80.06,80.06,80.06,80.06,1,1,80.06
2021-07-08 02:31:00-04:00,79.825,79.825,79.825,79.825,1,1,79.825
2021-07-08 02:50:00-04:00,79.745,79.745,79.74,79.74,6,2,478.455
2021-07-08 03:12:00-04:00,79.705,79.705,79.705,79.705,5,2,398.525
2021-07-08 03:13:00-04:00,79.715,79.715,79.715,79.715,5,1,398.575
2021-07-08 03:19:00-04:00,79.675,79.675,79.675,79.675,1,1,79.675
2021-07-08 03:49:00-04:00,79.63,79.63,79.63,79.63,1,1,79.63
2021-07-08 04:34:00-04:00,79.57,79.57,79.56,79.56,4,2,318.26
2021-07-08 04:46:00-04:00,79.53,79.53,79.53,79.53,5,1,397.65
2021-07-08 04:48:00-04:00,79.55,79.55,79.55,79.55,1,1,79.55
2021-07-08 04:55:00-04:00,79.56,79.56,79.56,79.56,2,1,159.12
2021-07-08 05:47:00-04:00,79.65,79.65,79.65,79.65,1,1,79.65
2021-07-08 06:10:00-04:00,79.45,79.45,79.45,79.45,3,1,238.35
2021-07-08 07:09:00-04:00,79.68,79.68,79.68,79.68,1,1,79.68
2021-07-08 08:22:00-04:00,79.475,79.475,79.475,79.475,1,1,79.475
2021-07-08 08:31:00-04:00,79.55,79.55,79.55,79.55,1,1,79.55
2021-07-08 08:47:00-04:00,79.6,79.6,79.6,79.6,1,1,79.6
2021-07-08 10:23:00-04:00,79.635,79.635,79.635,79.635,1,1,79.635
2021-07-08 12:30:00-04:00,79.83,79.83,79.83,79.83,1,1,79.83
2021-07-08 13:30:00-04:00,79.835,79.835,79.835,79.835,1,1,79.835
2021-07-08 13:55:00-04:00,79.86,79.86,79.86,79.86,1,1,79.86
