,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-07 22:01:00-04:00,79.91,79.91,79.91,79.91,1,1,79.91
2021-07-07 22:20:00-04:00,79.91,79.91,79.91,79.91,1,1,79.91
2021-07-07 23:19:00-04:00,79.95,79.95,79.95,79.95,2,1,159.9
2021-07-08 00:19:00-04:00,79.845,79.845,79.845,79.845,1,1,79.845
2021-07-08 00:37:00-04:00,79.84,79.84,79.84,79.84,6,1,479.04
2021-07-08 02:50:00-04:00,79.745,79.745,79.745,79.745,1,1,79.745
2021-07-08 03:37:00-04:00,79.66,79.66,79.66,79.66,1,1,79.66
2021-07-08 06:16:00-04:00,79.44,79.44,79.44,79.44,1,1,79.44
2021-07-08 07:28:00-04:00,79.735,79.735,79.735,79.735,1,1,79.735
2021-07-08 07:59:00-04:00,79.595,79.595,79.595,79.595,1,1,79.595
2021-07-08 08:08:00-04:00,79.53,79.53,79.53,79.53,1,1,79.53
2021-07-08 09:50:00-04:00,79.63,79.63,79.63,79.63,1,1,79.63
2021-07-08 09:52:00-04:00,79.69,79.69,79.69,79.69,1,1,79.69
2021-07-08 09:59:00-04:00,79.755,79.755,79.755,79.755,2,1,159.51
2021-07-08 14:50:00-04:00,79.81,79.825,79.81,79.825,4,4,319.27
2021-07-08 15:43:00-04:00,79.78,79.78,79.78,79.78,1,1,79.78
