,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-09-09 18:00:00-04:00,4482.0,4483.75,4482.0,4483.0,198,96,887627.5
2021-09-09 18:01:00-04:00,4483.5,4484.25,4483.5,4484.0,212,62,950597.75
2021-09-09 18:02:00-04:00,4483.75,4483.75,4483.25,4483.25,59,23,264527.0
2021-09-09 18:03:00-04:00,4483.25,4483.25,4482.25,4482.25,107,53,479677.0
2021-09-09 18:04:00-04:00,4482.25,4483.0,4481.5,4482.75,212,57,950234.25
2021-09-09 18:05:00-04:00,4482.5,4482.75,4482.0,4482.0,104,49,466151.25
2021-09-09 18:06:00-04:00,4482.25,4482.25,4481.5,4482.0,173,56,775349.25
2021-09-09 18:07:00-04:00,4482.25,4482.5,4481.5,4481.75,178,71,797781.5
2021-09-09 18:08:00-04:00,4481.75,4482.0,4481.75,4481.75,34,21,152385.5
2021-09-09 18:09:00-04:00,4481.75,4482.0,4481.25,4482.0,186,63,833546.5
2021-09-09 18:10:00-04:00,4482.0,4482.25,4481.75,4481.75,75,25,336150.0
2021-09-09 18:11:00-04:00,4481.75,4482.5,4481.75,4482.5,95,33,425789.0
2021-09-09 18:12:00-04:00,4482.5,4483.0,4482.5,4482.5,42,18,188273.75
2021-09-09 18:13:00-04:00,4482.75,4483.0,4482.75,4482.75,66,22,295866.0
2021-09-09 18:14:00-04:00,4482.75,4483.0,4482.5,4482.5,172,56,771046.5
2021-09-09 18:15:00-04:00,4482.75,4482.75,4482.5,4482.5,4,4,17930.25
2021-09-09 18:16:00-04:00,4482.75,4483.0,4482.75,4483.0,82,24,367600.0
2021-09-09 18:17:00-04:00,4483.0,4483.0,4482.25,4482.5,80,26,358621.0
2021-09-09 18:18:00-04:00,4482.5,4482.75,4482.5,4482.75,36,12,161375.25
2021-09-09 18:19:00-04:00,4483.0,4484.25,4483.0,4484.0,260,88,1165734.0
2021-09-09 18:20:00-04:00,4484.25,4484.25,4483.25,4483.25,95,34,425944.0
2021-09-09 18:21:00-04:00,4483.25,4483.5,4483.25,4483.5,20,16,89667.0
2021-09-09 18:22:00-04:00,4483.5,4483.5,4483.5,4483.5,17,9,76219.5
2021-09-09 18:23:00-04:00,4483.5,4483.75,4483.5,4483.5,67,28,300404.25
2021-09-09 18:24:00-04:00,4483.5,4483.5,4481.75,4481.75,184,54,824756.75
2021-09-09 18:25:00-04:00,4481.5,4481.5,4480.75,4480.75,157,59,703555.75
2021-09-09 18:26:00-04:00,4480.5,4480.75,4480.25,4480.5,82,44,367400.75
2021-09-09 18:27:00-04:00,4480.5,4480.75,4480.25,4480.25,89,37,398755.5
2021-09-09 18:28:00-04:00,4480.25,4480.25,4480.25,4480.25,48,31,215052.0
2021-09-09 18:29:00-04:00,4480.5,4480.5,4480.25,4480.25,22,16,98566.0
2021-09-09 18:30:00-04:00,4480.25,4480.5,4480.25,4480.25,84,32,376354.25
