,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index
,open,high,low,close,volume,num_trds,value
2021-09-09 18:27:00-04:00,4472.75,4472.75,4472.75,4472.75,1,1,4472.75
2021-09-09 19:01:00-04:00,4473.0,4473.0,4473.0,4473.0,1,1,4473.0
2021-09-09 19:06:00-04:00,4473.25,4473.25,4473.25,4473.25,1,1,4473.25
2021-09-09 21:17:00-04:00,4473.0,4473.0,4473.0,4473.0,1,1,4473.0
2021-09-09 21:50:00-04:00,4480.0,4480.0,4480.0,4480.0,1,1,4480.0
2021-09-09 22:56:00-04:00,4481.5,4481.5,4481.5,4481.5,1,1,4481.5
2021-09-09 23:00:00-04:00,4484.0,4484.0,4484.0,4484.0,1,1,4484.0
2021-09-09 23:16:00-04:00,4484.0,4484.0,4484.0,4484.0,5,1,22420.0
2021-09-10 00:31:00-04:00,4483.5,4483.5,4483.5,4483.5,1,1,4483.5
2021-09-10 00:34:00-04:00,4484.25,4484.25,4484.25,4484.25,1,1,4484.25
2021-09-10 00:35:00-04:00,4485.25,4485.5,4485.25,4485.5,2,2,8970.75
2021-09-10 00:38:00-04:00,4487.25,4487.25,4487.25,4487.25,1,1,4487.25
2021-09-10 01:47:00-04:00,4485.75,4485.75,4485.75,4485.75,1,1,4485.75
2021-09-10 03:21:00-04:00,4490.0,4490.5,4490.0,4490.5,2,2,8980.5
2021-09-10 03:26:00-04:00,4491.5,4491.5,4491.5,4491.5,1,1,4491.5
2021-09-10 03:27:00-04:00,4491.25,4491.25,4491.25,4491.25,1,1,4491.25
2021-09-10 03:31:00-04:00,4490.0,4490.0,4490.0,4490.0,2,1,8980.0
2021-09-10 03:46:00-04:00,4492.0,4492.0,4492.0,4492.0,1,1,4492.0
2021-09-10 05:59:00-04:00,4491.75,4491.75,4491.75,4491.75,1,1,4491.75
2021-09-10 06:09:00-04:00,4492.0,4492.0,4492.0,4492.0,1,1,4492.0
2021-09-10 06:11:00-04:00,4492.25,4492.25,4492.25,4492.25,1,1,4492.25
2021-09-10 06:33:00-04:00,4492.25,4492.25,4492.25,4492.25,2,2,8984.5
2021-09-10 06:49:00-04:00,4492.75,4492.75,4492.75,4492.75,5,2,22463.75
2021-09-10 06:57:00-04:00,4493.25,4493.25,4493.25,4493.25,1,1,4493.25
2021-09-10 07:04:00-04:00,4493.75,4493.75,4493.75,4493.75,2,2,8987.5
2021-09-10 07:12:00-04:00,4494.5,4494.5,4494.5,4494.5,1,1,4494.5
2021-09-10 07:30:00-04:00,4494.75,4494.75,4494.75,4494.75,1,1,4494.75
2021-09-10 07:39:00-04:00,4493.25,4493.25,4493.25,4493.25,6,2,26959.5
2021-09-10 07:40:00-04:00,4494.0,4494.0,4494.0,4494.0,5,2,22470.0
2021-09-10 07:53:00-04:00,4494.75,4494.75,4494.75,4494.75,1,1,4494.75
2021-09-10 08:07:00-04:00,4495.25,4495.25,4495.25,4495.25,1,1,4495.25
2021-09-10 08:14:00-04:00,4495.75,4495.75,4495.75,4495.75,5,1,22478.75
2021-09-10 08:15:00-04:00,4496.5,4496.5,4496.5,4496.5,6,1,26979.0
2021-09-10 08:29:00-04:00,4493.0,4493.0,4493.0,4493.0,1,1,4493.0
2021-09-10 09:23:00-04:00,4494.5,4494.5,4494.25,4494.25,2,2,8988.75
2021-09-10 09:24:00-04:00,4494.75,4494.75,4494.75,4494.75,1,1,4494.75
2021-09-10 09:27:00-04:00,4495.25,4495.25,4495.25,4495.25,1,1,4495.25
2021-09-10 09:30:00-04:00,4498.0,4498.0,4498.0,4498.0,1,1,4498.0
2021-09-10 09:31:00-04:00,4499.75,4500.0,4499.75,4500.0,4,2,17999.5
2021-09-10 09:32:00-04:00,4501.25,4501.25,4501.25,4501.25,1,1,4501.25
2021-09-10 09:33:00-04:00,4501.0,4501.0,4499.25,4500.0,9,6,40498.0
2021-09-10 09:34:00-04:00,4498.5,4498.5,4498.25,4498.25,11,3,49481.0
2021-09-10 09:35:00-04:00,4496.5,4496.5,4496.5,4496.5,1,1,4496.5
2021-09-10 09:37:00-04:00,4493.25,4493.25,4493.25,4493.25,1,1,4493.25
2021-09-10 09:38:00-04:00,4493.0,4493.0,4493.0,4493.0,3,3,13479.0
2021-09-10 09:44:00-04:00,4490.0,4490.0,4488.75,4488.75,2,2,8978.75
2021-09-10 09:49:00-04:00,4487.5,4487.5,4486.75,4486.75,2,2,8974.25
2021-09-10 09:53:00-04:00,4483.75,4483.75,4483.75,4483.75,1,1,4483.75
