,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-11-28 20:00:00-05:00,1270.25,1271.0,1267.5,1270.25,269,141,341605.0
2021-11-28 20:01:00-05:00,1270.25,1270.5,1268.0,1268.0,39,18,49514.75
2021-11-28 20:02:00-05:00,1268.75,1270.25,1268.75,1270.0,83,41,105354.5
2021-11-28 20:03:00-05:00,1270.25,1271.25,1270.25,1271.0,42,20,53365.25
2021-11-28 20:04:00-05:00,1270.75,1271.25,1269.25,1269.5,25,15,31746.75
2021-11-28 20:05:00-05:00,1269.75,1271.25,1269.75,1271.25,51,22,64818.0
2021-11-28 20:06:00-05:00,1271.75,1272.75,1271.5,1272.5,22,12,27989.0
2021-11-28 20:07:00-05:00,1272.5,1272.5,1272.25,1272.5,14,5,17814.25
2021-11-28 20:08:00-05:00,1272.25,1272.5,1271.75,1271.75,15,11,19083.0
2021-11-28 20:09:00-05:00,1272.5,1272.75,1272.0,1272.0,8,5,10179.75
2021-11-28 20:10:00-05:00,1272.5,1272.5,1272.0,1272.0,12,8,15267.5
2021-11-28 20:11:00-05:00,1272.25,1272.5,1271.75,1271.75,10,7,12723.25
2021-11-28 20:12:00-05:00,1272.25,1272.25,1271.5,1271.5,31,11,39421.0
2021-11-28 20:13:00-05:00,1271.75,1272.75,1271.5,1272.5,14,13,17812.5
2021-11-28 20:14:00-05:00,1272.5,1272.75,1272.0,1272.0,19,19,24177.25
2021-11-28 20:15:00-05:00,1272.25,1272.75,1272.25,1272.75,40,31,50899.75
2021-11-28 20:16:00-05:00,1272.5,1272.75,1272.0,1272.75,48,21,61072.5
2021-11-28 20:17:00-05:00,1272.25,1272.25,1272.0,1272.0,3,2,3816.5
2021-11-28 20:18:00-05:00,1273.0,1273.25,1272.25,1272.25,36,14,45826.0
2021-11-28 20:19:00-05:00,1272.75,1272.75,1271.75,1272.5,73,12,92874.5
2021-11-28 20:20:00-05:00,1272.5,1273.0,1272.5,1273.0,5,3,6363.0
2021-11-28 20:21:00-05:00,1273.25,1273.75,1273.25,1273.75,11,4,14009.75
2021-11-28 20:22:00-05:00,1273.25,1273.25,1273.25,1273.25,1,1,1273.25
2021-11-28 20:23:00-05:00,1273.25,1273.25,1273.25,1273.25,2,2,2546.5
2021-11-28 20:24:00-05:00,1273.25,1273.25,1273.0,1273.0,2,2,2546.25
2021-11-28 20:25:00-05:00,1272.5,1272.5,1272.5,1272.5,1,1,1272.5
