,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-01 03:29:00-04:00,79.385,79.385,79.385,79.385,6,2,476.31
2021-09-01 03:31:00-04:00,79.385,79.385,79.385,79.385,29,4,2302.165
2021-09-01 03:32:00-04:00,79.385,79.385,79.385,79.385,15,4,1190.775
2021-09-01 10:11:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-01 10:12:00-04:00,79.23,79.23,79.23,79.23,1,1,79.23
2021-09-01 10:13:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-01 10:14:00-04:00,79.255,79.255,79.255,79.255,1,1,79.255
2021-09-01 10:24:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-01 10:31:00-04:00,79.29,79.29,79.29,79.29,1,1,79.29
2021-09-01 10:35:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-01 10:37:00-04:00,79.23,79.23,79.23,79.23,1,1,79.23
2021-09-01 10:38:00-04:00,79.21,79.21,79.21,79.21,1,1,79.21
2021-09-01 10:46:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-01 10:48:00-04:00,79.255,79.255,79.255,79.255,1,1,79.255
2021-09-01 10:50:00-04:00,79.26,79.26,79.26,79.26,1,1,79.26
2021-09-01 11:37:00-04:00,79.235,79.235,79.235,79.235,1,1,79.235
2021-09-01 15:09:00-04:00,79.235,79.235,79.235,79.235,1,1,79.235
2021-09-01 15:23:00-04:00,79.26,79.26,79.26,79.26,1,1,79.26
