,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-08 20:39:00-04:00,82.58,82.58,82.58,82.58,5,1,412.9
2021-06-08 23:05:00-04:00,82.605,82.605,82.605,82.605,4,1,330.42
2021-06-09 00:27:00-04:00,82.595,82.595,82.595,82.595,4,1,330.38
2021-06-09 00:28:00-04:00,82.58,82.58,82.57,82.57,8,3,660.625
2021-06-09 04:18:00-04:00,82.725,82.73,82.725,82.73,2,2,165.455
2021-06-09 05:45:00-04:00,82.7,82.7,82.7,82.7,1,1,82.7
2021-06-09 09:00:00-04:00,82.765,82.765,82.765,82.765,5,1,413.825
2021-06-09 10:01:00-04:00,82.845,82.845,82.845,82.845,2,1,165.69
2021-06-09 10:02:00-04:00,82.84,82.84,82.84,82.84,3,1,248.52
2021-06-09 10:33:00-04:00,82.78,82.78,82.78,82.78,1,1,82.78
2021-06-09 11:29:00-04:00,82.63,82.63,82.63,82.63,4,1,330.52
2021-06-09 12:19:00-04:00,82.55,82.55,82.55,82.55,1,1,82.55
2021-06-09 13:41:00-04:00,82.58,82.58,82.58,82.58,2,1,165.16
