,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-13 21:35:00-04:00,80.46,80.46,80.46,80.46,5,1,402.3
2021-10-14 02:14:00-04:00,80.545,80.545,80.545,80.545,1,1,80.545
2021-10-14 02:33:00-04:00,80.625,80.625,80.625,80.625,2,1,161.25
2021-10-14 04:20:00-04:00,80.675,80.675,80.675,80.675,1,1,80.675
2021-10-14 07:39:00-04:00,80.745,80.745,80.745,80.745,1,1,80.745
2021-10-14 08:10:00-04:00,80.795,80.795,80.795,80.795,1,1,80.795
2021-10-14 09:31:00-04:00,80.79,80.79,80.79,80.79,4,1,323.16
2021-10-14 10:43:00-04:00,80.79,80.79,80.78,80.78,2,2,161.57
2021-10-14 11:31:00-04:00,80.825,80.825,80.825,80.825,1,1,80.825
2021-10-14 11:54:00-04:00,80.845,80.845,80.845,80.845,1,1,80.845
2021-10-14 12:37:00-04:00,80.84,80.84,80.84,80.84,1,1,80.84
2021-10-14 13:35:00-04:00,80.825,80.825,80.825,80.825,1,1,80.825
2021-10-14 13:36:00-04:00,80.81,80.81,80.81,80.81,2,1,161.62
