,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy
,open,high,low,close,volume,num_trds,value
2021-08-01 17:39:00-04:00,0.05,0.05,0.05,0.05,0,3,0.0
2021-08-01 17:41:00-04:00,0.05,0.051,0.05,0.051,0,8,0.0
2021-08-01 18:00:00-04:00,0.051,0.051,0.05,0.05,0,20,0.0
2021-08-01 18:30:00-04:00,0.0501,0.0501,0.05,0.05,0,4,0.0
2021-08-01 18:40:00-04:00,0.05,0.05,0.05,0.05,0,4,0.0
2021-08-01 19:50:00-04:00,0.0501,0.0501,0.05,0.05,0,4,0.0
2021-08-01 19:51:00-04:00,0.0491,0.0491,0.0482,0.0485,0,16,0.0
2021-08-01 19:59:00-04:00,0.0493,0.05,0.048,0.048,0,28,0.0
2021-08-01 20:00:00-04:00,0.048,0.048,0.0465,0.0465,0,20,0.0
2021-08-01 20:01:00-04:00,0.0465,0.0485,0.0465,0.048,0,60,0.0
2021-08-01 20:02:00-04:00,0.048,0.048,0.0465,0.0465,0,84,0.0
2021-08-01 20:03:00-04:00,0.0465,0.0465,0.0465,0.0465,0,60,0.0
2021-08-01 20:04:00-04:00,0.0465,0.0465,0.0465,0.0465,0,22,0.0
2021-08-01 20:05:00-04:00,0.0465,0.0465,0.0465,0.0465,0,24,0.0
2021-08-01 20:06:00-04:00,0.0465,0.0465,0.0465,0.0465,0,24,0.0
2021-08-01 20:07:00-04:00,0.0465,0.0465,0.0465,0.0465,0,16,0.0
2021-08-01 20:08:00-04:00,0.0465,0.0512,0.0465,0.0512,0,10,0.0
2021-08-01 20:09:00-04:00,0.0477,0.0512,0.0442,0.0512,0,8,0.0
2021-08-01 20:11:00-04:00,0.0478,0.0512,0.0443,0.0444,0,16,0.0
2021-08-01 20:12:00-04:00,0.0443,0.0512,0.0441,0.0512,0,12,0.0
2021-08-01 20:13:00-04:00,0.0512,0.0512,0.0441,0.0442,0,10,0.0
2021-08-01 20:14:00-04:00,0.0453,0.0465,0.0453,0.0465,0,46,0.0
2021-08-01 20:15:00-04:00,0.0465,0.0465,0.0465,0.0465,0,58,0.0
2021-08-01 20:16:00-04:00,0.0465,0.0465,0.0465,0.0465,0,10,0.0
2021-08-01 20:17:00-04:00,0.0465,0.0465,0.0465,0.0465,0,12,0.0
2021-08-01 20:18:00-04:00,0.0465,0.0465,0.0465,0.0465,0,28,0.0
2021-08-01 20:19:00-04:00,0.0488,0.0512,0.0441,0.0441,0,32,0.0
2021-08-01 20:20:00-04:00,0.0442,0.0512,0.0441,0.0465,0,100,0.0
2021-08-01 20:21:00-04:00,0.0465,0.0465,0.0441,0.0443,0,14,0.0
2021-08-01 20:22:00-04:00,0.0477,0.0512,0.0465,0.0465,0,6,0.0
2021-08-01 20:23:00-04:00,0.0465,0.0465,0.0465,0.0465,0,4,0.0
2021-08-01 20:25:00-04:00,0.0465,0.0465,0.0465,0.0465,0,10,0.0
2021-08-01 20:28:00-04:00,0.0489,0.0512,0.0489,0.0512,0,4,0.0
2021-08-01 20:30:00-04:00,0.0511,0.0512,0.0511,0.0512,0,6,0.0
2021-08-01 20:33:00-04:00,0.0512,0.0512,0.0465,0.0465,0,22,0.0
2021-08-01 20:34:00-04:00,0.0465,0.0465,0.0465,0.0465,0,6,0.0
2021-08-01 20:35:00-04:00,0.0465,0.0465,0.0465,0.0465,0,6,0.0
2021-08-01 20:39:00-04:00,0.0489,0.0512,0.0489,0.0512,0,2,0.0
2021-08-01 20:40:00-04:00,0.0512,0.0512,0.0512,0.0512,0,4,0.0
