,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy
,open,high,low,close,volume,num_trds,value
2021-07-04 18:30:00-04:00,0.055,0.055,0.055,0.055,0,1,0.0
2021-07-04 18:48:00-04:00,0.0574,0.0574,0.0542,0.055,0,4,0.0
2021-07-04 21:02:00-04:00,0.0558,0.0558,0.0545,0.055,0,4,0.0
2021-07-04 22:41:00-04:00,0.0547,0.0551,0.0547,0.055,0,4,0.0
2021-07-04 22:54:00-04:00,0.0551,0.0551,0.055,0.055,0,4,0.0
2021-07-05 01:00:00-04:00,0.0553,0.0553,0.055,0.055,0,8,0.0
2021-07-05 03:17:00-04:00,0.0542,0.055,0.0538,0.055,0,4,0.0
2021-07-05 03:18:00-04:00,0.0549,0.055,0.0549,0.055,0,8,0.0
2021-07-05 04:40:00-04:00,0.055,0.055,0.055,0.055,0,8,0.0
2021-07-05 10:37:00-04:00,0.055,0.055,0.055,0.055,0,8,0.0
2021-07-05 13:00:00-04:00,0.055,0.055,0.055,0.055,0,4,0.0
2021-07-05 13:05:00-04:00,0.055,0.055,0.055,0.055,0,2,0.0
