,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy,USOSFRJ Curncy
,open,high,low,close,volume,num_trds,value
2021-07-28 17:00:00-04:00,0.052,0.0525,0.052,0.0524,0,15,0.0
2021-07-28 18:31:00-04:00,0.0522,0.0522,0.052,0.052,0,2,0.0
2021-07-28 18:32:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:33:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:35:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:36:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:37:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:38:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:39:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:40:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:41:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 18:44:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 19:00:00-04:00,0.052,0.052,0.052,0.052,0,4,0.0
2021-07-28 19:52:00-04:00,0.052,0.052,0.052,0.052,0,2,0.0
2021-07-28 19:54:00-04:00,0.052,0.052,0.0505,0.0505,0,8,0.0
2021-07-28 19:56:00-04:00,0.0505,0.052,0.0505,0.052,0,4,0.0
2021-07-28 19:57:00-04:00,0.052,0.052,0.0505,0.0505,0,8,0.0
2021-07-28 19:58:00-04:00,0.0505,0.0505,0.0505,0.0505,0,4,0.0
2021-07-28 19:59:00-04:00,0.0505,0.0505,0.0505,0.0505,0,40,0.0
2021-07-28 20:00:00-04:00,0.0505,0.052,0.0505,0.052,0,24,0.0
2021-07-28 20:01:00-04:00,0.052,0.052,0.0505,0.0505,0,8,0.0
2021-07-28 20:02:00-04:00,0.0505,0.0505,0.0505,0.0505,0,28,0.0
2021-07-28 20:03:00-04:00,0.0505,0.0505,0.0505,0.0505,0,20,0.0
2021-07-28 20:05:00-04:00,0.0505,0.0505,0.0505,0.0505,0,4,0.0
2021-07-28 20:06:00-04:00,0.0505,0.0505,0.0505,0.0505,0,16,0.0
2021-07-28 20:07:00-04:00,0.0505,0.0505,0.0505,0.0505,0,4,0.0
2021-07-28 20:08:00-04:00,0.0505,0.0505,0.0505,0.0505,0,24,0.0
2021-07-28 20:09:00-04:00,0.0505,0.0505,0.0505,0.0505,0,16,0.0
2021-07-28 20:10:00-04:00,0.0505,0.0505,0.0505,0.0505,0,12,0.0
2021-07-28 20:11:00-04:00,0.0505,0.0505,0.0505,0.0505,0,8,0.0
2021-07-28 20:12:00-04:00,0.0505,0.0505,0.0505,0.0505,0,40,0.0
2021-07-28 20:13:00-04:00,0.0505,0.0505,0.0505,0.0505,0,176,0.0
2021-07-28 20:14:00-04:00,0.0505,0.0505,0.0505,0.0505,0,68,0.0
2021-07-28 20:16:00-04:00,0.0505,0.0505,0.0488,0.0489,0,36,0.0
2021-07-28 20:18:00-04:00,0.0489,0.0505,0.0488,0.049,0,18,0.0
2021-07-28 20:19:00-04:00,0.049,0.049,0.0489,0.0489,0,6,0.0
2021-07-28 20:20:00-04:00,0.048,0.0488,0.047,0.0488,0,50,0.0
2021-07-28 20:21:00-04:00,0.0488,0.0488,0.0488,0.0488,0,2,0.0
2021-07-28 20:22:00-04:00,0.0488,0.0505,0.0487,0.0505,0,12,0.0
2021-07-28 20:23:00-04:00,0.0496,0.0496,0.0486,0.0486,0,8,0.0
2021-07-28 20:24:00-04:00,0.0487,0.0515,0.0487,0.0505,0,28,0.0
2021-07-28 20:25:00-04:00,0.0505,0.051,0.0505,0.0505,0,54,0.0
2021-07-28 20:26:00-04:00,0.0505,0.0505,0.0485,0.0485,0,56,0.0
2021-07-28 20:29:00-04:00,0.0495,0.0505,0.0485,0.0485,0,20,0.0
2021-07-28 20:47:00-04:00,0.0493,0.05,0.0493,0.05,0,8,0.0
2021-07-28 20:48:00-04:00,0.0492,0.0492,0.0485,0.0485,0,10,0.0
2021-07-28 20:49:00-04:00,0.0485,0.0486,0.0485,0.0485,0,8,0.0
2021-07-28 20:50:00-04:00,0.0492,0.05,0.0485,0.0485,0,20,0.0
2021-07-28 20:52:00-04:00,0.0485,0.0485,0.0484,0.0485,0,8,0.0
2021-07-28 20:53:00-04:00,0.0485,0.0485,0.0485,0.0485,0,2,0.0
2021-07-28 20:56:00-04:00,0.0493,0.0501,0.0485,0.0501,0,22,0.0
2021-07-28 20:58:00-04:00,0.0501,0.0501,0.0485,0.0485,0,36,0.0
2021-07-28 20:59:00-04:00,0.0485,0.0485,0.0484,0.0485,0,4,0.0
2021-07-28 21:00:00-04:00,0.0493,0.0501,0.0493,0.0501,0,30,0.0
2021-07-28 21:01:00-04:00,0.0501,0.0501,0.0485,0.05,0,70,0.0
2021-07-28 21:02:00-04:00,0.05,0.05,0.0485,0.05,0,66,0.0
2021-07-28 21:03:00-04:00,0.05,0.05,0.0485,0.0485,0,36,0.0
2021-07-28 21:04:00-04:00,0.0493,0.0505,0.0485,0.0505,0,16,0.0
2021-07-28 21:05:00-04:00,0.0505,0.0505,0.0485,0.0485,0,12,0.0
2021-07-28 21:06:00-04:00,0.0492,0.0499,0.0484,0.0486,0,16,0.0
2021-07-28 21:07:00-04:00,0.0495,0.0505,0.0485,0.05,0,48,0.0
2021-07-28 21:08:00-04:00,0.05,0.05,0.0484,0.0485,0,16,0.0
2021-07-28 21:09:00-04:00,0.0485,0.05,0.0484,0.0485,0,26,0.0
2021-07-28 21:10:00-04:00,0.0495,0.0505,0.0485,0.0485,0,22,0.0
2021-07-28 21:11:00-04:00,0.0485,0.0486,0.0485,0.0486,0,12,0.0
2021-07-28 21:12:00-04:00,0.0485,0.05,0.0484,0.0499,0,106,0.0
2021-07-28 21:13:00-04:00,0.0499,0.05,0.0485,0.0486,0,34,0.0
2021-07-28 21:14:00-04:00,0.0493,0.05,0.0493,0.0499,0,44,0.0
2021-07-28 21:15:00-04:00,0.0499,0.05,0.0499,0.0499,0,8,0.0
2021-07-28 21:16:00-04:00,0.0492,0.05,0.0485,0.0486,0,32,0.0
2021-07-28 21:17:00-04:00,0.0492,0.05,0.0487,0.0487,0,66,0.0
2021-07-28 21:18:00-04:00,0.0493,0.05,0.0486,0.0486,0,40,0.0
2021-07-28 21:19:00-04:00,0.0493,0.05,0.0493,0.0499,0,24,0.0
2021-07-28 21:20:00-04:00,0.0499,0.05,0.0485,0.0486,0,68,0.0
2021-07-28 21:21:00-04:00,0.0493,0.05,0.0485,0.0486,0,50,0.0
2021-07-28 21:22:00-04:00,0.0486,0.0499,0.0486,0.0499,0,68,0.0
2021-07-28 21:23:00-04:00,0.0493,0.05,0.0485,0.0486,0,62,0.0
2021-07-28 21:24:00-04:00,0.0493,0.0499,0.0486,0.0499,0,40,0.0
2021-07-28 21:25:00-04:00,0.0499,0.05,0.0486,0.0487,0,40,0.0
2021-07-28 21:26:00-04:00,0.0493,0.0499,0.0485,0.0486,0,40,0.0
2021-07-28 21:27:00-04:00,0.0486,0.0499,0.0485,0.0486,0,44,0.0
2021-07-28 21:28:00-04:00,0.0496,0.0505,0.0486,0.0486,0,54,0.0
2021-07-28 21:29:00-04:00,0.0493,0.05,0.0485,0.0486,0,62,0.0
2021-07-28 21:30:00-04:00,0.0486,0.0505,0.0486,0.0499,0,78,0.0
2021-07-28 21:31:00-04:00,0.0493,0.0499,0.0486,0.0486,0,44,0.0
2021-07-28 21:32:00-04:00,0.0493,0.05,0.0485,0.0486,0,36,0.0
2021-07-28 21:33:00-04:00,0.0486,0.05,0.0485,0.05,0,36,0.0
2021-07-28 21:34:00-04:00,0.0499,0.0499,0.0485,0.0486,0,52,0.0
2021-07-28 21:35:00-04:00,0.0495,0.0505,0.0485,0.0485,0,48,0.0
2021-07-28 21:36:00-04:00,0.0492,0.05,0.0484,0.0486,0,52,0.0
2021-07-28 21:37:00-04:00,0.0493,0.05,0.0486,0.05,0,38,0.0
2021-07-28 21:38:00-04:00,0.05,0.05,0.0485,0.0486,0,58,0.0
2021-07-28 21:39:00-04:00,0.0493,0.05,0.0485,0.0485,0,36,0.0
2021-07-28 21:40:00-04:00,0.0492,0.05,0.0485,0.0499,0,90,0.0
2021-07-28 21:41:00-04:00,0.0493,0.0493,0.0485,0.0486,0,20,0.0
2021-07-28 21:42:00-04:00,0.0486,0.0499,0.0485,0.0486,0,52,0.0
2021-07-28 21:43:00-04:00,0.0493,0.05,0.0486,0.05,0,24,0.0
2021-07-28 21:44:00-04:00,0.0493,0.05,0.0485,0.0487,0,76,0.0
2021-07-28 21:45:00-04:00,0.0493,0.05,0.0485,0.0486,0,52,0.0
2021-07-28 21:46:00-04:00,0.0486,0.05,0.0486,0.0499,0,56,0.0
2021-07-28 21:47:00-04:00,0.0499,0.05,0.0486,0.0486,0,66,0.0
2021-07-28 21:48:00-04:00,0.0492,0.0499,0.0485,0.0487,0,40,0.0
2021-07-28 21:49:00-04:00,0.0493,0.0505,0.0486,0.05,0,38,0.0
2021-07-28 21:50:00-04:00,0.05,0.05,0.0486,0.0486,0,46,0.0
2021-07-28 21:51:00-04:00,0.0486,0.0499,0.0485,0.0486,0,38,0.0
2021-07-28 21:52:00-04:00,0.0493,0.05,0.0486,0.0499,0,52,0.0
2021-07-28 21:53:00-04:00,0.0493,0.0499,0.0485,0.0487,0,32,0.0
2021-07-28 21:54:00-04:00,0.0493,0.05,0.0485,0.0486,0,52,0.0
2021-07-28 21:55:00-04:00,0.0486,0.05,0.0485,0.05,0,100,0.0
2021-07-28 21:56:00-04:00,0.0493,0.0499,0.0486,0.0499,0,36,0.0
2021-07-28 21:57:00-04:00,0.0493,0.0493,0.0487,0.0487,0,6,0.0
2021-07-28 21:58:00-04:00,0.0488,0.0499,0.0487,0.0499,0,8,0.0
2021-07-28 21:59:00-04:00,0.0499,0.05,0.0487,0.05,0,34,0.0
2021-07-28 22:00:00-04:00,0.05,0.05,0.0487,0.0487,0,28,0.0
2021-07-28 22:01:00-04:00,0.0487,0.05,0.0487,0.05,0,118,0.0
2021-07-28 22:02:00-04:00,0.0499,0.05,0.0487,0.0487,0,52,0.0
2021-07-28 22:03:00-04:00,0.0494,0.05,0.0487,0.05,0,56,0.0
2021-07-28 22:04:00-04:00,0.0499,0.05,0.0487,0.0488,0,40,0.0
2021-07-28 22:05:00-04:00,0.0494,0.05,0.0487,0.0487,0,50,0.0
2021-07-28 22:06:00-04:00,0.0493,0.0505,0.0487,0.0499,0,84,0.0
2021-07-28 22:07:00-04:00,0.0499,0.05,0.0499,0.05,0,4,0.0
2021-07-28 22:08:00-04:00,0.0494,0.05,0.0487,0.0487,0,56,0.0
2021-07-28 22:09:00-04:00,0.0494,0.05,0.0487,0.05,0,48,0.0
2021-07-28 22:10:00-04:00,0.0499,0.05,0.0487,0.0487,0,44,0.0
2021-07-28 22:11:00-04:00,0.0494,0.05,0.0487,0.0487,0,44,0.0
2021-07-28 22:12:00-04:00,0.0493,0.05,0.0487,0.0499,0,58,0.0
