,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-24 20:00:00-04:00,1218.75,1218.75,1216.0,1218.25,803,212,977809.0
2021-10-24 20:01:00-04:00,1218.25,1218.75,1217.75,1218.0,97,45,118163.75
2021-10-24 20:02:00-04:00,1217.5,1218.0,1217.5,1217.5,57,25,69403.5
2021-10-24 20:03:00-04:00,1217.5,1217.5,1216.25,1216.25,54,15,65709.25
2021-10-24 20:04:00-04:00,1216.5,1216.75,1216.25,1216.75,18,8,21895.5
2021-10-24 20:05:00-04:00,1216.5,1216.5,1216.25,1216.25,30,13,36490.75
2021-10-24 20:06:00-04:00,1216.25,1217.0,1216.25,1217.0,15,11,18247.25
2021-10-24 20:07:00-04:00,1216.75,1217.5,1216.25,1217.25,69,11,83973.25
2021-10-24 20:08:00-04:00,1217.25,1217.25,1217.25,1217.25,7,5,8520.75
2021-10-24 20:09:00-04:00,1217.5,1217.5,1217.5,1217.5,6,1,7305.0
2021-10-24 20:10:00-04:00,1217.75,1219.0,1217.75,1218.5,185,21,225429.75
2021-10-24 20:11:00-04:00,1218.5,1219.25,1218.25,1219.0,115,33,140150.25
2021-10-24 20:12:00-04:00,1219.0,1219.25,1219.0,1219.0,21,7,25602.0
2021-10-24 20:13:00-04:00,1219.25,1219.25,1219.0,1219.0,26,6,31694.5
2021-10-24 20:14:00-04:00,1218.25,1218.25,1218.25,1218.25,6,5,7309.5
2021-10-24 20:15:00-04:00,1218.0,1218.0,1217.75,1218.0,77,16,93785.75
2021-10-24 20:16:00-04:00,1218.5,1218.5,1218.5,1218.5,4,2,4874.0
2021-10-24 20:17:00-04:00,1218.75,1219.0,1218.75,1219.0,12,3,14626.0
2021-10-24 20:18:00-04:00,1219.0,1219.0,1218.75,1218.75,15,5,18282.0
2021-10-24 20:19:00-04:00,1218.5,1218.75,1218.5,1218.75,14,5,17060.25
2021-10-24 20:20:00-04:00,1218.5,1218.75,1218.5,1218.75,6,3,7311.5
2021-10-24 20:21:00-04:00,1218.5,1218.5,1218.0,1218.0,13,6,15835.5
2021-10-24 20:22:00-04:00,1218.0,1218.0,1217.75,1217.75,7,3,8524.5
2021-10-24 20:23:00-04:00,1218.25,1218.25,1218.0,1218.0,14,8,17052.75
2021-10-24 20:24:00-04:00,1218.25,1218.25,1218.25,1218.25,8,6,9746.0
2021-10-24 20:25:00-04:00,1217.75,1218.0,1217.75,1218.0,3,2,3653.5
2021-10-24 20:26:00-04:00,1218.0,1218.25,1218.0,1218.0,6,4,7309.0
2021-10-24 20:27:00-04:00,1218.0,1218.25,1218.0,1218.25,11,2,13398.25
2021-10-24 20:28:00-04:00,1218.25,1218.25,1218.25,1218.25,18,8,21928.5
2021-10-24 20:30:00-04:00,1218.5,1218.5,1218.25,1218.25,9,8,10964.5
2021-10-24 20:31:00-04:00,1218.25,1218.5,1218.25,1218.25,16,7,19493.25
2021-10-24 20:33:00-04:00,1218.25,1218.25,1218.0,1218.25,9,3,10963.75
2021-10-24 20:34:00-04:00,1218.25,1218.5,1218.0,1218.5,30,3,36552.0
2021-10-24 20:35:00-04:00,1218.5,1218.5,1218.25,1218.5,11,5,13402.5
2021-10-24 20:37:00-04:00,1218.25,1218.25,1218.0,1218.0,6,5,7308.5
2021-10-24 20:38:00-04:00,1217.75,1217.75,1217.75,1217.75,4,1,4871.0
2021-10-24 20:40:00-04:00,1217.75,1218.0,1217.75,1218.0,8,4,9743.5
2021-10-24 20:41:00-04:00,1218.0,1218.0,1218.0,1218.0,1,1,1218.0
2021-10-24 20:45:00-04:00,1218.25,1218.75,1218.25,1218.75,44,9,53621.0
2021-10-24 20:46:00-04:00,1219.0,1219.0,1218.75,1218.75,5,3,6094.0
2021-10-24 20:47:00-04:00,1218.25,1218.25,1218.25,1218.25,1,1,1218.25
2021-10-24 20:48:00-04:00,1218.5,1218.5,1218.5,1218.5,2,1,2437.0
2021-10-24 20:49:00-04:00,1218.25,1218.25,1218.25,1218.25,10,1,12182.5
2021-10-24 20:53:00-04:00,1218.5,1218.5,1218.5,1218.5,24,10,29244.0
2021-10-24 20:54:00-04:00,1218.5,1218.75,1218.5,1218.75,9,8,10967.0
2021-10-24 20:55:00-04:00,1219.0,1219.0,1218.5,1218.5,9,3,10967.75
2021-10-24 20:59:00-04:00,1218.75,1218.75,1218.75,1218.75,2,2,2437.5
2021-10-24 21:00:00-04:00,1218.75,1220.0,1218.75,1220.0,92,38,112197.75
2021-10-24 21:01:00-04:00,1220.0,1220.0,1219.5,1219.75,39,18,47566.25
2021-10-24 21:02:00-04:00,1219.75,1220.0,1219.75,1220.0,117,23,142739.75
2021-10-24 21:03:00-04:00,1220.25,1220.5,1220.25,1220.5,70,16,85434.0
2021-10-24 21:04:00-04:00,1220.25,1220.25,1220.25,1220.25,40,12,48810.0
2021-10-24 21:05:00-04:00,1220.25,1220.25,1220.25,1220.25,1,1,1220.25
2021-10-24 21:06:00-04:00,1220.25,1220.75,1219.75,1220.75,58,14,70783.25
2021-10-24 21:07:00-04:00,1220.75,1220.75,1220.75,1220.75,1,1,1220.75
2021-10-24 21:08:00-04:00,1220.75,1221.5,1220.75,1221.25,74,18,90364.75
2021-10-24 21:09:00-04:00,1221.25,1221.5,1221.25,1221.5,9,6,10992.25
2021-10-24 21:10:00-04:00,1221.5,1221.75,1221.5,1221.75,14,7,17101.25
2021-10-24 21:11:00-04:00,1221.5,1221.5,1221.5,1221.5,4,3,4886.0
2021-10-24 21:12:00-04:00,1221.75,1221.75,1221.5,1221.75,19,6,23209.5
2021-10-24 21:13:00-04:00,1221.75,1223.0,1221.75,1222.75,234,58,286046.25
2021-10-24 21:14:00-04:00,1222.25,1223.5,1222.25,1223.25,76,26,92953.75
2021-10-24 21:15:00-04:00,1223.5,1223.5,1223.0,1223.0,9,5,11008.75
2021-10-24 21:16:00-04:00,1223.25,1223.75,1223.0,1223.75,41,16,50166.75
2021-10-24 21:17:00-04:00,1224.0,1224.0,1223.75,1224.0,14,7,17135.25
2021-10-24 21:18:00-04:00,1224.25,1224.75,1224.0,1224.25,85,28,104077.0
2021-10-24 21:19:00-04:00,1224.25,1225.25,1224.25,1224.25,79,33,96762.25
2021-10-24 21:20:00-04:00,1224.25,1225.25,1224.25,1224.75,38,17,46534.5
2021-10-24 21:21:00-04:00,1225.0,1225.75,1224.75,1225.0,51,17,62497.5
2021-10-24 21:22:00-04:00,1225.25,1225.5,1225.0,1225.25,41,28,50237.25
2021-10-24 21:23:00-04:00,1225.25,1226.0,1225.0,1225.75,59,21,72314.75
2021-10-24 21:24:00-04:00,1225.0,1225.5,1225.0,1225.5,13,13,15929.75
2021-10-24 21:25:00-04:00,1225.75,1225.75,1225.5,1225.5,9,6,11031.25
2021-10-24 21:26:00-04:00,1225.5,1226.0,1225.5,1225.5,19,14,23289.25
2021-10-24 21:27:00-04:00,1225.5,1226.25,1225.25,1226.25,21,16,25742.0
2021-10-24 21:28:00-04:00,1226.5,1226.75,1226.25,1226.5,30,16,36797.25
2021-10-24 21:29:00-04:00,1226.5,1227.5,1226.5,1227.25,71,11,87140.0
2021-10-24 21:30:00-04:00,1227.0,1227.5,1227.0,1227.25,19,14,23319.0
2021-10-24 21:31:00-04:00,1227.0,1227.25,1227.0,1227.25,24,11,29448.5
2021-10-24 21:32:00-04:00,1227.25,1227.5,1227.25,1227.5,9,6,11046.0
2021-10-24 21:33:00-04:00,1227.75,1228.25,1227.75,1228.0,84,37,103146.5
2021-10-24 21:34:00-04:00,1228.0,1228.25,1228.0,1228.25,15,14,18421.75
2021-10-24 21:35:00-04:00,1228.0,1228.75,1228.0,1228.25,23,10,28250.5
2021-10-24 21:36:00-04:00,1228.5,1229.5,1228.5,1229.5,30,17,36872.75
2021-10-24 21:37:00-04:00,1229.0,1229.5,1228.5,1229.25,56,21,68831.75
2021-10-24 21:38:00-04:00,1229.25,1229.25,1229.0,1229.0,43,24,52848.25
2021-10-24 21:39:00-04:00,1229.5,1229.75,1229.25,1229.75,25,8,30741.0
2021-10-24 21:40:00-04:00,1229.5,1229.75,1229.25,1229.25,57,16,70082.5
2021-10-24 21:41:00-04:00,1229.5,1230.0,1229.5,1229.5,65,22,79938.75
2021-10-24 21:42:00-04:00,1229.75,1230.0,1229.0,1229.25,52,9,63930.0
2021-10-24 21:43:00-04:00,1228.75,1229.0,1228.75,1229.0,8,7,9831.75
2021-10-24 21:44:00-04:00,1228.75,1229.0,1228.75,1229.0,6,5,7373.0
2021-10-24 21:45:00-04:00,1229.25,1230.0,1229.25,1229.25,190,23,233670.25
2021-10-24 21:46:00-04:00,1229.25,1229.25,1229.25,1229.25,7,5,8604.75
2021-10-24 21:47:00-04:00,1229.25,1229.5,1229.25,1229.25,34,9,41798.5
2021-10-24 21:48:00-04:00,1229.25,1229.5,1229.0,1229.0,34,15,41787.75
2021-10-24 21:49:00-04:00,1228.75,1228.75,1228.75,1228.75,3,3,3686.25
2021-10-24 21:50:00-04:00,1228.25,1228.25,1228.0,1228.0,4,3,4912.25
2021-10-24 21:51:00-04:00,1227.75,1228.0,1227.75,1228.0,56,7,68754.25
2021-10-24 21:52:00-04:00,1227.75,1228.5,1227.75,1228.25,26,19,31931.25
2021-10-24 21:53:00-04:00,1228.5,1228.5,1228.0,1228.0,6,3,7369.25
2021-10-24 21:54:00-04:00,1228.75,1228.75,1228.5,1228.5,2,2,2457.25
2021-10-24 21:55:00-04:00,1228.25,1228.25,1228.25,1228.25,3,3,3684.75
2021-10-24 21:56:00-04:00,1228.75,1228.75,1228.75,1228.75,28,10,34405.0
2021-10-24 21:57:00-04:00,1228.75,1228.75,1228.75,1228.75,12,7,14745.0
2021-10-24 21:58:00-04:00,1228.75,1228.75,1228.75,1228.75,6,2,7372.5
2021-10-24 21:59:00-04:00,1228.25,1228.75,1228.0,1228.75,52,18,63887.75
2021-10-24 22:00:00-04:00,1229.0,1229.0,1227.75,1227.75,201,45,246873.0
2021-10-24 22:01:00-04:00,1227.75,1227.75,1227.25,1227.75,79,17,96975.5
2021-10-24 22:02:00-04:00,1227.75,1228.0,1227.75,1228.0,14,6,17190.75
2021-10-24 22:03:00-04:00,1228.0,1228.0,1227.75,1228.0,28,11,34377.75
2021-10-24 22:04:00-04:00,1227.75,1228.25,1227.75,1228.0,17,6,20876.25
2021-10-24 22:05:00-04:00,1228.25,1228.25,1228.0,1228.0,13,3,15964.25
2021-10-24 22:06:00-04:00,1228.0,1228.25,1228.0,1228.25,4,3,4912.5
2021-10-24 22:07:00-04:00,1228.25,1228.5,1228.0,1228.5,3,3,3684.75
2021-10-24 22:08:00-04:00,1228.75,1228.75,1228.25,1228.25,8,2,9828.5
2021-10-24 22:09:00-04:00,1228.25,1228.25,1228.0,1228.0,6,4,7368.75
2021-10-24 22:10:00-04:00,1228.0,1228.0,1227.5,1227.5,19,6,23323.75
2021-10-24 22:11:00-04:00,1227.5,1227.5,1227.25,1227.25,6,6,7364.25
2021-10-24 22:12:00-04:00,1227.25,1227.25,1227.0,1227.0,10,6,12270.25
2021-10-24 22:13:00-04:00,1227.0,1227.0,1226.75,1226.75,4,2,4907.75
2021-10-24 22:14:00-04:00,1226.75,1227.25,1226.5,1227.25,47,14,57666.0
2021-10-24 22:15:00-04:00,1226.75,1226.75,1226.5,1226.5,15,4,18400.25
2021-10-24 22:17:00-04:00,1227.0,1227.0,1227.0,1227.0,5,2,6135.0
2021-10-24 22:18:00-04:00,1227.25,1227.25,1227.0,1227.0,13,4,15953.75
2021-10-24 22:19:00-04:00,1227.25,1227.25,1227.25,1227.25,3,2,3681.75
2021-10-24 22:20:00-04:00,1227.5,1227.5,1227.5,1227.5,3,2,3682.5
2021-10-24 22:22:00-04:00,1227.75,1228.0,1227.75,1228.0,3,2,3683.5
2021-10-24 22:23:00-04:00,1227.75,1227.75,1227.75,1227.75,1,1,1227.75
2021-10-24 22:27:00-04:00,1227.0,1227.0,1227.0,1227.0,11,1,13497.0
2021-10-24 22:29:00-04:00,1226.75,1226.75,1226.75,1226.75,2,2,2453.5
2021-10-24 22:30:00-04:00,1227.0,1227.0,1227.0,1227.0,14,14,17178.0
2021-10-24 22:31:00-04:00,1226.75,1227.0,1226.75,1227.0,2,2,2453.75
2021-10-24 22:32:00-04:00,1227.0,1227.5,1227.0,1227.5,13,4,15954.25
2021-10-24 22:33:00-04:00,1227.75,1227.75,1227.75,1227.75,2,2,2455.5
2021-10-24 22:34:00-04:00,1227.75,1228.0,1227.75,1227.75,27,7,33152.75
2021-10-24 22:35:00-04:00,1227.75,1227.75,1227.75,1227.75,24,17,29466.0
2021-10-24 22:36:00-04:00,1227.75,1227.75,1227.75,1227.75,7,7,8594.25
2021-10-24 22:37:00-04:00,1228.0,1228.0,1228.0,1228.0,10,6,12280.0
2021-10-24 22:38:00-04:00,1228.0,1228.0,1227.25,1227.25,7,4,8593.0
2021-10-24 22:39:00-04:00,1227.5,1227.5,1227.5,1227.5,2,1,2455.0
2021-10-24 22:40:00-04:00,1228.0,1228.25,1228.0,1228.25,38,14,46672.0
2021-10-24 22:41:00-04:00,1228.0,1228.25,1228.0,1228.25,2,2,2456.25
2021-10-24 22:42:00-04:00,1228.0,1228.0,1228.0,1228.0,15,3,18420.0
2021-10-24 22:43:00-04:00,1227.25,1227.25,1226.5,1226.5,12,11,14725.0
2021-10-24 22:44:00-04:00,1226.5,1226.5,1226.25,1226.25,41,7,50282.0
2021-10-24 22:45:00-04:00,1226.25,1226.25,1226.25,1226.25,3,1,3678.75
2021-10-24 22:48:00-04:00,1226.0,1226.0,1226.0,1226.0,1,1,1226.0
2021-10-24 22:49:00-04:00,1226.5,1226.75,1226.5,1226.75,14,10,17173.5
2021-10-24 22:51:00-04:00,1226.75,1227.0,1226.75,1227.0,7,2,8588.0
2021-10-24 22:52:00-04:00,1227.25,1228.25,1227.25,1228.25,17,6,20875.5
2021-10-24 22:53:00-04:00,1228.25,1228.25,1227.75,1228.0,17,7,20876.25
2021-10-24 22:54:00-04:00,1228.0,1228.0,1228.0,1228.0,39,12,47892.0
2021-10-24 22:55:00-04:00,1228.0,1228.0,1228.0,1228.0,4,4,4912.0
2021-10-24 22:56:00-04:00,1228.25,1228.25,1227.75,1227.75,80,6,98225.5
2021-10-24 22:57:00-04:00,1227.75,1227.75,1227.75,1227.75,2,1,2455.5
2021-10-24 22:58:00-04:00,1228.0,1228.0,1227.75,1227.75,8,5,9823.5
2021-10-24 22:59:00-04:00,1228.0,1228.0,1228.0,1228.0,4,4,4912.0
2021-10-24 23:00:00-04:00,1228.0,1228.25,1228.0,1228.25,10,6,12281.25
2021-10-24 23:01:00-04:00,1228.0,1228.0,1228.0,1228.0,1,1,1228.0
2021-10-24 23:02:00-04:00,1228.0,1228.0,1228.0,1228.0,7,4,8596.0
2021-10-24 23:03:00-04:00,1228.25,1228.25,1228.0,1228.25,7,4,8597.5
2021-10-24 23:04:00-04:00,1228.25,1228.25,1227.75,1227.75,15,9,18420.75
2021-10-24 23:06:00-04:00,1228.25,1228.25,1228.25,1228.25,8,6,9826.0
2021-10-24 23:07:00-04:00,1228.25,1228.25,1228.0,1228.25,13,3,15966.75
2021-10-24 23:08:00-04:00,1228.5,1228.5,1228.5,1228.5,3,3,3685.5
2021-10-24 23:09:00-04:00,1228.75,1229.25,1228.75,1229.25,23,3,28265.75
2021-10-24 23:10:00-04:00,1229.25,1229.25,1229.0,1229.0,10,7,12291.25
2021-10-24 23:11:00-04:00,1229.5,1229.75,1229.25,1229.75,39,10,47955.75
2021-10-24 23:12:00-04:00,1230.0,1230.0,1229.75,1229.75,12,6,14757.5
