,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-24 20:00:00-04:00,1248.0,1248.0,1244.75,1244.75,5,4,6231.0
2021-10-24 20:01:00-04:00,1246.75,1246.75,1246.0,1246.0,4,2,4986.25
2021-10-24 20:03:00-04:00,1245.25,1245.25,1245.25,1245.25,1,1,1245.25
2021-10-24 20:04:00-04:00,1245.25,1245.25,1245.25,1245.25,3,2,3735.75
2021-10-24 20:05:00-04:00,1245.0,1245.0,1245.0,1245.0,6,2,7470.0
2021-10-24 20:07:00-04:00,1245.25,1245.25,1245.25,1245.25,1,1,1245.25
2021-10-24 20:09:00-04:00,1245.5,1245.5,1245.5,1245.5,1,1,1245.5
2021-10-24 20:10:00-04:00,1246.25,1247.0,1246.25,1247.0,2,2,2493.25
2021-10-24 20:11:00-04:00,1247.5,1247.5,1247.5,1247.5,1,1,1247.5
2021-10-24 20:17:00-04:00,1247.0,1247.0,1247.0,1247.0,3,1,3741.0
2021-10-24 21:01:00-04:00,1248.25,1248.25,1248.25,1248.25,6,1,7489.5
2021-10-24 21:03:00-04:00,1248.75,1248.75,1248.75,1248.75,7,1,8741.25
2021-10-24 21:06:00-04:00,1248.0,1249.0,1248.0,1249.0,7,2,8741.0
2021-10-24 21:07:00-04:00,1248.75,1248.75,1248.75,1248.75,1,1,1248.75
2021-10-24 21:12:00-04:00,1249.75,1249.75,1249.75,1249.75,1,1,1249.75
2021-10-24 21:13:00-04:00,1250.0,1251.0,1250.0,1251.0,29,7,36273.5
2021-10-24 21:14:00-04:00,1250.75,1251.5,1250.75,1251.5,45,7,56304.75
2021-10-24 21:16:00-04:00,1252.0,1252.0,1252.0,1252.0,1,1,1252.0
2021-10-24 21:18:00-04:00,1252.5,1253.25,1252.5,1253.25,156,28,195446.0
2021-10-24 21:19:00-04:00,1253.0,1254.0,1253.0,1254.0,66,11,82732.0
2021-10-24 21:20:00-04:00,1253.25,1254.0,1253.25,1254.0,44,9,55155.25
2021-10-24 21:21:00-04:00,1253.75,1254.5,1253.75,1254.5,91,13,114137.0
2021-10-24 21:22:00-04:00,1254.25,1254.25,1254.25,1254.25,44,14,55187.0
2021-10-24 21:23:00-04:00,1254.0,1254.25,1254.0,1254.25,23,2,28846.25
2021-10-24 21:30:00-04:00,1256.0,1256.0,1256.0,1256.0,10,2,12560.0
2021-10-24 21:31:00-04:00,1255.75,1255.75,1255.75,1255.75,3,3,3767.25
2021-10-24 21:32:00-04:00,1255.75,1256.25,1255.75,1256.25,2,2,2512.0
2021-10-24 21:37:00-04:00,1257.25,1257.25,1257.25,1257.25,3,1,3771.75
2021-10-24 21:38:00-04:00,1257.75,1257.75,1257.75,1257.75,4,2,5031.0
2021-10-24 21:45:00-04:00,1258.0,1258.0,1258.0,1258.0,1,1,1258.0
2021-10-24 22:00:00-04:00,1256.75,1256.75,1256.5,1256.5,9,5,11310.5
2021-10-24 22:01:00-04:00,1256.25,1256.25,1256.25,1256.25,4,2,5025.0
2021-10-24 22:12:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-24 22:30:00-04:00,1255.75,1255.75,1255.75,1255.75,2,2,2511.5
2021-10-24 22:32:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-24 22:33:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-24 23:09:00-04:00,1258.0,1258.0,1258.0,1258.0,1,1,1258.0
2021-10-24 23:18:00-04:00,1258.75,1262.25,1258.75,1260.75,61,27,76894.5
2021-10-24 23:20:00-04:00,1260.5,1260.75,1260.5,1260.5,7,7,8824.0
2021-10-24 23:21:00-04:00,1260.25,1260.25,1260.25,1260.25,1,1,1260.25
2021-10-24 23:24:00-04:00,1260.5,1260.5,1260.5,1260.5,1,1,1260.5
2021-10-24 23:28:00-04:00,1260.75,1260.75,1260.75,1260.75,1,1,1260.75
2021-10-24 23:29:00-04:00,1260.0,1260.0,1260.0,1260.0,1,1,1260.0
2021-10-24 23:36:00-04:00,1259.5,1259.5,1259.5,1259.5,3,2,3778.5
2021-10-25 00:28:00-04:00,1261.0,1261.0,1261.0,1261.0,2,1,2522.0
2021-10-25 00:34:00-04:00,1260.25,1260.25,1260.25,1260.25,4,1,5041.0
2021-10-25 00:53:00-04:00,1261.0,1261.0,1261.0,1261.0,2,1,2522.0
2021-10-25 01:11:00-04:00,1261.5,1261.5,1261.25,1261.25,9,2,11352.5
2021-10-25 01:12:00-04:00,1261.75,1261.75,1261.75,1261.75,1,1,1261.75
2021-10-25 01:32:00-04:00,1262.5,1262.5,1262.5,1262.5,2,1,2525.0
2021-10-25 01:33:00-04:00,1263.0,1263.25,1263.0,1263.25,8,3,10104.25
2021-10-25 01:38:00-04:00,1262.75,1262.75,1262.75,1262.75,4,1,5051.0
2021-10-25 01:41:00-04:00,1263.5,1263.5,1263.5,1263.5,3,1,3790.5
2021-10-25 01:44:00-04:00,1263.75,1264.0,1263.75,1264.0,4,2,5055.25
2021-10-25 01:58:00-04:00,1261.75,1261.75,1261.5,1261.5,2,2,2523.25
2021-10-25 02:06:00-04:00,1260.5,1260.5,1260.5,1260.5,1,1,1260.5
2021-10-25 02:18:00-04:00,1259.5,1259.5,1259.5,1259.5,1,1,1259.5
2021-10-25 02:28:00-04:00,1259.25,1259.25,1259.25,1259.25,1,1,1259.25
2021-10-25 02:32:00-04:00,1259.0,1259.0,1259.0,1259.0,1,1,1259.0
2021-10-25 02:37:00-04:00,1261.25,1261.25,1261.25,1261.25,6,1,7567.5
2021-10-25 02:39:00-04:00,1261.0,1261.0,1261.0,1261.0,5,2,6305.0
2021-10-25 02:40:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-25 02:41:00-04:00,1261.75,1262.0,1261.75,1262.0,3,2,3785.75
2021-10-25 02:42:00-04:00,1262.25,1262.25,1262.25,1262.25,5,1,6311.25
2021-10-25 03:09:00-04:00,1262.0,1262.0,1262.0,1262.0,1,1,1262.0
2021-10-25 03:10:00-04:00,1262.0,1262.0,1262.0,1262.0,4,1,5048.0
2021-10-25 03:11:00-04:00,1261.5,1261.5,1261.5,1261.5,1,1,1261.5
2021-10-25 03:14:00-04:00,1261.0,1261.0,1260.5,1260.5,2,2,2521.5
2021-10-25 03:15:00-04:00,1260.75,1260.75,1260.75,1260.75,2,1,2521.5
2021-10-25 03:20:00-04:00,1260.25,1260.25,1260.25,1260.25,1,1,1260.25
2021-10-25 03:28:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-25 03:37:00-04:00,1261.0,1261.0,1261.0,1261.0,6,1,7566.0
2021-10-25 03:42:00-04:00,1260.25,1260.25,1260.25,1260.25,6,1,7561.5
2021-10-25 03:44:00-04:00,1260.5,1260.5,1260.5,1260.5,3,1,3781.5
2021-10-25 03:46:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-25 03:49:00-04:00,1261.0,1261.0,1261.0,1261.0,3,1,3783.0
2021-10-25 04:10:00-04:00,1261.75,1261.75,1261.75,1261.75,1,1,1261.75
2021-10-25 04:14:00-04:00,1263.5,1263.5,1263.5,1263.5,2,1,2527.0
2021-10-25 04:16:00-04:00,1264.0,1264.0,1264.0,1264.0,3,1,3792.0
2021-10-25 04:17:00-04:00,1263.5,1263.5,1262.75,1262.75,4,3,5052.25
2021-10-25 04:25:00-04:00,1262.75,1262.75,1262.75,1262.75,7,1,8839.25
2021-10-25 04:27:00-04:00,1262.25,1262.25,1262.0,1262.0,2,2,2524.25
2021-10-25 04:31:00-04:00,1262.25,1262.25,1262.25,1262.25,3,1,3786.75
2021-10-25 04:34:00-04:00,1261.0,1261.0,1261.0,1261.0,3,3,3783.0
2021-10-25 04:35:00-04:00,1261.0,1261.0,1260.25,1260.25,6,6,7564.5
2021-10-25 04:36:00-04:00,1260.25,1260.25,1260.25,1260.25,1,1,1260.25
2021-10-25 04:38:00-04:00,1260.75,1260.75,1260.75,1260.75,2,2,2521.5
2021-10-25 04:43:00-04:00,1260.25,1260.25,1260.25,1260.25,2,1,2520.5
2021-10-25 04:45:00-04:00,1260.5,1260.5,1259.5,1259.5,9,3,11340.25
2021-10-25 04:46:00-04:00,1259.5,1259.5,1259.5,1259.5,3,1,3778.5
2021-10-25 04:47:00-04:00,1259.0,1259.0,1259.0,1259.0,2,1,2518.0
2021-10-25 04:49:00-04:00,1259.0,1259.0,1258.75,1258.75,4,4,5035.5
2021-10-25 04:51:00-04:00,1259.0,1259.0,1259.0,1259.0,2,2,2518.0
2021-10-25 04:52:00-04:00,1259.0,1259.0,1259.0,1259.0,4,1,5036.0
2021-10-25 04:54:00-04:00,1259.0,1259.25,1259.0,1259.25,4,4,5036.75
2021-10-25 04:56:00-04:00,1259.25,1259.25,1259.25,1259.25,1,1,1259.25
2021-10-25 05:19:00-04:00,1258.5,1258.5,1258.5,1258.5,1,1,1258.5
2021-10-25 05:27:00-04:00,1257.25,1257.25,1257.25,1257.25,2,1,2514.5
2021-10-25 05:28:00-04:00,1257.25,1257.25,1257.25,1257.25,23,6,28916.75
2021-10-25 05:30:00-04:00,1257.0,1257.0,1256.25,1256.25,5,4,6283.0
2021-10-25 05:43:00-04:00,1257.5,1257.5,1257.5,1257.5,1,1,1257.5
2021-10-25 05:53:00-04:00,1257.75,1257.75,1257.75,1257.75,1,1,1257.75
2021-10-25 06:27:00-04:00,1257.0,1257.0,1257.0,1257.0,3,1,3771.0
2021-10-25 06:28:00-04:00,1257.0,1257.0,1257.0,1257.0,4,1,5028.0
2021-10-25 07:02:00-04:00,1256.75,1256.75,1256.75,1256.75,2,1,2513.5
2021-10-25 07:09:00-04:00,1256.5,1256.5,1256.5,1256.5,3,1,3769.5
2021-10-25 07:10:00-04:00,1256.75,1256.75,1256.75,1256.75,3,1,3770.25
2021-10-25 07:23:00-04:00,1258.25,1258.25,1258.25,1258.25,2,1,2516.5
2021-10-25 07:24:00-04:00,1258.5,1258.5,1258.5,1258.5,10,1,12585.0
2021-10-25 07:27:00-04:00,1259.25,1259.25,1259.25,1259.25,3,1,3777.75
2021-10-25 07:31:00-04:00,1257.75,1257.75,1257.75,1257.75,4,1,5031.0
2021-10-25 07:35:00-04:00,1257.0,1257.0,1257.0,1257.0,2,2,2514.0
2021-10-25 07:36:00-04:00,1257.25,1257.25,1257.25,1257.25,1,1,1257.25
2021-10-25 07:38:00-04:00,1257.25,1257.25,1257.25,1257.25,1,1,1257.25
2021-10-25 08:10:00-04:00,1258.25,1258.25,1258.25,1258.25,1,1,1258.25
2021-10-25 08:18:00-04:00,1258.75,1258.75,1258.75,1258.75,1,1,1258.75
2021-10-25 08:24:00-04:00,1258.25,1258.25,1258.25,1258.25,1,1,1258.25
2021-10-25 08:25:00-04:00,1258.25,1258.25,1258.25,1258.25,6,2,7549.5
2021-10-25 08:26:00-04:00,1258.25,1258.25,1258.25,1258.25,1,1,1258.25
2021-10-25 08:29:00-04:00,1258.75,1258.75,1258.75,1258.75,2,1,2517.5
2021-10-25 08:33:00-04:00,1259.0,1259.0,1259.0,1259.0,2,1,2518.0
2021-10-25 09:29:00-04:00,1258.5,1259.75,1258.5,1259.75,60,5,75513.5
2021-10-25 09:30:00-04:00,1259.5,1260.75,1259.0,1260.5,34,24,42836.25
2021-10-25 09:31:00-04:00,1260.25,1261.25,1259.25,1259.25,10,10,12600.5
2021-10-25 09:32:00-04:00,1259.5,1260.0,1259.5,1260.0,5,5,6299.0
2021-10-25 09:33:00-04:00,1259.5,1259.5,1258.25,1259.0,49,23,61687.5
2021-10-25 09:34:00-04:00,1259.75,1260.25,1259.75,1260.25,8,5,10080.0
2021-10-25 09:35:00-04:00,1260.0,1260.5,1260.0,1260.25,5,5,6301.25
2021-10-25 09:36:00-04:00,1260.75,1261.5,1260.75,1261.5,16,7,20182.0
2021-10-25 09:37:00-04:00,1262.5,1263.0,1262.5,1263.0,20,11,25258.25
2021-10-25 09:38:00-04:00,1263.75,1263.75,1263.25,1263.25,10,7,12637.0
2021-10-25 09:39:00-04:00,1262.5,1262.75,1262.0,1262.0,52,20,65625.25
2021-10-25 09:40:00-04:00,1262.0,1262.0,1261.0,1261.0,9,6,11351.0
2021-10-25 09:41:00-04:00,1260.5,1260.5,1260.5,1260.5,1,1,1260.5
2021-10-25 09:42:00-04:00,1259.25,1259.75,1259.0,1259.75,56,21,70506.0
2021-10-25 09:43:00-04:00,1259.25,1259.25,1258.75,1258.75,6,3,7554.5
2021-10-25 09:44:00-04:00,1258.0,1258.0,1258.0,1258.0,1,1,1258.0
2021-10-25 09:45:00-04:00,1258.25,1260.25,1258.25,1260.25,9,6,11336.75
2021-10-25 09:46:00-04:00,1260.25,1260.25,1259.5,1259.5,5,5,6299.75
2021-10-25 09:47:00-04:00,1258.5,1258.5,1258.5,1258.5,1,1,1258.5
2021-10-25 09:48:00-04:00,1258.25,1258.75,1258.25,1258.5,9,9,11326.0
2021-10-25 09:49:00-04:00,1258.0,1258.0,1258.0,1258.0,1,1,1258.0
2021-10-25 09:50:00-04:00,1257.5,1257.5,1257.25,1257.25,3,3,3772.0
2021-10-25 09:51:00-04:00,1256.25,1256.75,1256.25,1256.75,8,7,10050.75
2021-10-25 09:52:00-04:00,1256.75,1256.75,1256.75,1256.75,1,1,1256.75
2021-10-25 09:53:00-04:00,1258.5,1258.5,1258.5,1258.5,3,2,3775.5
2021-10-25 09:55:00-04:00,1258.5,1258.75,1258.5,1258.75,3,2,3775.75
