,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-24 20:00:00-04:00,1230.0,1230.0,1226.5,1228.75,559,168,686859.5
2021-10-24 20:01:00-04:00,1228.5,1229.25,1228.25,1228.25,39,30,47917.25
2021-10-24 20:02:00-04:00,1228.25,1228.25,1228.0,1228.0,145,53,178063.5
2021-10-24 20:03:00-04:00,1228.0,1228.0,1227.0,1227.0,44,22,54006.75
2021-10-24 20:04:00-04:00,1227.0,1227.25,1226.75,1227.0,34,18,41717.75
2021-10-24 20:05:00-04:00,1227.0,1227.0,1226.75,1227.0,25,14,30673.25
2021-10-24 20:06:00-04:00,1226.75,1227.25,1226.5,1227.25,13,13,15949.75
2021-10-24 20:07:00-04:00,1227.25,1227.75,1226.75,1227.75,33,10,40494.25
2021-10-24 20:08:00-04:00,1227.75,1227.75,1227.5,1227.5,18,12,22098.25
2021-10-24 20:09:00-04:00,1227.5,1228.0,1227.5,1228.0,4,3,4911.5
2021-10-24 20:10:00-04:00,1228.0,1229.25,1228.0,1229.0,57,23,70038.5
2021-10-24 20:11:00-04:00,1229.0,1229.75,1228.75,1229.5,66,34,81132.5
2021-10-24 20:12:00-04:00,1229.5,1229.5,1229.5,1229.5,4,3,4918.0
2021-10-24 20:13:00-04:00,1229.5,1229.5,1229.25,1229.25,7,2,8605.5
2021-10-24 20:14:00-04:00,1229.0,1229.0,1228.25,1228.25,10,8,12286.5
2021-10-24 20:15:00-04:00,1228.25,1228.25,1228.0,1228.25,38,14,46672.25
2021-10-24 20:16:00-04:00,1228.5,1228.75,1228.5,1228.75,14,6,17200.5
2021-10-24 20:17:00-04:00,1228.75,1229.25,1228.5,1229.0,26,9,31949.25
2021-10-24 20:18:00-04:00,1229.0,1229.0,1228.75,1229.0,11,6,13518.0
2021-10-24 20:19:00-04:00,1228.75,1228.75,1228.75,1228.75,25,7,30718.75
2021-10-24 20:20:00-04:00,1228.75,1228.75,1228.5,1228.75,6,4,7372.25
2021-10-24 20:21:00-04:00,1228.75,1228.75,1228.0,1228.0,17,8,20881.5
2021-10-24 20:22:00-04:00,1228.25,1228.25,1228.25,1228.25,1,1,1228.25
2021-10-24 20:23:00-04:00,1228.25,1228.5,1228.25,1228.5,10,8,12283.0
2021-10-24 20:24:00-04:00,1228.5,1228.5,1228.5,1228.5,3,2,3685.5
2021-10-24 20:25:00-04:00,1228.5,1228.5,1228.5,1228.5,3,2,3685.5
2021-10-24 20:26:00-04:00,1228.25,1228.5,1228.25,1228.5,6,3,7370.5
2021-10-24 20:27:00-04:00,1228.25,1228.5,1228.25,1228.25,13,5,15968.0
2021-10-24 20:28:00-04:00,1228.5,1228.5,1228.25,1228.25,6,3,7370.25
2021-10-24 20:29:00-04:00,1228.5,1228.5,1228.5,1228.5,1,1,1228.5
2021-10-24 20:30:00-04:00,1228.5,1228.5,1228.5,1228.5,1,1,1228.5
2021-10-24 20:31:00-04:00,1228.5,1228.5,1228.5,1228.5,2,2,2457.0
