,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-06-07 20:11:00-04:00,4210.0,4210.0,4210.0,4210.0,1,1,4210.0
2021-06-07 21:13:00-04:00,4214.0,4214.0,4214.0,4214.0,1,1,4214.0
2021-06-07 22:58:00-04:00,4206.0,4206.0,4206.0,4206.0,1,1,4206.0
2021-06-07 23:56:00-04:00,4207.25,4207.25,4207.25,4207.25,1,1,4207.25
2021-06-08 00:35:00-04:00,4208.25,4208.25,4208.25,4208.25,1,1,4208.25
2021-06-08 01:22:00-04:00,4207.25,4207.25,4207.25,4207.25,1,1,4207.25
2021-06-08 01:31:00-04:00,4206.75,4206.75,4206.75,4206.75,1,1,4206.75
2021-06-08 06:15:00-04:00,4202.0,4202.0,4202.0,4202.0,1,1,4202.0
2021-06-08 06:19:00-04:00,4198.0,4198.0,4198.0,4198.0,1,1,4198.0
2021-06-08 06:28:00-04:00,4195.0,4195.0,4195.0,4195.0,1,1,4195.0
2021-06-08 06:34:00-04:00,4197.75,4197.75,4197.75,4197.75,1,1,4197.75
2021-06-08 08:00:00-04:00,4213.5,4213.5,4213.5,4213.5,1,1,4213.5
2021-06-08 08:05:00-04:00,4213.5,4213.5,4213.25,4213.25,2,2,8426.75
2021-06-08 08:19:00-04:00,4215.0,4215.0,4215.0,4215.0,3,2,12645.0
2021-06-08 08:36:00-04:00,4215.25,4215.25,4215.25,4215.25,1,1,4215.25
2021-06-08 08:58:00-04:00,4213.5,4213.5,4213.5,4213.5,1,1,4213.5
2021-06-08 09:11:00-04:00,4215.25,4215.25,4215.25,4215.25,1,1,4215.25
2021-06-08 09:51:00-04:00,4206.0,4206.0,4206.0,4206.0,2,1,8412.0
2021-06-08 09:52:00-04:00,4205.0,4205.0,4205.0,4205.0,2,2,8410.0
2021-06-08 09:58:00-04:00,4200.0,4200.0,4200.0,4200.0,2,1,8400.0
2021-06-08 10:03:00-04:00,4202.0,4202.0,4202.0,4202.0,1,1,4202.0
2021-06-08 10:17:00-04:00,4203.5,4203.75,4203.5,4203.75,2,2,8407.25
2021-06-08 11:04:00-04:00,4202.0,4202.0,4202.0,4202.0,1,1,4202.0
2021-06-08 11:06:00-04:00,4202.5,4202.5,4202.5,4202.5,1,1,4202.5
2021-06-08 11:19:00-04:00,4195.0,4195.0,4195.0,4195.0,1,1,4195.0
2021-06-08 11:20:00-04:00,4192.0,4192.25,4192.0,4192.25,2,2,8384.25
2021-06-08 11:21:00-04:00,4190.0,4190.0,4190.0,4190.0,3,2,12570.0
2021-06-08 11:22:00-04:00,4187.75,4187.75,4187.75,4187.75,1,1,4187.75
2021-06-08 11:26:00-04:00,4188.25,4188.25,4188.0,4188.0,2,2,8376.25
2021-06-08 11:42:00-04:00,4197.5,4197.5,4197.5,4197.5,2,1,8395.0
2021-06-08 11:43:00-04:00,4200.0,4200.0,4200.0,4200.0,1,1,4200.0
2021-06-08 11:54:00-04:00,4201.25,4201.25,4200.25,4200.25,10,5,42006.5
2021-06-08 11:55:00-04:00,4202.25,4202.25,4202.25,4202.25,1,1,4202.25
2021-06-08 11:57:00-04:00,4202.75,4202.75,4202.75,4202.75,1,1,4202.75
2021-06-08 12:01:00-04:00,4204.5,4204.5,4204.5,4204.5,1,1,4204.5
2021-06-08 12:10:00-04:00,4206.25,4206.25,4206.25,4206.25,1,1,4206.25
2021-06-08 12:28:00-04:00,4207.75,4207.75,4207.75,4207.75,1,1,4207.75
2021-06-08 12:32:00-04:00,4209.0,4209.0,4209.0,4209.0,1,1,4209.0
2021-06-08 12:39:00-04:00,4207.75,4207.75,4207.75,4207.75,1,1,4207.75
2021-06-08 13:27:00-04:00,4205.75,4205.75,4205.75,4205.75,1,1,4205.75
2021-06-08 13:45:00-04:00,4208.75,4208.75,4208.75,4208.75,1,1,4208.75
2021-06-08 15:21:00-04:00,4212.0,4212.5,4212.0,4212.5,2,2,8424.5
