,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-28 20:00:00-04:00,1291.25,1292.5,1290.0,1290.25,69,39,89066.0
2021-09-28 20:01:00-04:00,1290.0,1291.5,1290.0,1291.25,13,8,16779.75
2021-09-28 20:03:00-04:00,1292.0,1292.0,1292.0,1292.0,1,1,1292.0
2021-09-28 20:05:00-04:00,1291.0,1291.0,1291.0,1291.0,1,1,1291.0
2021-09-28 20:10:00-04:00,1291.25,1291.25,1291.25,1291.25,4,1,5165.0
2021-09-28 20:11:00-04:00,1291.25,1291.25,1291.25,1291.25,1,1,1291.25
2021-09-28 20:15:00-04:00,1292.25,1292.25,1292.25,1292.25,3,1,3876.75
2021-09-28 20:20:00-04:00,1292.5,1292.5,1292.5,1292.5,7,2,9047.5
2021-09-28 20:21:00-04:00,1292.75,1292.75,1292.75,1292.75,1,1,1292.75
2021-09-28 20:25:00-04:00,1292.75,1292.75,1292.75,1292.75,1,1,1292.75
2021-09-28 20:31:00-04:00,1292.25,1292.25,1292.25,1292.25,3,3,3876.75
2021-09-28 20:38:00-04:00,1291.75,1291.75,1291.5,1291.5,4,3,5166.75
2021-09-28 20:45:00-04:00,1292.25,1292.25,1292.25,1292.25,1,1,1292.25
2021-09-28 20:47:00-04:00,1292.0,1292.0,1292.0,1292.0,2,2,2584.0
2021-09-28 20:48:00-04:00,1292.25,1292.25,1292.25,1292.25,3,1,3876.75
2021-09-28 20:53:00-04:00,1292.0,1292.0,1292.0,1292.0,6,1,7752.0
2021-09-28 20:55:00-04:00,1291.75,1291.75,1291.75,1291.75,2,1,2583.5
2021-09-28 21:00:00-04:00,1291.0,1291.0,1291.0,1291.0,1,1,1291.0
2021-09-28 21:06:00-04:00,1290.75,1290.75,1290.75,1290.75,1,1,1290.75
2021-09-28 21:11:00-04:00,1290.0,1290.0,1290.0,1290.0,25,2,32250.0
2021-09-28 21:12:00-04:00,1290.0,1290.0,1290.0,1290.0,45,16,58050.0
2021-09-28 21:13:00-04:00,1290.25,1290.5,1290.25,1290.5,37,3,47745.5
2021-09-28 21:14:00-04:00,1290.5,1290.5,1290.5,1290.5,37,11,47748.5
2021-09-28 21:18:00-04:00,1289.5,1289.5,1289.5,1289.5,5,1,6447.5
2021-09-28 21:19:00-04:00,1289.75,1289.75,1289.75,1289.75,7,2,9028.25
2021-09-28 21:20:00-04:00,1289.75,1289.75,1289.75,1289.75,11,4,14187.25
2021-09-28 21:21:00-04:00,1289.75,1289.75,1289.75,1289.75,14,6,18056.5
2021-09-28 21:23:00-04:00,1290.0,1290.0,1290.0,1290.0,4,1,5160.0
2021-09-28 21:24:00-04:00,1290.0,1290.0,1290.0,1290.0,1,1,1290.0
2021-09-28 21:25:00-04:00,1290.25,1290.25,1290.0,1290.0,33,11,42577.75
2021-09-28 21:26:00-04:00,1289.75,1289.75,1289.75,1289.75,2,2,2579.5
2021-09-28 21:27:00-04:00,1289.5,1289.5,1289.5,1289.5,2,2,2579.0
2021-09-28 21:28:00-04:00,1289.0,1289.0,1288.75,1288.75,7,4,9022.75
2021-09-28 21:29:00-04:00,1289.25,1289.25,1289.25,1289.25,35,11,45123.75
2021-09-28 21:30:00-04:00,1289.25,1289.25,1289.0,1289.0,4,4,5156.5
2021-09-28 21:31:00-04:00,1288.75,1288.75,1288.75,1288.75,5,1,6443.75
2021-09-28 21:34:00-04:00,1288.5,1288.5,1288.5,1288.5,39,18,50251.5
2021-09-28 21:35:00-04:00,1288.75,1288.75,1288.75,1288.75,1,1,1288.75
2021-09-28 21:42:00-04:00,1289.0,1289.0,1289.0,1289.0,4,4,5156.0
2021-09-28 21:44:00-04:00,1289.25,1290.25,1289.25,1290.25,11,4,14186.25
2021-09-28 21:47:00-04:00,1290.25,1290.25,1290.25,1290.25,1,1,1290.25
2021-09-28 21:50:00-04:00,1291.0,1291.0,1291.0,1291.0,1,1,1291.0
2021-09-28 21:51:00-04:00,1290.0,1290.0,1290.0,1290.0,6,2,7740.0
2021-09-28 22:06:00-04:00,1290.75,1290.75,1290.75,1290.75,11,5,14198.25
2021-09-28 22:07:00-04:00,1290.75,1290.75,1290.75,1290.75,1,1,1290.75
2021-09-28 22:08:00-04:00,1290.75,1290.75,1290.75,1290.75,20,10,25815.0
2021-09-28 22:11:00-04:00,1290.5,1290.5,1290.5,1290.5,11,5,14195.5
2021-09-28 22:12:00-04:00,1290.75,1290.75,1290.75,1290.75,2,1,2581.5
2021-09-28 22:13:00-04:00,1290.5,1290.5,1290.5,1290.5,9,4,11614.5
2021-09-28 22:14:00-04:00,1290.5,1290.5,1290.5,1290.5,7,2,9033.5
2021-09-28 22:16:00-04:00,1290.25,1290.25,1290.25,1290.25,2,1,2580.5
2021-09-28 22:24:00-04:00,1291.0,1291.0,1291.0,1291.0,1,1,1291.0
2021-09-28 22:30:00-04:00,1291.25,1291.25,1291.25,1291.25,9,2,11621.25
2021-09-28 22:32:00-04:00,1290.5,1290.5,1290.5,1290.5,1,1,1290.5
