,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-17 00:13:00-04:00,79.385,79.385,79.385,79.385,1,1,79.385
2021-08-17 00:27:00-04:00,79.415,79.415,79.415,79.415,1,1,79.415
2021-08-17 02:12:00-04:00,79.385,79.385,79.385,79.385,1,1,79.385
2021-08-17 03:03:00-04:00,79.23,79.235,79.23,79.235,2,2,158.465
2021-08-17 03:12:00-04:00,79.175,79.175,79.175,79.175,1,1,79.175
2021-08-17 10:01:00-04:00,79.275,79.275,79.275,79.275,1,1,79.275
2021-08-17 11:02:00-04:00,79.22,79.22,79.22,79.22,1,1,79.22
2021-08-17 12:57:00-04:00,79.075,79.075,79.075,79.075,2,2,158.15
2021-08-17 13:10:00-04:00,79.07,79.07,79.07,79.07,2,1,158.14
2021-08-17 15:43:00-04:00,79.2,79.2,79.2,79.2,1,1,79.2
