,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-23 19:55:00-04:00,82.84,82.84,82.84,82.84,3,1,248.52
2021-05-23 21:16:00-04:00,82.84,82.84,82.84,82.84,1,1,82.84
2021-05-24 03:05:00-04:00,82.895,82.895,82.895,82.895,1,1,82.895
2021-05-24 04:37:00-04:00,82.78,82.78,82.78,82.78,1,1,82.78
2021-05-24 06:53:00-04:00,82.9,82.9,82.9,82.9,2,1,165.8
2021-05-24 07:57:00-04:00,82.89,82.89,82.89,82.89,1,1,82.89
2021-05-24 09:07:00-04:00,82.935,82.935,82.935,82.935,1,1,82.935
2021-05-24 10:09:00-04:00,82.975,82.975,82.97,82.97,2,2,165.945
2021-05-24 10:11:00-04:00,82.97,82.97,82.97,82.97,3,1,248.91
2021-05-24 14:27:00-04:00,83.02,83.02,83.02,83.02,1,1,83.02
2021-05-24 14:37:00-04:00,83.005,83.005,83.005,83.005,2,2,166.01
2021-05-24 15:21:00-04:00,83.045,83.045,83.045,83.045,1,1,83.045
