,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-19 19:52:00-04:00,78.44,78.44,78.44,78.44,1,1,78.44
2021-07-19 21:45:00-04:00,78.495,78.495,78.495,78.495,1,1,78.495
2021-07-19 22:21:00-04:00,78.51,78.51,78.51,78.51,1,1,78.51
2021-07-20 04:48:00-04:00,78.365,78.365,78.36,78.36,3,3,235.085
2021-07-20 05:25:00-04:00,78.44,78.44,78.44,78.44,1,1,78.44
2021-07-20 06:17:00-04:00,78.455,78.455,78.455,78.455,1,1,78.455
2021-07-20 09:02:00-04:00,78.29,78.29,78.29,78.29,1,1,78.29
2021-07-20 09:31:00-04:00,78.29,78.31,78.29,78.31,3,2,234.91
2021-07-20 09:47:00-04:00,78.455,78.455,78.455,78.455,1,1,78.455
2021-07-20 10:43:00-04:00,78.48,78.48,78.48,78.48,1,1,78.48
2021-07-20 14:22:00-04:00,78.7,78.7,78.7,78.7,1,1,78.7
