,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-10-03 17:00:00-04:00,0.9303,0.9318,0.9302,0.9306,0,119,0.0
2021-10-03 17:01:00-04:00,0.9306,0.931,0.9304,0.9307,0,93,0.0
2021-10-03 17:02:00-04:00,0.9307,0.9308,0.9301,0.9305,0,158,0.0
2021-10-03 17:03:00-04:00,0.9305,0.9307,0.9304,0.9306,0,153,0.0
2021-10-03 17:04:00-04:00,0.9306,0.931,0.9303,0.9306,0,224,0.0
2021-10-03 17:05:00-04:00,0.9306,0.9309,0.9301,0.9301,0,304,0.0
2021-10-03 17:06:00-04:00,0.9301,0.9302,0.93,0.9301,0,324,0.0
2021-10-03 17:07:00-04:00,0.9301,0.9306,0.9301,0.9306,0,440,0.0
2021-10-03 17:08:00-04:00,0.9306,0.9306,0.93,0.9301,0,387,0.0
2021-10-03 17:09:00-04:00,0.9301,0.9302,0.93,0.9302,0,380,0.0
2021-10-03 17:10:00-04:00,0.9302,0.9308,0.9301,0.9301,0,428,0.0
2021-10-03 17:11:00-04:00,0.9301,0.9304,0.9301,0.9301,0,454,0.0
2021-10-03 17:12:00-04:00,0.9301,0.9302,0.9301,0.9301,0,374,0.0
2021-10-03 17:13:00-04:00,0.9301,0.9305,0.9301,0.9301,0,472,0.0
2021-10-03 17:14:00-04:00,0.9301,0.9306,0.9301,0.9304,0,373,0.0
2021-10-03 17:15:00-04:00,0.9304,0.9305,0.9302,0.9302,0,338,0.0
2021-10-03 17:16:00-04:00,0.9302,0.9303,0.9302,0.9302,0,331,0.0
2021-10-03 17:17:00-04:00,0.9302,0.9303,0.9302,0.9302,0,354,0.0
2021-10-03 17:18:00-04:00,0.9302,0.9303,0.9301,0.9302,0,359,0.0
2021-10-03 17:19:00-04:00,0.9302,0.9303,0.9302,0.9303,0,359,0.0
2021-10-03 17:20:00-04:00,0.9302,0.9305,0.9301,0.9302,0,364,0.0
2021-10-03 17:21:00-04:00,0.9302,0.9302,0.93,0.9302,0,401,0.0
2021-10-03 17:22:00-04:00,0.9302,0.9303,0.9301,0.9303,0,352,0.0
2021-10-03 17:23:00-04:00,0.9303,0.9303,0.9301,0.9301,0,341,0.0
2021-10-03 17:24:00-04:00,0.9301,0.9302,0.93,0.9302,0,322,0.0
2021-10-03 17:25:00-04:00,0.9302,0.9302,0.9299,0.9301,0,310,0.0
2021-10-03 17:26:00-04:00,0.9301,0.9303,0.93,0.9302,0,325,0.0
2021-10-03 17:27:00-04:00,0.9302,0.9304,0.9301,0.9303,0,345,0.0
2021-10-03 17:28:00-04:00,0.9303,0.9304,0.9303,0.9304,0,321,0.0
2021-10-03 17:29:00-04:00,0.9304,0.9305,0.9303,0.9304,0,335,0.0
2021-10-03 17:30:00-04:00,0.9304,0.9304,0.9301,0.9303,0,401,0.0
2021-10-03 17:31:00-04:00,0.9303,0.9303,0.9301,0.9302,0,379,0.0
2021-10-03 17:32:00-04:00,0.9302,0.9305,0.9302,0.9303,0,426,0.0
2021-10-03 17:33:00-04:00,0.9303,0.9304,0.9301,0.9303,0,403,0.0
2021-10-03 17:34:00-04:00,0.9303,0.9304,0.9301,0.9303,0,401,0.0
2021-10-03 17:35:00-04:00,0.9303,0.9303,0.9301,0.9302,0,360,0.0
2021-10-03 17:36:00-04:00,0.9302,0.9303,0.9301,0.9303,0,391,0.0
2021-10-03 17:37:00-04:00,0.9303,0.9303,0.9301,0.9302,0,352,0.0
2021-10-03 17:38:00-04:00,0.9302,0.9303,0.9301,0.9301,0,396,0.0
2021-10-03 17:39:00-04:00,0.9302,0.9304,0.9301,0.9302,0,422,0.0
2021-10-03 17:40:00-04:00,0.9302,0.9304,0.9301,0.9304,0,369,0.0
2021-10-03 17:41:00-04:00,0.9304,0.9304,0.9302,0.9302,0,333,0.0
2021-10-03 17:42:00-04:00,0.9302,0.9302,0.9301,0.9302,0,385,0.0
2021-10-03 17:43:00-04:00,0.9302,0.9302,0.9301,0.9301,0,342,0.0
2021-10-03 17:44:00-04:00,0.9301,0.9302,0.9301,0.9301,0,355,0.0
2021-10-03 17:45:00-04:00,0.9301,0.9302,0.9301,0.9301,0,366,0.0
2021-10-03 17:46:00-04:00,0.9301,0.9303,0.9301,0.9302,0,376,0.0
2021-10-03 17:47:00-04:00,0.9302,0.9302,0.93,0.93,0,394,0.0
2021-10-03 17:48:00-04:00,0.93,0.9301,0.93,0.93,0,397,0.0
2021-10-03 17:49:00-04:00,0.93,0.9302,0.9299,0.9302,0,378,0.0
2021-10-03 17:50:00-04:00,0.9302,0.9303,0.9301,0.9302,0,356,0.0
2021-10-03 17:51:00-04:00,0.9302,0.9302,0.9301,0.9302,0,375,0.0
2021-10-03 17:52:00-04:00,0.9302,0.9302,0.9301,0.9301,0,345,0.0
2021-10-03 17:53:00-04:00,0.9301,0.9302,0.9301,0.9302,0,346,0.0
2021-10-03 17:54:00-04:00,0.9302,0.9302,0.9301,0.9302,0,358,0.0
2021-10-03 17:55:00-04:00,0.9302,0.9303,0.9301,0.9302,0,348,0.0
2021-10-03 17:56:00-04:00,0.9302,0.9302,0.9301,0.9302,0,344,0.0
2021-10-03 17:57:00-04:00,0.9302,0.9302,0.9301,0.9302,0,338,0.0
2021-10-03 17:58:00-04:00,0.9302,0.9303,0.93,0.93,0,358,0.0
2021-10-03 17:59:00-04:00,0.93,0.9302,0.9299,0.93,0,378,0.0
2021-10-03 18:00:00-04:00,0.93,0.9303,0.93,0.9302,0,581,0.0
2021-10-03 18:01:00-04:00,0.9302,0.9303,0.93,0.9301,0,638,0.0
2021-10-03 18:02:00-04:00,0.9301,0.9302,0.9298,0.9302,0,625,0.0
2021-10-03 18:03:00-04:00,0.9302,0.9302,0.9302,0.9302,0,492,0.0
2021-10-03 18:04:00-04:00,0.9302,0.9302,0.9301,0.9301,0,505,0.0
2021-10-03 18:05:00-04:00,0.9301,0.9301,0.93,0.9301,0,507,0.0
2021-10-03 18:06:00-04:00,0.9301,0.9301,0.93,0.93,0,550,0.0
