,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-07-18 14:58:00-04:00,0.9196,0.9196,0.9196,0.9196,0,2,0.0
2021-07-18 14:59:00-04:00,0.919,0.9195,0.919,0.9195,0,4,0.0
2021-07-18 15:00:00-04:00,0.9195,0.9195,0.9192,0.9192,0,18,0.0
2021-07-18 15:01:00-04:00,0.9196,0.9196,0.9188,0.9188,0,7,0.0
2021-07-18 15:02:00-04:00,0.9192,0.9194,0.9192,0.9194,0,6,0.0
2021-07-18 15:05:00-04:00,0.919,0.9192,0.919,0.9192,0,2,0.0
2021-07-18 15:07:00-04:00,0.9192,0.9194,0.9192,0.9192,0,15,0.0
2021-07-18 15:08:00-04:00,0.9196,0.9196,0.9192,0.9192,0,5,0.0
2021-07-18 15:12:00-04:00,0.9188,0.9192,0.9188,0.9192,0,2,0.0
2021-07-18 15:15:00-04:00,0.9194,0.9194,0.919,0.9192,0,18,0.0
2021-07-18 15:16:00-04:00,0.9192,0.9192,0.9188,0.919,0,12,0.0
2021-07-18 15:17:00-04:00,0.919,0.9194,0.919,0.9194,0,4,0.0
2021-07-18 15:19:00-04:00,0.9194,0.9194,0.9192,0.9192,0,4,0.0
2021-07-18 15:20:00-04:00,0.9192,0.9192,0.9192,0.9192,0,4,0.0
2021-07-18 15:21:00-04:00,0.9192,0.9193,0.9192,0.9193,0,4,0.0
2021-07-18 15:22:00-04:00,0.9195,0.9196,0.9193,0.9195,0,20,0.0
2021-07-18 15:24:00-04:00,0.919,0.9194,0.919,0.9194,0,12,0.0
2021-07-18 15:25:00-04:00,0.9194,0.9194,0.9191,0.9192,0,37,0.0
2021-07-18 15:26:00-04:00,0.9191,0.9195,0.9189,0.9192,0,26,0.0
2021-07-18 15:27:00-04:00,0.9192,0.9194,0.919,0.9192,0,28,0.0
2021-07-18 15:28:00-04:00,0.9196,0.9196,0.9189,0.9192,0,8,0.0
2021-07-18 15:29:00-04:00,0.9195,0.9195,0.9194,0.9194,0,13,0.0
2021-07-18 15:30:00-04:00,0.9195,0.9195,0.9192,0.9194,0,48,0.0
2021-07-18 15:31:00-04:00,0.9194,0.9195,0.9192,0.9194,0,33,0.0
2021-07-18 15:32:00-04:00,0.9192,0.9194,0.9192,0.9192,0,24,0.0
2021-07-18 15:33:00-04:00,0.9192,0.9196,0.9192,0.9193,0,30,0.0
2021-07-18 15:34:00-04:00,0.9193,0.9193,0.9192,0.9192,0,18,0.0
2021-07-18 15:35:00-04:00,0.9192,0.9192,0.9192,0.9192,0,24,0.0
