,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-09-21 17:00:00-04:00,0.9236,0.9236,0.9235,0.9236,0,334,0.0
2021-09-21 17:01:00-04:00,0.9236,0.9236,0.9236,0.9236,0,420,0.0
2021-09-21 17:02:00-04:00,0.9236,0.9236,0.9236,0.9236,0,410,0.0
2021-09-21 17:03:00-04:00,0.9236,0.9236,0.9236,0.9236,0,438,0.0
2021-09-21 17:04:00-04:00,0.9236,0.9236,0.9232,0.9233,0,486,0.0
2021-09-21 17:05:00-04:00,0.9233,0.9234,0.9233,0.9233,0,456,0.0
2021-09-21 17:06:00-04:00,0.9233,0.9233,0.9233,0.9233,0,466,0.0
2021-09-21 17:07:00-04:00,0.9233,0.9233,0.9233,0.9233,0,452,0.0
2021-09-21 17:08:00-04:00,0.9233,0.9233,0.9233,0.9233,0,462,0.0
2021-09-21 17:09:00-04:00,0.9233,0.9233,0.9233,0.9233,0,468,0.0
2021-09-21 17:10:00-04:00,0.9233,0.9233,0.9233,0.9233,0,449,0.0
2021-09-21 17:11:00-04:00,0.9233,0.9233,0.9232,0.9232,0,482,0.0
2021-09-21 17:12:00-04:00,0.9232,0.9233,0.9232,0.9233,0,471,0.0
2021-09-21 17:13:00-04:00,0.9233,0.9233,0.9232,0.9233,0,467,0.0
2021-09-21 17:14:00-04:00,0.9233,0.9233,0.9232,0.9232,0,458,0.0
2021-09-21 17:15:00-04:00,0.9232,0.9232,0.9232,0.9232,0,474,0.0
2021-09-21 17:16:00-04:00,0.9232,0.9233,0.923,0.923,0,520,0.0
2021-09-21 17:17:00-04:00,0.923,0.9231,0.923,0.923,0,523,0.0
2021-09-21 17:18:00-04:00,0.923,0.9231,0.923,0.9231,0,511,0.0
2021-09-21 17:19:00-04:00,0.9231,0.9237,0.923,0.9234,0,529,0.0
2021-09-21 17:20:00-04:00,0.9234,0.9236,0.9234,0.9235,0,477,0.0
2021-09-21 17:21:00-04:00,0.9235,0.9236,0.9235,0.9235,0,483,0.0
2021-09-21 17:22:00-04:00,0.9235,0.9237,0.9235,0.9235,0,476,0.0
2021-09-21 17:23:00-04:00,0.9235,0.9242,0.9235,0.9241,0,511,0.0
2021-09-21 17:24:00-04:00,0.9241,0.9242,0.924,0.9241,0,482,0.0
2021-09-21 17:25:00-04:00,0.9241,0.9242,0.924,0.924,0,491,0.0
2021-09-21 17:26:00-04:00,0.924,0.9241,0.924,0.9241,0,480,0.0
2021-09-21 17:27:00-04:00,0.9241,0.9241,0.924,0.9241,0,478,0.0
2021-09-21 17:28:00-04:00,0.9241,0.9241,0.924,0.924,0,464,0.0
2021-09-21 17:29:00-04:00,0.924,0.9241,0.9239,0.9241,0,493,0.0
2021-09-21 17:30:00-04:00,0.9241,0.9242,0.9233,0.9236,0,641,0.0
2021-09-21 17:31:00-04:00,0.9236,0.9236,0.9236,0.9236,0,444,0.0
2021-09-21 17:32:00-04:00,0.9236,0.9236,0.9236,0.9236,0,412,0.0
2021-09-21 17:33:00-04:00,0.9236,0.9237,0.9236,0.9236,0,419,0.0
2021-09-21 17:34:00-04:00,0.9236,0.9237,0.9236,0.9236,0,393,0.0
2021-09-21 17:35:00-04:00,0.9236,0.9236,0.9236,0.9236,0,385,0.0
2021-09-21 17:36:00-04:00,0.9236,0.9236,0.9236,0.9236,0,381,0.0
2021-09-21 17:37:00-04:00,0.9236,0.9236,0.9236,0.9236,0,373,0.0
2021-09-21 17:38:00-04:00,0.9236,0.9236,0.9236,0.9236,0,394,0.0
2021-09-21 17:39:00-04:00,0.9236,0.9236,0.9236,0.9236,0,381,0.0
2021-09-21 17:40:00-04:00,0.9236,0.9237,0.9236,0.9236,0,469,0.0
2021-09-21 17:41:00-04:00,0.9236,0.9237,0.9236,0.9236,0,468,0.0
2021-09-21 17:42:00-04:00,0.9236,0.9243,0.9236,0.9236,0,576,0.0
2021-09-21 17:43:00-04:00,0.9236,0.9236,0.9236,0.9236,0,492,0.0
2021-09-21 17:44:00-04:00,0.9236,0.9236,0.9235,0.9236,0,489,0.0
2021-09-21 17:45:00-04:00,0.9236,0.9236,0.9235,0.9235,0,475,0.0
2021-09-21 17:46:00-04:00,0.9235,0.9241,0.9235,0.924,0,519,0.0
2021-09-21 17:47:00-04:00,0.924,0.9241,0.924,0.9241,0,612,0.0
2021-09-21 17:48:00-04:00,0.9241,0.9241,0.924,0.924,0,504,0.0
