,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-07-25 15:00:00-04:00,0.9192,0.9193,0.9192,0.9193,0,45,0.0
2021-07-25 15:01:00-04:00,0.9194,0.9204,0.9192,0.9204,0,167,0.0
2021-07-25 15:02:00-04:00,0.9204,0.9204,0.9201,0.9204,0,137,0.0
2021-07-25 15:03:00-04:00,0.9203,0.9203,0.9197,0.9203,0,67,0.0
2021-07-25 15:04:00-04:00,0.9199,0.9204,0.9199,0.9203,0,52,0.0
2021-07-25 15:05:00-04:00,0.9199,0.9204,0.9199,0.9203,0,34,0.0
2021-07-25 15:06:00-04:00,0.9199,0.9203,0.9198,0.9201,0,38,0.0
2021-07-25 15:07:00-04:00,0.9204,0.9204,0.9201,0.9204,0,56,0.0
2021-07-25 15:08:00-04:00,0.9199,0.9205,0.9199,0.9204,0,24,0.0
2021-07-25 15:09:00-04:00,0.9199,0.9205,0.9199,0.9202,0,28,0.0
2021-07-25 15:10:00-04:00,0.92,0.9205,0.92,0.9204,0,28,0.0
2021-07-25 15:11:00-04:00,0.9202,0.9204,0.9202,0.9204,0,28,0.0
2021-07-25 15:12:00-04:00,0.9204,0.9204,0.9201,0.9204,0,60,0.0
2021-07-25 15:13:00-04:00,0.9204,0.9205,0.9202,0.9202,0,50,0.0
2021-07-25 15:14:00-04:00,0.92,0.9205,0.92,0.9204,0,24,0.0
2021-07-25 15:15:00-04:00,0.9204,0.9204,0.9199,0.9201,0,36,0.0
2021-07-25 15:16:00-04:00,0.9199,0.9202,0.9198,0.9201,0,52,0.0
2021-07-25 15:17:00-04:00,0.9199,0.9204,0.9199,0.9204,0,52,0.0
2021-07-25 15:18:00-04:00,0.9199,0.9204,0.9199,0.9204,0,38,0.0
2021-07-25 15:19:00-04:00,0.9204,0.9204,0.9201,0.9204,0,56,0.0
2021-07-25 15:20:00-04:00,0.9204,0.9204,0.9201,0.9204,0,58,0.0
2021-07-25 15:21:00-04:00,0.9202,0.9204,0.9202,0.9204,0,71,0.0
2021-07-25 15:22:00-04:00,0.9204,0.9205,0.9202,0.9204,0,59,0.0
2021-07-25 15:23:00-04:00,0.9203,0.9204,0.92,0.9204,0,46,0.0
2021-07-25 15:24:00-04:00,0.9204,0.9204,0.92,0.92,0,61,0.0
