,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy,CHF Curncy
,open,high,low,close,volume,num_trds,value
2021-09-12 15:00:00-04:00,0.9168,0.9178,0.9168,0.9171,0,403,0.0
2021-09-12 15:01:00-04:00,0.9172,0.9186,0.9168,0.9178,0,590,0.0
2021-09-12 15:02:00-04:00,0.9178,0.9185,0.9177,0.9178,0,268,0.0
2021-09-12 15:03:00-04:00,0.9177,0.9185,0.9177,0.9179,0,14,0.0
2021-09-12 15:04:00-04:00,0.9179,0.9179,0.9179,0.9179,0,8,0.0
2021-09-12 15:05:00-04:00,0.9176,0.9179,0.9175,0.9176,0,16,0.0
2021-09-12 15:06:00-04:00,0.9176,0.9177,0.9175,0.9177,0,26,0.0
2021-09-12 15:07:00-04:00,0.9177,0.9178,0.9175,0.9176,0,22,0.0
2021-09-12 15:08:00-04:00,0.9175,0.9177,0.9175,0.9176,0,17,0.0
2021-09-12 15:09:00-04:00,0.9176,0.9176,0.9176,0.9176,0,6,0.0
2021-09-12 15:10:00-04:00,0.9176,0.9176,0.9176,0.9176,0,10,0.0
2021-09-12 15:11:00-04:00,0.9175,0.918,0.9175,0.9179,0,31,0.0
2021-09-12 15:12:00-04:00,0.9179,0.918,0.9176,0.918,0,22,0.0
2021-09-12 15:13:00-04:00,0.9176,0.9176,0.9176,0.9176,0,2,0.0
2021-09-12 15:14:00-04:00,0.918,0.918,0.918,0.918,0,6,0.0
2021-09-12 15:15:00-04:00,0.918,0.918,0.918,0.918,0,12,0.0
2021-09-12 15:16:00-04:00,0.918,0.918,0.9176,0.9176,0,10,0.0
2021-09-12 15:17:00-04:00,0.918,0.918,0.918,0.918,0,10,0.0
2021-09-12 15:18:00-04:00,0.918,0.918,0.918,0.918,0,10,0.0
2021-09-12 15:19:00-04:00,0.9176,0.9178,0.9176,0.9176,0,25,0.0
2021-09-12 15:20:00-04:00,0.918,0.918,0.918,0.918,0,4,0.0
2021-09-12 15:21:00-04:00,0.918,0.918,0.9176,0.9176,0,6,0.0
2021-09-12 15:22:00-04:00,0.9176,0.9184,0.9176,0.9184,0,34,0.0
2021-09-12 15:23:00-04:00,0.9184,0.9184,0.918,0.9181,0,10,0.0
2021-09-12 15:24:00-04:00,0.9182,0.9182,0.9182,0.9182,0,4,0.0
2021-09-12 15:25:00-04:00,0.9182,0.9182,0.9182,0.9182,0,14,0.0
2021-09-12 15:26:00-04:00,0.9182,0.9182,0.9175,0.9176,0,26,0.0
2021-09-12 15:27:00-04:00,0.9176,0.9183,0.9176,0.918,0,44,0.0
2021-09-12 15:28:00-04:00,0.9182,0.9182,0.9182,0.9182,0,20,0.0
2021-09-12 15:29:00-04:00,0.9182,0.9182,0.9181,0.9181,0,24,0.0
2021-09-12 15:30:00-04:00,0.9179,0.9181,0.9179,0.9181,0,18,0.0
2021-09-12 15:31:00-04:00,0.918,0.9182,0.9178,0.9182,0,26,0.0
2021-09-12 15:32:00-04:00,0.9183,0.9183,0.9182,0.9182,0,6,0.0
2021-09-12 15:33:00-04:00,0.918,0.9183,0.9178,0.918,0,44,0.0
2021-09-12 15:34:00-04:00,0.918,0.9182,0.918,0.9182,0,24,0.0
2021-09-12 15:35:00-04:00,0.918,0.9182,0.9179,0.918,0,32,0.0
2021-09-12 15:36:00-04:00,0.918,0.9181,0.9176,0.9181,0,44,0.0
2021-09-12 15:37:00-04:00,0.9182,0.9182,0.918,0.9181,0,50,0.0
2021-09-12 15:38:00-04:00,0.9182,0.9182,0.9181,0.9182,0,26,0.0
2021-09-12 15:39:00-04:00,0.9182,0.9183,0.9178,0.9181,0,46,0.0
2021-09-12 15:40:00-04:00,0.918,0.9184,0.918,0.9182,0,32,0.0
2021-09-12 15:41:00-04:00,0.9182,0.9182,0.9179,0.9179,0,32,0.0
2021-09-12 15:42:00-04:00,0.9181,0.9182,0.9181,0.9182,0,4,0.0
2021-09-12 15:43:00-04:00,0.918,0.9182,0.918,0.9181,0,34,0.0
2021-09-12 15:44:00-04:00,0.9179,0.9181,0.9178,0.918,0,42,0.0
2021-09-12 15:45:00-04:00,0.918,0.9181,0.9175,0.9181,0,46,0.0
2021-09-12 15:46:00-04:00,0.918,0.918,0.9178,0.918,0,22,0.0
2021-09-12 15:47:00-04:00,0.918,0.9184,0.9176,0.9179,0,62,0.0
2021-09-12 15:48:00-04:00,0.9181,0.9181,0.9179,0.9181,0,38,0.0
2021-09-12 15:49:00-04:00,0.9181,0.9182,0.9175,0.9176,0,54,0.0
2021-09-12 15:50:00-04:00,0.918,0.918,0.9175,0.9175,0,20,0.0
2021-09-12 15:51:00-04:00,0.9179,0.918,0.9175,0.9179,0,26,0.0
2021-09-12 15:52:00-04:00,0.9179,0.918,0.9178,0.9179,0,26,0.0
2021-09-12 15:53:00-04:00,0.9179,0.918,0.9178,0.9179,0,32,0.0
2021-09-12 15:54:00-04:00,0.9179,0.918,0.9175,0.9175,0,26,0.0
2021-09-12 15:55:00-04:00,0.9179,0.918,0.9175,0.918,0,58,0.0
2021-09-12 15:56:00-04:00,0.918,0.918,0.9177,0.918,0,54,0.0
2021-09-12 15:57:00-04:00,0.918,0.9182,0.918,0.9181,0,22,0.0
2021-09-12 15:58:00-04:00,0.9181,0.9182,0.9176,0.9178,0,58,0.0
