,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-28 08:31:00-04:00,81.115,81.115,81.115,81.115,1,1,81.115
2021-06-28 09:47:00-04:00,81.01,81.01,81.01,81.01,1,1,81.01
2021-06-28 10:05:00-04:00,81.135,81.135,81.135,81.135,1,1,81.135
