,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-28 01:55:00-04:00,81.275,81.275,81.275,81.275,1,1,81.275
2021-06-28 02:00:00-04:00,81.265,81.265,81.265,81.265,1,1,81.265
2021-06-28 02:38:00-04:00,81.3,81.3,81.3,81.3,4,1,325.2
2021-06-28 08:03:00-04:00,81.09,81.09,81.09,81.09,1,1,81.09
2021-06-28 09:24:00-04:00,81.055,81.055,81.055,81.055,4,1,324.22
2021-06-28 09:54:00-04:00,81.05,81.05,81.05,81.05,2,1,162.1
2021-06-28 10:59:00-04:00,81.05,81.05,81.05,81.05,2,1,162.1
2021-06-28 11:14:00-04:00,81.14,81.14,81.14,81.14,2,1,162.28
2021-06-28 13:04:00-04:00,81.005,81.005,81.005,81.005,1,1,81.005
2021-06-28 13:31:00-04:00,81.035,81.035,81.035,81.035,1,1,81.035
2021-06-28 13:33:00-04:00,81.035,81.035,81.035,81.035,5,1,405.175
2021-06-28 13:43:00-04:00,81.03,81.03,81.03,81.03,5,1,405.15
2021-06-28 13:44:00-04:00,81.035,81.045,81.035,81.045,21,3,1701.86
2021-06-28 13:45:00-04:00,81.05,81.05,81.05,81.05,15,2,1215.75
2021-06-28 13:47:00-04:00,81.05,81.05,81.05,81.05,6,1,486.3
2021-06-28 13:48:00-04:00,81.06,81.065,81.06,81.065,12,3,972.75
2021-06-28 13:50:00-04:00,81.065,81.065,81.065,81.065,2,1,162.13
