,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-26 20:00:00-04:00,1265.0,1266.0,1264.0,1264.25,86,15,108845.0
2021-10-26 20:01:00-04:00,1264.25,1264.25,1264.25,1264.25,2,2,2528.5
2021-10-26 20:58:00-04:00,1263.75,1263.75,1263.75,1263.75,2,2,2527.5
2021-10-26 21:00:00-04:00,1263.0,1263.0,1262.25,1262.25,3,3,3787.75
2021-10-26 21:01:00-04:00,1261.5,1261.5,1261.5,1261.5,2,2,2523.0
2021-10-26 21:02:00-04:00,1261.75,1261.75,1261.75,1261.75,2,2,2523.5
2021-10-26 21:59:00-04:00,1261.5,1261.5,1261.5,1261.5,1,1,1261.5
2021-10-26 22:00:00-04:00,1261.5,1261.5,1261.5,1261.5,2,1,2523.0
2021-10-26 22:06:00-04:00,1262.0,1262.0,1262.0,1262.0,1,1,1262.0
2021-10-26 22:22:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-26 22:36:00-04:00,1262.0,1262.0,1262.0,1262.0,1,1,1262.0
2021-10-26 22:58:00-04:00,1262.25,1262.25,1262.25,1262.25,4,2,5049.0
2021-10-26 23:06:00-04:00,1264.0,1264.0,1264.0,1264.0,1,1,1264.0
2021-10-26 23:07:00-04:00,1264.0,1264.0,1264.0,1264.0,3,3,3792.0
2021-10-26 23:10:00-04:00,1264.0,1264.0,1264.0,1264.0,2,2,2528.0
2021-10-26 23:12:00-04:00,1264.25,1264.25,1264.25,1264.25,1,1,1264.25
2021-10-26 23:19:00-04:00,1264.75,1264.75,1264.75,1264.75,20,4,25295.0
2021-10-26 23:20:00-04:00,1265.0,1265.0,1265.0,1265.0,16,9,20240.0
2021-10-26 23:21:00-04:00,1265.25,1265.25,1265.25,1265.25,5,4,6326.25
2021-10-26 23:22:00-04:00,1265.25,1265.25,1265.25,1265.25,5,1,6326.25
2021-10-26 23:31:00-04:00,1264.75,1264.75,1264.75,1264.75,1,1,1264.75
2021-10-26 23:37:00-04:00,1264.75,1264.75,1264.75,1264.75,2,1,2529.5
2021-10-26 23:44:00-04:00,1265.0,1265.0,1265.0,1265.0,2,2,2530.0
2021-10-26 23:55:00-04:00,1264.75,1264.75,1264.75,1264.75,1,1,1264.75
2021-10-27 00:03:00-04:00,1265.0,1265.0,1265.0,1265.0,1,1,1265.0
2021-10-27 00:38:00-04:00,1264.75,1264.75,1264.75,1264.75,8,3,10118.0
