,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-24 20:30:00-04:00,79.4,79.4,79.4,79.4,2,2,158.8
2021-08-24 20:31:00-04:00,79.38,79.38,79.38,79.38,2,2,158.76
2021-08-24 20:32:00-04:00,79.39,79.39,79.39,79.39,1,1,79.39
2021-08-24 23:30:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-08-25 08:29:00-04:00,79.18,79.18,79.18,79.18,1,1,79.18
2021-08-25 08:45:00-04:00,79.16,79.16,79.16,79.16,1,1,79.16
2021-08-25 09:10:00-04:00,79.21,79.21,79.21,79.21,1,1,79.21
2021-08-25 09:11:00-04:00,79.225,79.225,79.225,79.225,1,1,79.225
2021-08-25 09:32:00-04:00,79.115,79.115,79.115,79.115,1,1,79.115
2021-08-25 11:39:00-04:00,79.165,79.165,79.165,79.165,2,1,158.33
2021-08-25 12:26:00-04:00,79.23,79.23,79.23,79.23,2,1,158.46
2021-08-25 15:23:00-04:00,79.37,79.37,79.37,79.37,1,1,79.37
2021-08-25 15:54:00-04:00,79.39,79.4,79.39,79.4,2,2,158.79
