,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-05-24 18:24:00-04:00,4179.0,4179.0,4179.0,4179.0,4,2,16716.0
2021-05-24 19:53:00-04:00,4182.0,4182.0,4182.0,4182.0,1,1,4182.0
2021-05-24 20:30:00-04:00,4177.25,4177.25,4177.25,4177.25,1,1,4177.25
2021-05-24 20:45:00-04:00,4181.0,4181.0,4181.0,4181.0,1,1,4181.0
2021-05-24 21:13:00-04:00,4183.25,4183.25,4183.25,4183.25,1,1,4183.25
2021-05-24 21:14:00-04:00,4184.0,4184.0,4184.0,4184.0,1,1,4184.0
2021-05-24 23:01:00-04:00,4182.0,4182.0,4182.0,4182.0,1,1,4182.0
2021-05-25 01:23:00-04:00,4184.0,4184.0,4184.0,4184.0,1,1,4184.0
2021-05-25 02:00:00-04:00,4186.0,4186.0,4186.0,4186.0,1,1,4186.0
2021-05-25 02:11:00-04:00,4188.0,4189.0,4188.0,4189.0,2,2,8377.0
2021-05-25 02:14:00-04:00,4190.0,4190.0,4190.0,4190.0,1,1,4190.0
2021-05-25 02:17:00-04:00,4192.0,4192.0,4192.0,4192.0,1,1,4192.0
2021-05-25 04:37:00-04:00,4187.0,4187.0,4187.0,4187.0,1,1,4187.0
2021-05-25 08:17:00-04:00,4186.5,4186.5,4186.25,4186.25,2,2,8372.75
2021-05-25 08:19:00-04:00,4186.25,4186.25,4186.25,4186.25,2,2,8372.5
2021-05-25 08:31:00-04:00,4186.0,4186.0,4186.0,4186.0,1,1,4186.0
2021-05-25 08:57:00-04:00,4184.75,4184.75,4184.75,4184.75,1,1,4184.75
2021-05-25 09:35:00-04:00,4186.0,4186.0,4185.0,4185.0,5,5,20927.5
2021-05-25 09:45:00-04:00,4183.0,4183.0,4183.0,4183.0,1,1,4183.0
2021-05-25 09:48:00-04:00,4180.0,4180.0,4180.0,4180.0,1,1,4180.0
2021-05-25 09:53:00-04:00,4176.0,4176.0,4176.0,4176.0,1,1,4176.0
2021-05-25 09:55:00-04:00,4177.5,4178.25,4177.5,4178.25,2,2,8355.75
2021-05-25 09:58:00-04:00,4177.0,4177.0,4177.0,4177.0,1,1,4177.0
2021-05-25 10:11:00-04:00,4176.25,4176.25,4176.25,4176.25,1,1,4176.25
2021-05-25 10:18:00-04:00,4176.5,4176.5,4176.5,4176.5,1,1,4176.5
2021-05-25 10:21:00-04:00,4176.0,4176.0,4176.0,4176.0,1,1,4176.0
2021-05-25 10:25:00-04:00,4178.25,4178.25,4178.25,4178.25,1,1,4178.25
2021-05-25 10:32:00-04:00,4175.0,4175.0,4175.0,4175.0,1,1,4175.0
2021-05-25 10:34:00-04:00,4173.0,4173.0,4173.0,4173.0,2,1,8346.0
2021-05-25 10:43:00-04:00,4174.25,4174.25,4174.25,4174.25,1,1,4174.25
2021-05-25 11:04:00-04:00,4172.0,4172.0,4172.0,4172.0,1,1,4172.0
2021-05-25 11:11:00-04:00,4175.0,4175.0,4175.0,4175.0,1,1,4175.0
2021-05-25 11:19:00-04:00,4170.0,4170.0,4170.0,4170.0,1,1,4170.0
2021-05-25 11:33:00-04:00,4165.0,4165.0,4165.0,4165.0,1,1,4165.0
2021-05-25 13:57:00-04:00,4170.5,4170.5,4170.5,4170.5,2,2,8341.0
2021-05-25 14:01:00-04:00,4167.75,4167.75,4167.75,4167.75,1,1,4167.75
2021-05-25 15:20:00-04:00,4165.0,4165.0,4165.0,4165.0,1,1,4165.0
2021-05-25 15:21:00-04:00,4164.5,4164.5,4164.5,4164.5,1,1,4164.5
2021-05-25 15:51:00-04:00,4160.0,4160.0,4160.0,4160.0,1,1,4160.0
