,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-18 20:00:00-04:00,1475.0,1479.25,1473.75,1473.75,634,187,935719.0
2021-07-18 20:01:00-04:00,1473.75,1478.0,1473.75,1475.5,130,63,191926.75
2021-07-18 20:02:00-04:00,1475.75,1479.0,1475.75,1478.0,70,32,103431.75
2021-07-18 20:03:00-04:00,1477.75,1480.0,1477.75,1478.25,36,22,53252.5
2021-07-18 20:04:00-04:00,1477.5,1477.75,1474.75,1475.75,25,16,36898.75
2021-07-18 20:05:00-04:00,1475.25,1475.25,1473.75,1473.75,33,16,48670.0
2021-07-18 20:06:00-04:00,1474.5,1475.25,1474.0,1475.25,21,12,30969.25
2021-07-18 20:07:00-04:00,1474.75,1474.75,1473.25,1473.75,22,11,32430.75
2021-07-18 20:08:00-04:00,1473.25,1474.0,1473.25,1474.0,6,3,8841.75
2021-07-18 20:09:00-04:00,1473.75,1476.25,1473.75,1476.25,33,19,48676.75
2021-07-18 20:10:00-04:00,1474.5,1476.75,1474.5,1476.0,33,20,48704.25
2021-07-18 20:11:00-04:00,1476.25,1476.75,1475.5,1476.75,14,13,20669.25
2021-07-18 20:12:00-04:00,1475.75,1476.75,1475.75,1476.75,19,9,28048.0
2021-07-18 20:13:00-04:00,1475.75,1475.75,1475.25,1475.25,8,4,11805.25
2021-07-18 20:14:00-04:00,1475.25,1475.25,1475.0,1475.0,4,4,5900.75
2021-07-18 20:15:00-04:00,1474.75,1475.25,1474.75,1475.0,5,5,7375.0
2021-07-18 20:16:00-04:00,1474.75,1475.25,1474.75,1475.25,2,2,2950.0
2021-07-18 20:17:00-04:00,1476.0,1476.0,1476.0,1476.0,1,1,1476.0
2021-07-18 20:18:00-04:00,1476.75,1477.0,1476.75,1477.0,18,7,26585.75
2021-07-18 20:19:00-04:00,1476.75,1476.75,1476.0,1476.25,12,7,17716.25
2021-07-18 20:20:00-04:00,1476.75,1477.5,1476.75,1476.75,11,5,16247.0
2021-07-18 20:21:00-04:00,1477.0,1477.0,1476.0,1476.0,4,4,5906.25
2021-07-18 20:22:00-04:00,1476.25,1476.25,1476.0,1476.0,2,2,2952.25
2021-07-18 20:23:00-04:00,1476.25,1476.25,1476.0,1476.0,2,2,2952.25
2021-07-18 20:25:00-04:00,1476.0,1476.0,1476.0,1476.0,1,1,1476.0
2021-07-18 20:26:00-04:00,1476.75,1476.75,1476.75,1476.75,4,2,5907.0
2021-07-18 20:28:00-04:00,1476.0,1476.0,1476.0,1476.0,1,1,1476.0
2021-07-18 20:29:00-04:00,1476.0,1476.0,1475.5,1475.75,8,6,11806.0
2021-07-18 20:30:00-04:00,1475.0,1475.0,1474.5,1474.5,13,3,19174.5
2021-07-18 20:31:00-04:00,1474.75,1474.75,1474.5,1474.5,3,2,4424.0
2021-07-18 20:32:00-04:00,1474.75,1474.75,1474.75,1474.75,2,2,2949.5
2021-07-18 20:33:00-04:00,1474.75,1475.0,1474.75,1474.75,4,3,5899.25
2021-07-18 20:34:00-04:00,1474.75,1474.75,1474.75,1474.75,2,2,2949.5
2021-07-18 20:35:00-04:00,1475.0,1475.0,1474.75,1474.75,5,2,7374.5
2021-07-18 20:36:00-04:00,1474.5,1474.5,1474.0,1474.0,29,6,42755.25
2021-07-18 20:37:00-04:00,1474.0,1474.0,1473.75,1473.75,2,2,2947.75
2021-07-18 20:38:00-04:00,1473.75,1473.75,1473.75,1473.75,2,2,2947.5
2021-07-18 20:39:00-04:00,1473.5,1473.5,1473.5,1473.5,2,1,2947.0
2021-07-18 20:40:00-04:00,1473.75,1473.75,1473.5,1473.5,4,2,5894.75
2021-07-18 20:41:00-04:00,1473.75,1473.75,1473.75,1473.75,1,1,1473.75
2021-07-18 20:42:00-04:00,1473.25,1473.25,1473.0,1473.0,2,2,2946.25
2021-07-18 20:43:00-04:00,1472.75,1472.75,1471.5,1471.5,45,17,66253.5
2021-07-18 20:44:00-04:00,1471.75,1472.0,1471.75,1472.0,5,4,7359.25
2021-07-18 20:46:00-04:00,1472.25,1472.25,1472.25,1472.25,1,1,1472.25
2021-07-18 20:48:00-04:00,1472.25,1472.25,1472.0,1472.0,6,4,8833.25
2021-07-18 20:49:00-04:00,1472.0,1472.0,1471.75,1472.0,12,7,17663.75
2021-07-18 20:52:00-04:00,1471.5,1471.75,1471.5,1471.75,2,2,2943.25
2021-07-18 20:53:00-04:00,1472.25,1472.5,1472.0,1472.5,8,6,11778.0
2021-07-18 20:54:00-04:00,1473.0,1473.0,1473.0,1473.0,1,1,1473.0
2021-07-18 20:55:00-04:00,1473.5,1473.5,1473.5,1473.5,2,2,2947.0
2021-07-18 20:58:00-04:00,1473.75,1474.0,1473.75,1473.75,10,5,14738.75
2021-07-18 21:00:00-04:00,1472.75,1472.75,1471.5,1471.5,7,6,10304.0
2021-07-18 21:02:00-04:00,1472.75,1472.75,1472.75,1472.75,1,1,1472.75
2021-07-18 21:04:00-04:00,1473.5,1473.5,1473.5,1473.5,1,1,1473.5
2021-07-18 21:08:00-04:00,1473.5,1473.5,1473.5,1473.5,2,1,2947.0
2021-07-18 21:10:00-04:00,1472.75,1472.75,1472.75,1472.75,1,1,1472.75
2021-07-18 21:13:00-04:00,1472.25,1472.25,1472.25,1472.25,1,1,1472.25
2021-07-18 21:16:00-04:00,1473.5,1473.75,1473.5,1473.5,8,3,11789.25
2021-07-18 21:17:00-04:00,1474.25,1474.25,1474.25,1474.25,5,5,7371.25
2021-07-18 21:18:00-04:00,1474.25,1474.25,1473.75,1474.25,12,8,17689.25
2021-07-18 21:24:00-04:00,1473.5,1473.5,1473.5,1473.5,6,4,8841.0
2021-07-18 21:25:00-04:00,1473.0,1473.0,1473.0,1473.0,1,1,1473.0
2021-07-18 21:26:00-04:00,1473.0,1473.0,1472.75,1472.75,3,2,4418.5
2021-07-18 21:27:00-04:00,1472.75,1472.75,1472.5,1472.5,6,4,8835.25
2021-07-18 21:28:00-04:00,1472.75,1472.75,1472.75,1472.75,1,1,1472.75
2021-07-18 21:31:00-04:00,1472.0,1472.25,1472.0,1472.25,7,6,10305.0
2021-07-18 21:32:00-04:00,1472.5,1472.5,1472.0,1472.0,7,5,10305.75
2021-07-18 21:33:00-04:00,1471.75,1471.75,1471.0,1471.0,8,6,11768.75
2021-07-18 21:34:00-04:00,1471.25,1471.25,1471.25,1471.25,4,4,5885.0
2021-07-18 21:35:00-04:00,1471.25,1471.25,1471.25,1471.25,1,1,1471.25
