,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-01 18:00:00-04:00,82.84,82.84,82.825,82.835,97,18,8034.875
2021-06-01 18:01:00-04:00,82.83,82.83,82.83,82.83,2,1,165.66
2021-06-01 18:02:00-04:00,82.84,82.84,82.84,82.84,25,3,2071.0
2021-06-01 18:04:00-04:00,82.835,82.835,82.83,82.83,18,13,1491.01
2021-06-01 18:05:00-04:00,82.825,82.825,82.82,82.82,7,4,579.765
2021-06-01 18:06:00-04:00,82.815,82.815,82.805,82.81,29,8,2401.45
2021-06-01 18:08:00-04:00,82.81,82.81,82.81,82.81,8,2,662.48
2021-06-01 18:09:00-04:00,82.81,82.81,82.81,82.81,1,1,82.81
2021-06-01 18:10:00-04:00,82.81,82.81,82.81,82.81,1,1,82.81
2021-06-01 18:12:00-04:00,82.81,82.81,82.81,82.81,1,1,82.81
2021-06-01 18:16:00-04:00,82.81,82.82,82.81,82.82,31,5,2567.265
2021-06-01 18:17:00-04:00,82.82,82.82,82.815,82.815,10,3,828.185
2021-06-01 18:18:00-04:00,82.81,82.81,82.81,82.81,2,2,165.62
2021-06-01 18:19:00-04:00,82.815,82.815,82.815,82.815,7,1,579.705
2021-06-01 18:20:00-04:00,82.815,82.815,82.805,82.815,24,4,1987.425
2021-06-01 18:22:00-04:00,82.815,82.815,82.815,82.815,1,1,82.815
2021-06-01 18:23:00-04:00,82.815,82.825,82.815,82.825,18,7,1490.76
2021-06-01 18:24:00-04:00,82.825,82.825,82.825,82.825,5,2,414.125
2021-06-01 18:25:00-04:00,82.825,82.825,82.825,82.825,1,1,82.825
2021-06-01 18:26:00-04:00,82.83,82.83,82.83,82.83,3,2,248.49
2021-06-01 18:29:00-04:00,82.83,82.83,82.83,82.83,30,3,2484.9
2021-06-01 18:30:00-04:00,82.83,82.83,82.83,82.83,1,1,82.83
2021-06-01 18:31:00-04:00,82.83,82.835,82.83,82.835,38,5,3147.71
2021-06-01 18:34:00-04:00,82.84,82.845,82.84,82.845,12,6,994.09
2021-06-01 18:35:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-06-01 18:36:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-06-01 18:37:00-04:00,82.845,82.85,82.845,82.85,31,4,2568.31
2021-06-01 18:38:00-04:00,82.85,82.85,82.845,82.845,42,5,3479.695
2021-06-01 18:39:00-04:00,82.85,82.85,82.85,82.85,2,1,165.7
2021-06-01 18:41:00-04:00,82.845,82.845,82.845,82.845,19,7,1574.055
2021-06-01 18:42:00-04:00,82.845,82.85,82.845,82.845,8,3,662.78
2021-06-01 18:43:00-04:00,82.84,82.84,82.84,82.84,6,3,497.04
2021-06-01 18:44:00-04:00,82.84,82.84,82.83,82.83,27,9,2236.58
2021-06-01 18:45:00-04:00,82.83,82.835,82.83,82.835,21,8,1739.475
2021-06-01 18:46:00-04:00,82.835,82.84,82.835,82.84,14,5,1159.695
2021-06-01 18:47:00-04:00,82.84,82.84,82.83,82.83,15,5,1242.535
2021-06-01 18:50:00-04:00,82.835,82.835,82.825,82.825,11,3,911.13
2021-06-01 18:51:00-04:00,82.825,82.825,82.82,82.82,16,8,1325.16
2021-06-01 18:52:00-04:00,82.82,82.82,82.82,82.82,1,1,82.82
2021-06-01 18:53:00-04:00,82.82,82.825,82.82,82.825,55,7,4555.185
2021-06-01 18:56:00-04:00,82.82,82.82,82.815,82.815,25,8,2070.395
2021-06-01 18:57:00-04:00,82.815,82.815,82.81,82.81,13,3,1076.535
2021-06-01 18:58:00-04:00,82.81,82.81,82.81,82.81,22,9,1821.82
2021-06-01 19:00:00-04:00,82.815,82.815,82.805,82.805,13,11,1076.545
2021-06-01 19:01:00-04:00,82.81,82.81,82.81,82.81,12,4,993.72
2021-06-01 19:02:00-04:00,82.815,82.815,82.815,82.815,15,6,1242.225
2021-06-01 19:03:00-04:00,82.82,82.825,82.82,82.82,12,4,993.865
2021-06-01 19:04:00-04:00,82.815,82.815,82.815,82.815,5,1,414.075
2021-06-01 19:05:00-04:00,82.815,82.815,82.815,82.815,3,2,248.445
2021-06-01 19:06:00-04:00,82.81,82.81,82.81,82.81,6,1,496.86
2021-06-01 19:08:00-04:00,82.81,82.81,82.81,82.81,2,1,165.62
2021-06-01 19:11:00-04:00,82.815,82.815,82.815,82.815,1,1,82.815
2021-06-01 19:12:00-04:00,82.82,82.83,82.82,82.83,12,4,993.875
2021-06-01 19:14:00-04:00,82.83,82.83,82.825,82.83,28,5,2319.115
2021-06-01 19:15:00-04:00,82.825,82.825,82.825,82.825,7,2,579.775
2021-06-01 19:16:00-04:00,82.825,82.825,82.825,82.825,3,1,248.475
2021-06-01 19:17:00-04:00,82.825,82.825,82.82,82.82,4,2,331.29
2021-06-01 19:22:00-04:00,82.82,82.82,82.82,82.82,3,1,248.46
2021-06-01 19:23:00-04:00,82.815,82.815,82.805,82.815,10,6,828.115
2021-06-01 19:24:00-04:00,82.805,82.81,82.805,82.81,6,2,496.84
2021-06-01 19:27:00-04:00,82.81,82.81,82.81,82.81,23,5,1904.63
2021-06-01 19:30:00-04:00,82.805,82.805,82.805,82.805,4,2,331.22
2021-06-01 19:31:00-04:00,82.805,82.805,82.805,82.805,2,2,165.61
2021-06-01 19:32:00-04:00,82.805,82.81,82.805,82.81,6,2,496.84
2021-06-01 19:33:00-04:00,82.805,82.815,82.805,82.815,18,5,1490.58
2021-06-01 19:34:00-04:00,82.81,82.81,82.81,82.81,3,2,248.43
2021-06-01 19:35:00-04:00,82.815,82.82,82.815,82.815,14,4,1159.465
2021-06-01 19:39:00-04:00,82.815,82.815,82.815,82.815,14,3,1159.41
2021-06-01 19:40:00-04:00,82.81,82.82,82.81,82.82,4,3,331.26
2021-06-01 19:41:00-04:00,82.815,82.815,82.815,82.815,1,1,82.815
2021-06-01 19:42:00-04:00,82.81,82.81,82.81,82.81,3,1,248.43
2021-06-01 19:43:00-04:00,82.81,82.81,82.81,82.81,1,1,82.81
2021-06-01 19:44:00-04:00,82.815,82.815,82.815,82.815,15,2,1242.225
2021-06-01 19:45:00-04:00,82.81,82.81,82.81,82.81,9,3,745.29
2021-06-01 19:49:00-04:00,82.82,82.82,82.82,82.82,1,1,82.82
2021-06-01 19:51:00-04:00,82.825,82.83,82.825,82.83,2,2,165.655
2021-06-01 19:52:00-04:00,82.83,82.83,82.83,82.83,4,2,331.32
2021-06-01 19:54:00-04:00,82.83,82.845,82.83,82.84,28,8,2319.465
2021-06-01 19:55:00-04:00,82.84,82.84,82.84,82.84,11,2,911.24
2021-06-01 19:56:00-04:00,82.845,82.845,82.845,82.845,2,2,165.69
2021-06-01 19:57:00-04:00,82.835,82.845,82.835,82.845,2,2,165.68
2021-06-01 19:58:00-04:00,82.845,82.845,82.845,82.845,4,3,331.38
2021-06-01 19:59:00-04:00,82.84,82.845,82.84,82.845,2,2,165.685
2021-06-01 20:00:00-04:00,82.84,82.845,82.84,82.845,46,13,3810.79
2021-06-01 20:01:00-04:00,82.845,82.845,82.845,82.845,13,5,1076.985
2021-06-01 20:02:00-04:00,82.845,82.85,82.845,82.85,32,12,2651.16
