,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-18 01:51:00-05:00,79.335,79.335,79.335,79.335,1,1,79.335
2021-11-18 05:44:00-05:00,79.385,79.385,79.385,79.385,2,1,158.77
2021-11-18 09:37:00-05:00,79.23,79.23,79.23,79.23,1,1,79.23
2021-11-18 10:16:00-05:00,79.11,79.11,79.11,79.11,2,1,158.22
2021-11-18 10:45:00-05:00,79.13,79.13,79.13,79.13,2,1,158.26
2021-11-18 12:28:00-05:00,79.33,79.33,79.33,79.33,1,1,79.33
