,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-21 18:06:00-04:00,78.06,78.07,78.06,78.07,8,3,624.495
2021-09-21 21:33:00-04:00,78.24,78.24,78.24,78.24,4,2,312.96
2021-09-21 21:51:00-04:00,78.23,78.23,78.23,78.23,4,1,312.92
2021-09-22 00:25:00-04:00,78.135,78.135,78.135,78.135,4,1,312.54
2021-09-22 01:44:00-04:00,78.17,78.17,78.17,78.17,1,1,78.17
2021-09-22 02:21:00-04:00,78.24,78.24,78.24,78.24,1,1,78.24
2021-09-22 02:49:00-04:00,78.265,78.265,78.26,78.26,8,2,626.11
2021-09-22 02:52:00-04:00,78.265,78.265,78.265,78.265,1,1,78.265
2021-09-22 02:56:00-04:00,78.23,78.23,78.23,78.23,1,1,78.23
2021-09-22 04:43:00-04:00,78.065,78.065,78.055,78.055,12,3,936.755
2021-09-22 09:08:00-04:00,78.155,78.155,78.15,78.15,2,2,156.305
2021-09-22 10:51:00-04:00,78.415,78.415,78.415,78.415,1,1,78.415
2021-09-22 11:49:00-04:00,78.545,78.545,78.545,78.545,1,1,78.545
2021-09-22 11:50:00-04:00,78.56,78.58,78.56,78.58,24,5,1885.67
2021-09-22 11:51:00-04:00,78.55,78.55,78.55,78.55,2,1,157.1
2021-09-22 11:53:00-04:00,78.515,78.515,78.515,78.515,1,1,78.515
2021-09-22 12:29:00-04:00,78.53,78.565,78.53,78.565,40,9,3141.815
2021-09-22 12:31:00-04:00,78.545,78.545,78.545,78.545,1,1,78.545
2021-09-22 13:37:00-04:00,78.495,78.495,78.465,78.495,44,8,3453.165
2021-09-22 13:53:00-04:00,78.445,78.445,78.445,78.445,1,1,78.445
2021-09-22 13:59:00-04:00,78.38,78.38,78.38,78.38,5,1,391.9
2021-09-22 14:14:00-04:00,78.7,78.7,78.7,78.7,2,1,157.4
2021-09-22 14:24:00-04:00,78.63,78.63,78.63,78.63,1,1,78.63
2021-09-22 14:26:00-04:00,78.655,78.655,78.655,78.655,2,1,157.31
2021-09-22 14:37:00-04:00,78.555,78.555,78.555,78.555,1,1,78.555
2021-09-22 14:39:00-04:00,78.52,78.52,78.52,78.52,1,1,78.52
2021-09-22 14:40:00-04:00,78.44,78.44,78.43,78.43,6,2,470.63
2021-09-22 14:42:00-04:00,78.535,78.54,78.535,78.54,2,2,157.075
2021-09-22 14:44:00-04:00,78.425,78.425,78.415,78.415,3,2,235.255
2021-09-22 14:51:00-04:00,78.215,78.215,78.215,78.215,1,1,78.215
2021-09-22 14:55:00-04:00,78.33,78.33,78.26,78.26,24,6,1878.885
2021-09-22 14:56:00-04:00,78.31,78.31,78.31,78.31,1,1,78.31
2021-09-22 14:58:00-04:00,78.295,78.295,78.295,78.295,1,1,78.295
2021-09-22 14:59:00-04:00,78.28,78.28,78.28,78.28,2,2,156.56
2021-09-22 15:10:00-04:00,78.39,78.39,78.39,78.39,1,1,78.39
2021-09-22 15:12:00-04:00,78.365,78.365,78.365,78.365,2,1,156.73
2021-09-22 15:16:00-04:00,78.445,78.445,78.445,78.445,2,1,156.89
2021-09-22 15:33:00-04:00,78.42,78.42,78.42,78.42,5,1,392.1
2021-09-22 15:52:00-04:00,78.395,78.395,78.395,78.395,6,2,470.37
