,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-21 18:57:00-04:00,77.995,77.995,77.995,77.995,1,1,77.995
2021-09-22 05:25:00-04:00,78.14,78.14,78.14,78.14,2,1,156.28
2021-09-22 05:59:00-04:00,78.18,78.18,78.18,78.18,2,1,156.36
2021-09-22 08:23:00-04:00,78.145,78.145,78.145,78.145,1,1,78.145
2021-09-22 09:25:00-04:00,78.08,78.08,78.08,78.08,1,1,78.08
2021-09-22 09:43:00-04:00,78.1,78.1,78.1,78.1,1,1,78.1
2021-09-22 11:10:00-04:00,78.51,78.51,78.51,78.51,1,1,78.51
2021-09-22 11:20:00-04:00,78.545,78.545,78.545,78.545,1,1,78.545
2021-09-22 12:34:00-04:00,78.55,78.555,78.55,78.555,7,2,549.855
2021-09-22 13:59:00-04:00,78.375,78.375,78.375,78.375,5,2,391.875
2021-09-22 14:02:00-04:00,78.48,78.48,78.48,78.48,1,1,78.48
2021-09-22 14:14:00-04:00,78.695,78.695,78.695,78.695,2,1,157.39
2021-09-22 14:36:00-04:00,78.61,78.61,78.61,78.61,5,1,393.05
2021-09-22 14:40:00-04:00,78.43,78.43,78.43,78.43,1,1,78.43
2021-09-22 14:44:00-04:00,78.425,78.425,78.425,78.425,1,1,78.425
2021-09-22 15:10:00-04:00,78.385,78.385,78.385,78.385,1,1,78.385
2021-09-22 15:52:00-04:00,78.39,78.395,78.39,78.395,10,3,783.935
