,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-25 20:00:00-04:00,1359.5,1361.25,1350.5,1354.0,385,110,522367.0
2021-07-25 20:01:00-04:00,1354.5,1355.0,1352.25,1352.5,18,14,24356.75
2021-07-25 20:02:00-04:00,1350.5,1350.75,1348.25,1348.25,72,27,97172.25
2021-07-25 20:03:00-04:00,1348.75,1351.75,1348.75,1351.75,58,19,78295.75
2021-07-25 20:04:00-04:00,1351.75,1352.25,1350.5,1352.0,17,12,22980.0
2021-07-25 20:05:00-04:00,1352.0,1352.75,1351.0,1351.0,11,6,14873.25
2021-07-25 20:06:00-04:00,1350.5,1350.5,1347.5,1347.5,24,9,32359.25
2021-07-25 20:07:00-04:00,1348.25,1349.0,1347.75,1348.25,28,9,37757.0
2021-07-25 20:08:00-04:00,1349.25,1349.25,1348.25,1348.25,5,5,6743.0
2021-07-25 20:09:00-04:00,1347.5,1348.5,1347.5,1348.25,13,5,17523.25
2021-07-25 20:10:00-04:00,1347.25,1347.25,1346.25,1346.25,18,9,24246.5
2021-07-25 20:11:00-04:00,1345.5,1345.5,1344.5,1344.75,24,12,32280.25
2021-07-25 20:12:00-04:00,1345.0,1345.75,1345.0,1345.5,8,5,10763.0
2021-07-25 20:13:00-04:00,1345.75,1346.0,1345.75,1346.0,2,2,2691.75
2021-07-25 20:15:00-04:00,1346.0,1346.75,1346.0,1346.75,3,2,4038.75
2021-07-25 20:16:00-04:00,1346.75,1346.75,1346.75,1346.75,2,2,2693.5
2021-07-25 20:18:00-04:00,1346.75,1346.75,1346.75,1346.75,5,1,6733.75
2021-07-25 20:19:00-04:00,1347.25,1347.25,1347.25,1347.25,2,1,2694.5
2021-07-25 20:20:00-04:00,1347.5,1347.5,1347.5,1347.5,1,1,1347.5
2021-07-25 20:21:00-04:00,1348.5,1348.5,1348.5,1348.5,1,1,1348.5
2021-07-25 20:22:00-04:00,1348.5,1348.5,1348.25,1348.5,5,4,6742.25
2021-07-25 20:23:00-04:00,1348.5,1349.75,1348.5,1349.75,4,4,5396.25
2021-07-25 20:24:00-04:00,1348.5,1348.5,1348.5,1348.5,1,1,1348.5
2021-07-25 20:25:00-04:00,1347.75,1347.75,1347.5,1347.5,3,2,4042.75
2021-07-25 20:27:00-04:00,1347.25,1347.25,1346.5,1346.5,6,3,8080.5
2021-07-25 20:28:00-04:00,1347.0,1347.0,1346.5,1346.5,22,2,29623.5
2021-07-25 20:30:00-04:00,1347.0,1347.0,1346.75,1346.75,2,2,2693.75
2021-07-25 20:31:00-04:00,1346.75,1347.0,1346.5,1346.5,9,8,12120.25
2021-07-25 20:32:00-04:00,1346.5,1346.5,1346.5,1346.5,1,1,1346.5
2021-07-25 20:33:00-04:00,1346.5,1346.5,1346.5,1346.5,4,3,5386.0
2021-07-25 20:34:00-04:00,1346.25,1346.25,1346.25,1346.25,3,2,4038.75
2021-07-25 20:35:00-04:00,1346.5,1346.5,1346.5,1346.5,2,2,2693.0
2021-07-25 20:36:00-04:00,1347.0,1347.0,1347.0,1347.0,6,2,8082.0
2021-07-25 20:39:00-04:00,1347.25,1347.25,1347.25,1347.25,2,1,2694.5
2021-07-25 20:43:00-04:00,1348.25,1348.25,1348.25,1348.25,8,4,10786.0
2021-07-25 20:46:00-04:00,1349.0,1349.75,1349.0,1349.75,7,6,9447.25
2021-07-25 20:49:00-04:00,1349.0,1349.25,1348.5,1348.5,16,5,21580.0
2021-07-25 20:50:00-04:00,1348.25,1348.25,1348.25,1348.25,3,3,4044.75
2021-07-25 20:51:00-04:00,1348.25,1348.25,1348.25,1348.25,1,1,1348.25
2021-07-25 20:54:00-04:00,1348.0,1348.0,1347.25,1347.25,3,3,4043.0
2021-07-25 20:55:00-04:00,1347.5,1347.5,1347.5,1347.5,4,3,5390.0
2021-07-25 21:00:00-04:00,1347.0,1347.0,1347.0,1347.0,1,1,1347.0
2021-07-25 21:01:00-04:00,1347.0,1347.0,1345.5,1345.5,5,4,6729.75
2021-07-25 21:02:00-04:00,1345.25,1345.25,1341.75,1342.0,88,34,118155.0
2021-07-25 21:03:00-04:00,1341.25,1342.5,1341.25,1341.5,11,9,14759.5
2021-07-25 21:04:00-04:00,1342.75,1343.25,1342.75,1343.25,2,2,2686.0
2021-07-25 21:05:00-04:00,1342.0,1342.25,1342.0,1342.0,4,4,5368.5
2021-07-25 21:07:00-04:00,1341.5,1341.5,1341.5,1341.5,1,1,1341.5
2021-07-25 21:10:00-04:00,1342.25,1342.75,1342.25,1342.25,5,4,6712.0
2021-07-25 21:13:00-04:00,1343.25,1343.25,1343.0,1343.0,6,2,8059.25
2021-07-25 21:14:00-04:00,1342.5,1342.5,1342.0,1342.0,2,2,2684.5
2021-07-25 21:15:00-04:00,1341.75,1342.0,1341.0,1342.0,53,7,71097.75
2021-07-25 21:16:00-04:00,1341.75,1341.75,1341.75,1341.75,3,1,4025.25
