,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-02 20:50:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-03 09:16:00-04:00,80.45,80.45,80.445,80.445,4,2,321.79
2021-11-03 09:17:00-04:00,80.42,80.42,80.42,80.42,1,1,80.42
2021-11-03 09:36:00-04:00,80.38,80.38,80.38,80.38,5,5,401.9
2021-11-03 09:49:00-04:00,80.415,80.415,80.415,80.415,2,1,160.83
2021-11-03 11:29:00-04:00,80.545,80.545,80.545,80.545,3,1,241.635
2021-11-03 13:14:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-03 14:00:00-04:00,80.635,80.66,80.635,80.66,8,6,645.205
2021-11-03 14:01:00-04:00,80.735,80.735,80.735,80.735,7,5,565.145
2021-11-03 14:04:00-04:00,80.63,80.63,80.63,80.63,1,1,80.63
2021-11-03 14:12:00-04:00,80.53,80.53,80.53,80.53,1,1,80.53
2021-11-03 14:36:00-04:00,80.46,80.46,80.46,80.46,2,1,160.92
