,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-02 19:12:00-04:00,80.56,80.56,80.56,80.56,36,4,2900.16
2021-11-02 19:13:00-04:00,80.56,80.56,80.56,80.56,7,1,563.92
2021-11-02 19:40:00-04:00,80.56,80.56,80.56,80.56,5,1,402.8
2021-11-02 19:45:00-04:00,80.56,80.56,80.56,80.56,8,2,644.48
2021-11-02 19:46:00-04:00,80.56,80.56,80.56,80.56,2,1,161.12
2021-11-02 19:48:00-04:00,80.56,80.56,80.56,80.56,41,8,3302.96
2021-11-02 19:52:00-04:00,80.555,80.555,80.555,80.555,1,1,80.555
2021-11-02 20:19:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-11-02 20:21:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-11-02 20:47:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-11-02 22:13:00-04:00,80.485,80.485,80.485,80.485,1,1,80.485
2021-11-02 22:14:00-04:00,80.48,80.48,80.48,80.48,2,2,160.96
2021-11-02 22:55:00-04:00,80.51,80.51,80.51,80.51,1,1,80.51
2021-11-02 23:01:00-04:00,80.49,80.49,80.49,80.49,1,1,80.49
2021-11-02 23:05:00-04:00,80.49,80.49,80.49,80.49,1,1,80.49
2021-11-02 23:45:00-04:00,80.5,80.5,80.5,80.5,4,1,322.0
2021-11-03 01:39:00-04:00,80.5,80.5,80.5,80.5,1,1,80.5
2021-11-03 01:47:00-04:00,80.5,80.5,80.5,80.5,1,1,80.5
2021-11-03 01:51:00-04:00,80.5,80.5,80.5,80.5,1,1,80.5
2021-11-03 02:23:00-04:00,80.54,80.54,80.54,80.54,1,1,80.54
2021-11-03 03:18:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-03 03:31:00-04:00,80.505,80.505,80.505,80.505,1,1,80.505
2021-11-03 03:43:00-04:00,80.475,80.475,80.475,80.475,1,1,80.475
2021-11-03 03:49:00-04:00,80.48,80.48,80.48,80.48,2,2,160.96
2021-11-03 03:54:00-04:00,80.49,80.49,80.49,80.49,1,1,80.49
2021-11-03 04:04:00-04:00,80.545,80.545,80.545,80.545,1,1,80.545
2021-11-03 04:12:00-04:00,80.58,80.58,80.58,80.58,1,1,80.58
2021-11-03 04:14:00-04:00,80.575,80.575,80.575,80.575,1,1,80.575
2021-11-03 04:17:00-04:00,80.57,80.57,80.57,80.57,1,1,80.57
2021-11-03 04:22:00-04:00,80.565,80.565,80.565,80.565,1,1,80.565
2021-11-03 04:34:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-11-03 05:13:00-04:00,80.575,80.575,80.575,80.575,1,1,80.575
2021-11-03 08:05:00-04:00,80.575,80.575,80.575,80.575,1,1,80.575
2021-11-03 08:21:00-04:00,80.555,80.56,80.555,80.56,10,2,805.565
2021-11-03 08:22:00-04:00,80.565,80.565,80.565,80.565,1,1,80.565
2021-11-03 08:48:00-04:00,80.505,80.505,80.505,80.505,1,1,80.505
2021-11-03 09:16:00-04:00,80.44,80.44,80.425,80.425,6,4,482.58
2021-11-03 09:19:00-04:00,80.395,80.395,80.395,80.395,1,1,80.395
2021-11-03 09:30:00-04:00,80.37,80.37,80.37,80.37,1,1,80.37
2021-11-03 09:31:00-04:00,80.345,80.345,80.345,80.345,1,1,80.345
2021-11-03 09:32:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-11-03 09:35:00-04:00,80.36,80.36,80.36,80.36,1,1,80.36
2021-11-03 09:39:00-04:00,80.33,80.33,80.33,80.33,1,1,80.33
2021-11-03 09:40:00-04:00,80.34,80.34,80.34,80.34,4,1,321.36
2021-11-03 09:44:00-04:00,80.39,80.39,80.38,80.38,15,3,1205.8
2021-11-03 09:46:00-04:00,80.385,80.39,80.385,80.39,3,2,241.16
2021-11-03 09:49:00-04:00,80.4,80.405,80.4,80.405,16,3,1286.405
2021-11-03 09:51:00-04:00,80.39,80.39,80.39,80.39,1,1,80.39
2021-11-03 09:56:00-04:00,80.345,80.345,80.345,80.345,1,1,80.345
2021-11-03 10:20:00-04:00,80.315,80.315,80.315,80.315,1,1,80.315
2021-11-03 10:27:00-04:00,80.375,80.375,80.375,80.375,7,1,562.625
2021-11-03 10:28:00-04:00,80.36,80.36,80.36,80.36,1,1,80.36
2021-11-03 10:38:00-04:00,80.41,80.41,80.41,80.41,1,1,80.41
2021-11-03 10:42:00-04:00,80.445,80.445,80.445,80.445,2,1,160.89
2021-11-03 11:28:00-04:00,80.49,80.49,80.49,80.49,1,1,80.49
2021-11-03 11:30:00-04:00,80.54,80.54,80.54,80.54,1,1,80.54
2021-11-03 11:31:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-03 11:41:00-04:00,80.5,80.5,80.5,80.5,1,1,80.5
2021-11-03 12:30:00-04:00,80.54,80.54,80.54,80.54,1,1,80.54
2021-11-03 12:46:00-04:00,80.54,80.54,80.54,80.54,3,2,241.62
2021-11-03 13:02:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-11-03 13:17:00-04:00,80.51,80.51,80.51,80.51,1,1,80.51
2021-11-03 14:00:00-04:00,80.58,80.67,80.58,80.67,2,2,161.25
2021-11-03 14:34:00-04:00,80.42,80.42,80.42,80.42,5,1,402.1
2021-11-03 14:37:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-11-03 14:39:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-11-03 14:44:00-04:00,80.525,80.525,80.525,80.525,1,1,80.525
2021-11-03 15:10:00-04:00,80.66,80.66,80.66,80.66,1,1,80.66
2021-11-03 15:13:00-04:00,80.64,80.64,80.64,80.64,1,1,80.64
2021-11-03 15:15:00-04:00,80.63,80.63,80.63,80.63,1,1,80.63
