,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-29 18:08:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-07-29 22:43:00-04:00,80.29,80.29,80.29,80.29,1,1,80.29
2021-07-29 22:55:00-04:00,80.3,80.3,80.3,80.3,1,1,80.3
2021-07-30 07:43:00-04:00,80.345,80.345,80.345,80.345,2,2,160.69
2021-07-30 08:52:00-04:00,80.38,80.38,80.38,80.38,2,1,160.76
2021-07-30 10:08:00-04:00,80.46,80.46,80.46,80.46,1,1,80.46
2021-07-30 10:58:00-04:00,80.085,80.085,80.08,80.08,3,2,240.25
2021-07-30 11:00:00-04:00,80.15,80.15,80.15,80.15,1,1,80.15
2021-07-30 12:14:00-04:00,80.175,80.175,80.175,80.175,1,1,80.175
2021-07-30 13:37:00-04:00,80.175,80.175,80.175,80.175,1,1,80.175
