,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-05 20:00:00-04:00,1495.75,1497.0,1492.25,1496.25,57,40,85209.75
2021-05-05 20:01:00-04:00,1496.25,1496.25,1494.5,1494.75,18,12,26912.5
2021-05-05 20:02:00-04:00,1494.75,1494.75,1494.75,1494.75,1,1,1494.75
2021-05-05 20:03:00-04:00,1496.0,1496.0,1496.0,1496.0,1,1,1496.0
2021-05-05 20:04:00-04:00,1496.0,1496.25,1494.5,1494.5,9,9,13456.0
2021-05-05 20:07:00-04:00,1494.75,1494.75,1494.75,1494.75,4,1,5979.0
2021-05-05 20:08:00-04:00,1496.0,1496.0,1496.0,1496.0,1,1,1496.0
2021-05-05 20:10:00-04:00,1496.0,1496.0,1496.0,1496.0,1,1,1496.0
2021-05-05 20:11:00-04:00,1496.25,1496.25,1495.75,1495.75,8,2,11968.0
2021-05-05 20:17:00-04:00,1497.0,1497.5,1497.0,1497.5,6,5,8982.75
2021-05-05 20:19:00-04:00,1497.75,1498.0,1497.75,1498.0,5,3,7489.75
2021-05-05 20:22:00-04:00,1498.75,1498.75,1498.75,1498.75,1,1,1498.75
2021-05-05 20:23:00-04:00,1498.0,1498.0,1498.0,1498.0,2,1,2996.0
2021-05-05 20:24:00-04:00,1498.25,1498.25,1498.25,1498.25,1,1,1498.25
2021-05-05 20:26:00-04:00,1498.0,1498.5,1498.0,1498.5,3,2,4495.0
2021-05-05 20:28:00-04:00,1498.25,1499.0,1498.25,1499.0,14,3,20978.5
2021-05-05 20:29:00-04:00,1498.75,1498.75,1498.75,1498.75,1,1,1498.75
2021-05-05 20:30:00-04:00,1499.0,1499.0,1499.0,1499.0,1,1,1499.0
2021-05-05 20:31:00-04:00,1498.25,1498.5,1498.0,1498.5,4,4,5993.0
2021-05-05 20:32:00-04:00,1498.75,1499.25,1498.75,1499.25,2,2,2998.0
2021-05-05 20:34:00-04:00,1498.75,1498.75,1498.25,1498.25,4,2,5993.5
2021-05-05 20:36:00-04:00,1499.0,1499.0,1498.75,1498.75,8,3,11991.75
2021-05-05 20:38:00-04:00,1498.25,1498.5,1498.25,1498.5,5,2,7491.5
2021-05-05 20:42:00-04:00,1498.0,1498.0,1497.75,1497.75,3,3,4493.75
2021-05-05 20:48:00-04:00,1499.75,1499.75,1499.75,1499.75,5,2,7498.75
2021-05-05 20:49:00-04:00,1499.75,1499.75,1499.75,1499.75,2,1,2999.5
2021-05-05 20:50:00-04:00,1499.75,1499.75,1499.75,1499.75,1,1,1499.75
2021-05-05 20:54:00-04:00,1500.25,1500.75,1500.25,1500.75,4,3,6002.5
