,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-09 20:00:00-04:00,1291.25,1291.25,1291.25,1291.25,1,1,1291.25
2021-09-09 20:05:00-04:00,1291.25,1291.25,1291.25,1291.25,52,8,67145.0
2021-09-09 20:18:00-04:00,1292.25,1292.25,1291.75,1291.75,2,2,2584.0
2021-09-09 21:26:00-04:00,1289.5,1289.5,1289.0,1289.0,53,26,68320.5
2021-09-09 21:27:00-04:00,1288.75,1288.75,1288.25,1288.25,47,9,60555.25
2021-09-09 21:46:00-04:00,1291.25,1291.5,1291.25,1291.5,2,2,2582.75
2021-09-09 21:49:00-04:00,1292.75,1292.75,1292.75,1292.75,1,1,1292.75
2021-09-09 22:05:00-04:00,1293.25,1293.25,1293.25,1293.25,1,1,1293.25
2021-09-09 22:15:00-04:00,1295.75,1295.75,1295.75,1295.75,1,1,1295.75
2021-09-09 22:43:00-04:00,1294.5,1294.5,1294.5,1294.5,1,1,1294.5
2021-09-09 22:44:00-04:00,1293.5,1293.5,1293.5,1293.5,1,1,1293.5
2021-09-09 22:51:00-04:00,1295.25,1295.25,1295.25,1295.25,1,1,1295.25
2021-09-09 22:57:00-04:00,1294.5,1294.5,1294.25,1294.25,100,17,129427.5
2021-09-09 22:59:00-04:00,1294.25,1294.25,1294.0,1294.0,51,6,66000.5
2021-09-09 23:00:00-04:00,1294.0,1294.0,1294.0,1294.0,1,1,1294.0
2021-09-09 23:03:00-04:00,1293.5,1293.5,1293.25,1293.25,31,10,40091.5
2021-09-09 23:04:00-04:00,1293.25,1293.25,1292.75,1293.25,173,33,223731.0
2021-09-09 23:07:00-04:00,1293.75,1293.75,1293.75,1293.75,1,1,1293.75
2021-09-09 23:09:00-04:00,1293.25,1293.25,1292.5,1292.5,75,11,96962.75
2021-09-09 23:11:00-04:00,1291.75,1291.75,1291.5,1291.5,25,4,32289.25
2021-09-09 23:14:00-04:00,1291.25,1291.25,1291.0,1291.0,70,23,90370.75
2021-09-09 23:15:00-04:00,1290.25,1290.25,1289.75,1290.0,67,21,86431.0
2021-09-09 23:16:00-04:00,1290.0,1290.0,1289.75,1290.0,25,16,32249.25
2021-09-09 23:20:00-04:00,1289.5,1289.5,1289.0,1289.0,42,14,54146.25
2021-09-09 23:22:00-04:00,1289.25,1289.25,1289.0,1289.0,30,16,38671.25
2021-09-09 23:23:00-04:00,1288.5,1288.5,1288.25,1288.25,41,20,52828.25
2021-09-09 23:24:00-04:00,1288.0,1288.0,1287.75,1287.75,53,20,68252.25
2021-09-09 23:25:00-04:00,1287.5,1287.5,1287.0,1287.0,127,59,163453.5
2021-09-09 23:31:00-04:00,1288.5,1288.5,1288.5,1288.5,1,1,1288.5
2021-09-10 00:16:00-04:00,1289.25,1289.25,1289.25,1289.25,1,1,1289.25
2021-09-10 00:17:00-04:00,1289.25,1289.25,1289.25,1289.25,1,1,1289.25
2021-09-10 00:21:00-04:00,1289.25,1289.25,1289.25,1289.25,1,1,1289.25
2021-09-10 00:30:00-04:00,1289.0,1289.0,1289.0,1289.0,3,1,3867.0
2021-09-10 00:31:00-04:00,1289.25,1289.25,1289.25,1289.25,1,1,1289.25
