,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty
,open,high,low,close,volume,num_trds,value
2021-04-26 20:00:00-04:00,1541.5,1543.75,1540.0,1541.25,1054,372,1625111.75
2021-04-26 20:01:00-04:00,1541.25,1542.0,1539.75,1541.75,349,134,537799.25
2021-04-26 20:02:00-04:00,1542.0,1544.5,1542.0,1544.25,282,120,435273.75
2021-04-26 20:03:00-04:00,1544.25,1545.0,1543.25,1544.5,300,124,463301.5
2021-04-26 20:04:00-04:00,1544.5,1544.75,1542.5,1542.5,236,74,364386.25
2021-04-26 20:05:00-04:00,1542.5,1542.5,1540.25,1540.5,231,107,355999.0
2021-04-26 20:06:00-04:00,1540.25,1541.0,1540.25,1540.75,105,77,161752.5
2021-04-26 20:07:00-04:00,1540.75,1541.75,1540.5,1541.25,198,66,305128.75
2021-04-26 20:08:00-04:00,1541.0,1541.75,1540.75,1541.5,32,23,49319.5
2021-04-26 20:09:00-04:00,1541.75,1542.75,1541.5,1542.5,114,63,175826.5
2021-04-26 20:10:00-04:00,1542.5,1543.5,1542.5,1543.0,88,52,135772.5
2021-04-26 20:11:00-04:00,1542.75,1542.75,1541.25,1541.25,68,41,104865.5
2021-04-26 20:12:00-04:00,1541.75,1542.75,1541.25,1542.0,86,32,132598.0
2021-04-26 20:13:00-04:00,1542.0,1542.25,1540.25,1540.25,61,30,94005.0
2021-04-26 20:14:00-04:00,1540.5,1542.0,1540.5,1542.0,78,44,120203.25
2021-04-26 20:15:00-04:00,1541.5,1542.5,1541.5,1542.5,45,13,69397.75
2021-04-26 20:16:00-04:00,1542.5,1543.0,1541.25,1541.75,43,24,66315.25
2021-04-26 20:17:00-04:00,1541.25,1541.75,1540.75,1541.25,36,16,55482.0
2021-04-26 20:18:00-04:00,1541.25,1541.75,1541.0,1541.75,47,28,72448.5
2021-04-26 20:19:00-04:00,1541.75,1541.75,1540.75,1540.75,29,13,44700.75
2021-04-26 20:20:00-04:00,1541.0,1541.75,1540.75,1541.0,63,21,97095.5
2021-04-26 20:21:00-04:00,1541.25,1542.0,1541.0,1542.0,50,19,77068.0
2021-04-26 20:22:00-04:00,1542.0,1543.0,1542.0,1543.0,59,27,91001.25
2021-04-26 20:23:00-04:00,1543.0,1543.25,1542.75,1543.0,60,33,92582.75
2021-04-26 20:24:00-04:00,1543.25,1543.25,1542.0,1542.0,20,14,30850.75
2021-04-26 20:25:00-04:00,1542.25,1542.5,1542.25,1542.5,3,3,4627.0
2021-04-26 20:26:00-04:00,1542.5,1542.75,1542.5,1542.5,10,4,15425.5
2021-04-26 20:27:00-04:00,1542.5,1543.0,1542.25,1542.25,40,18,61701.25
2021-04-26 20:28:00-04:00,1542.0,1542.25,1541.25,1541.25,30,14,46252.5
2021-04-26 20:29:00-04:00,1541.25,1541.5,1541.0,1541.5,18,11,27743.0
2021-04-26 20:30:00-04:00,1541.25,1541.75,1541.25,1541.25,46,14,70911.0
2021-04-26 20:31:00-04:00,1541.0,1541.25,1540.5,1541.25,36,19,55468.5
2021-04-26 20:32:00-04:00,1541.0,1541.0,1540.25,1540.25,61,21,93981.75
2021-04-26 20:33:00-04:00,1540.25,1541.0,1540.25,1540.75,24,12,36975.25
2021-04-26 20:34:00-04:00,1540.5,1540.75,1540.5,1540.5,28,11,43137.0
2021-04-26 20:35:00-04:00,1540.5,1541.0,1540.25,1540.25,63,7,97055.75
2021-04-26 20:36:00-04:00,1540.25,1540.5,1540.25,1540.5,14,8,21564.0
2021-04-26 20:37:00-04:00,1540.5,1540.5,1538.0,1538.25,119,48,183131.5
2021-04-26 20:38:00-04:00,1538.0,1538.25,1537.5,1538.25,67,33,103037.5
2021-04-26 20:39:00-04:00,1538.25,1538.75,1537.75,1538.0,39,17,59990.75
2021-04-26 20:40:00-04:00,1538.25,1538.25,1537.5,1537.75,47,16,72278.0
2021-04-26 20:41:00-04:00,1537.75,1537.75,1536.75,1537.0,29,19,44580.75
2021-04-26 20:42:00-04:00,1537.0,1537.0,1536.25,1537.0,65,30,99878.0
2021-04-26 20:43:00-04:00,1536.75,1537.0,1536.25,1536.75,83,74,127549.75
2021-04-26 20:44:00-04:00,1536.5,1537.75,1536.5,1537.75,44,15,67624.0
2021-04-26 20:45:00-04:00,1537.75,1537.75,1536.75,1537.25,35,11,53802.5
2021-04-26 20:46:00-04:00,1537.25,1537.75,1537.25,1537.75,36,18,55346.75
2021-04-26 20:47:00-04:00,1537.75,1538.0,1537.25,1538.0,40,19,61505.0
2021-04-26 20:48:00-04:00,1538.0,1538.25,1538.0,1538.25,35,20,53833.5
2021-04-26 20:49:00-04:00,1538.0,1538.5,1538.0,1538.0,86,17,132294.25
2021-04-26 20:50:00-04:00,1538.0,1538.0,1536.0,1536.5,91,39,139844.5
2021-04-26 20:51:00-04:00,1536.5,1536.75,1535.25,1535.5,69,34,105990.25
2021-04-26 20:52:00-04:00,1535.25,1536.0,1535.25,1536.0,75,30,115187.5
2021-04-26 20:53:00-04:00,1536.0,1536.5,1535.25,1536.5,43,21,66040.0
2021-04-26 20:54:00-04:00,1536.75,1536.75,1536.25,1536.5,5,4,7682.25
2021-04-26 20:55:00-04:00,1536.25,1536.25,1535.75,1535.75,20,7,30719.0
2021-04-26 20:56:00-04:00,1535.75,1536.0,1535.5,1536.0,10,7,15357.5
2021-04-26 20:57:00-04:00,1535.75,1535.75,1535.5,1535.75,12,9,18428.0
2021-04-26 20:58:00-04:00,1535.75,1536.0,1535.75,1536.0,5,4,7679.75
2021-04-26 20:59:00-04:00,1536.25,1536.5,1535.75,1535.75,31,18,47619.5
2021-04-26 21:00:00-04:00,1535.5,1536.5,1534.5,1536.0,79,47,121290.0
2021-04-26 21:01:00-04:00,1536.0,1537.25,1536.0,1536.75,76,18,116791.75
2021-04-26 21:02:00-04:00,1537.0,1537.25,1535.25,1535.25,84,38,129038.5
2021-04-26 21:03:00-04:00,1535.25,1535.5,1534.5,1534.5,122,44,187265.75
2021-04-26 21:04:00-04:00,1534.75,1535.5,1534.5,1535.5,79,25,121251.75
2021-04-26 21:05:00-04:00,1535.25,1535.5,1534.75,1534.75,37,17,56798.0
2021-04-26 21:06:00-04:00,1535.25,1535.75,1535.25,1535.25,44,19,67564.5
2021-04-26 21:07:00-04:00,1535.25,1536.0,1535.25,1536.0,10,5,15356.0
2021-04-26 21:08:00-04:00,1535.75,1536.5,1535.75,1536.5,27,20,41477.0
2021-04-26 21:09:00-04:00,1536.5,1537.0,1536.5,1537.0,20,13,30736.25
2021-04-26 21:10:00-04:00,1537.0,1537.0,1536.75,1536.75,11,7,16905.25
2021-04-26 21:11:00-04:00,1536.75,1536.75,1536.25,1536.25,11,5,16902.25
2021-04-26 21:12:00-04:00,1536.25,1536.25,1535.5,1535.5,23,13,35323.5
2021-04-26 21:13:00-04:00,1535.75,1535.75,1535.5,1535.5,5,4,7678.5
2021-04-26 21:14:00-04:00,1535.0,1535.25,1534.75,1535.0,58,26,89030.0
2021-04-26 21:15:00-04:00,1535.0,1535.0,1532.5,1533.25,134,60,205491.5
2021-04-26 21:16:00-04:00,1532.75,1533.0,1532.0,1532.5,116,53,177766.0
2021-04-26 21:17:00-04:00,1532.25,1532.25,1530.75,1531.25,110,31,168453.0
2021-04-26 21:18:00-04:00,1531.25,1531.75,1531.0,1531.75,32,21,49007.75
2021-04-26 21:19:00-04:00,1531.75,1532.0,1531.25,1531.75,27,16,41358.0
2021-04-26 21:20:00-04:00,1531.5,1532.0,1531.5,1531.75,26,16,39825.5
2021-04-26 21:21:00-04:00,1531.5,1531.5,1530.75,1530.75,18,12,27559.5
2021-04-26 21:22:00-04:00,1530.75,1532.5,1530.75,1532.5,24,13,36761.75
2021-04-26 21:23:00-04:00,1532.25,1532.25,1531.75,1531.75,18,10,27575.75
2021-04-26 21:24:00-04:00,1531.75,1531.75,1531.5,1531.75,3,3,4595.0
2021-04-26 21:25:00-04:00,1532.0,1532.25,1531.75,1532.0,38,13,58217.5
2021-04-26 21:26:00-04:00,1532.25,1532.25,1532.0,1532.0,8,3,12256.25
2021-04-26 21:27:00-04:00,1532.25,1532.5,1532.25,1532.25,23,9,35243.0
2021-04-26 21:28:00-04:00,1532.25,1533.5,1532.25,1533.25,38,14,58247.75
2021-04-26 21:29:00-04:00,1533.5,1534.25,1533.5,1533.75,26,8,39881.25
2021-04-26 21:30:00-04:00,1533.75,1534.75,1533.25,1534.0,58,25,88960.5
2021-04-26 21:31:00-04:00,1533.75,1534.0,1533.5,1534.0,37,13,56750.75
2021-04-26 21:32:00-04:00,1533.75,1534.75,1533.0,1534.25,120,63,184074.25
2021-04-26 21:33:00-04:00,1534.25,1535.75,1534.25,1535.0,151,59,231797.75
2021-04-26 21:34:00-04:00,1535.0,1535.75,1534.75,1535.5,33,19,50659.5
2021-04-26 21:35:00-04:00,1535.5,1535.5,1535.25,1535.25,13,10,19959.5
2021-04-26 21:36:00-04:00,1535.0,1535.5,1535.0,1535.25,27,10,41450.5
2021-04-26 21:37:00-04:00,1535.25,1535.25,1534.5,1535.0,47,22,72137.5
2021-04-26 21:38:00-04:00,1535.0,1535.5,1535.0,1535.5,17,12,26099.75
2021-04-26 21:39:00-04:00,1535.5,1535.5,1535.25,1535.25,9,8,13819.25
2021-04-26 21:40:00-04:00,1535.75,1535.75,1534.5,1534.5,25,15,38375.5
2021-04-26 21:41:00-04:00,1534.25,1534.75,1533.5,1534.75,81,13,124247.25
