,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-02 18:24:00-04:00,79.985,79.985,79.985,79.985,1,1,79.985
2021-08-02 20:22:00-04:00,80.05,80.05,80.05,80.05,1,1,80.05
2021-08-02 22:37:00-04:00,79.915,79.915,79.915,79.915,1,1,79.915
2021-08-03 01:17:00-04:00,79.87,79.87,79.87,79.87,1,1,79.87
2021-08-03 04:47:00-04:00,79.945,79.945,79.945,79.945,3,2,239.835
2021-08-03 04:54:00-04:00,79.89,79.89,79.89,79.89,1,1,79.89
2021-08-03 07:22:00-04:00,80.0,80.0,80.0,80.0,1,1,80.0
2021-08-03 09:20:00-04:00,79.685,79.685,79.685,79.685,1,1,79.685
2021-08-03 12:35:00-04:00,79.705,79.705,79.705,79.705,1,1,79.705
