,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-13 20:00:00-04:00,1429.75,1429.75,1418.0,1420.0,15,6,21301.0
2021-06-13 20:01:00-04:00,1422.25,1422.25,1422.0,1422.0,5,4,7110.25
2021-06-13 20:02:00-04:00,1422.75,1426.25,1422.75,1426.25,13,6,18511.0
2021-06-13 20:03:00-04:00,1427.0,1427.0,1427.0,1427.0,1,1,1427.0
2021-06-13 20:04:00-04:00,1425.0,1425.0,1425.0,1425.0,2,1,2850.0
2021-06-13 20:05:00-04:00,1425.0,1425.0,1423.75,1423.75,13,2,18522.5
2021-06-13 20:06:00-04:00,1423.5,1423.5,1422.0,1422.0,6,5,8537.25
2021-06-13 20:07:00-04:00,1423.0,1423.0,1422.25,1422.25,4,3,5689.75
2021-06-13 20:08:00-04:00,1421.75,1421.75,1421.75,1421.75,1,1,1421.75
2021-06-13 20:09:00-04:00,1422.25,1422.25,1422.25,1422.25,3,1,4266.75
2021-06-13 20:10:00-04:00,1421.25,1421.25,1421.25,1421.25,1,1,1421.25
2021-06-13 20:11:00-04:00,1422.5,1422.5,1422.5,1422.5,1,1,1422.5
2021-06-13 20:13:00-04:00,1420.75,1420.75,1420.75,1420.75,1,1,1420.75
2021-06-13 20:14:00-04:00,1420.25,1420.25,1418.5,1418.5,5,4,7098.25
2021-06-13 20:16:00-04:00,1416.5,1416.5,1410.25,1410.25,18,11,25427.25
2021-06-13 20:17:00-04:00,1411.25,1411.25,1406.75,1408.5,18,9,25360.25
2021-06-13 20:18:00-04:00,1405.75,1407.25,1404.0,1407.25,17,7,23891.25
2021-06-13 20:19:00-04:00,1409.5,1410.25,1409.5,1409.5,7,3,9867.25
2021-06-13 20:20:00-04:00,1408.25,1408.25,1408.0,1408.0,3,2,4224.5
2021-06-13 20:21:00-04:00,1411.0,1411.5,1411.0,1411.5,7,3,9878.5
2021-06-13 20:22:00-04:00,1410.75,1410.75,1409.75,1409.75,5,3,7050.0
2021-06-13 20:23:00-04:00,1408.0,1408.0,1408.0,1408.0,1,1,1408.0
2021-06-13 20:27:00-04:00,1406.0,1406.0,1406.0,1406.0,1,1,1406.0
2021-06-13 20:28:00-04:00,1404.25,1404.25,1404.25,1404.25,3,1,4212.75
2021-06-13 20:29:00-04:00,1403.75,1403.75,1403.75,1403.75,1,1,1403.75
2021-06-13 20:30:00-04:00,1403.75,1403.75,1402.5,1402.5,2,2,2806.25
2021-06-13 20:32:00-04:00,1401.5,1401.5,1398.25,1399.5,18,10,25186.0
2021-06-13 20:33:00-04:00,1396.75,1396.75,1393.5,1393.5,2,2,2790.25
2021-06-13 20:34:00-04:00,1394.75,1396.5,1394.0,1394.0,10,8,13955.75
2021-06-13 20:35:00-04:00,1395.0,1395.0,1395.0,1395.0,1,1,1395.0
2021-06-13 20:36:00-04:00,1395.0,1397.75,1395.0,1397.75,9,7,12566.0
2021-06-13 20:37:00-04:00,1397.5,1400.0,1397.5,1398.75,3,3,4196.25
2021-06-13 20:38:00-04:00,1397.25,1399.25,1397.25,1398.5,7,3,9792.0
2021-06-13 20:40:00-04:00,1399.5,1399.5,1398.25,1398.25,3,3,4197.0
2021-06-13 20:41:00-04:00,1398.0,1399.5,1397.5,1399.5,5,4,6991.25
2021-06-13 20:42:00-04:00,1400.25,1400.25,1400.25,1400.25,1,1,1400.25
2021-06-13 20:44:00-04:00,1399.0,1400.25,1399.0,1399.5,14,6,19599.25
2021-06-13 20:45:00-04:00,1399.5,1399.5,1399.0,1399.5,8,3,11193.5
2021-06-13 20:46:00-04:00,1401.25,1401.25,1401.25,1401.25,1,1,1401.25
2021-06-13 20:52:00-04:00,1399.25,1399.25,1398.0,1398.0,8,4,11189.5
2021-06-13 20:53:00-04:00,1399.5,1399.5,1399.5,1399.5,1,1,1399.5
2021-06-13 20:54:00-04:00,1399.75,1399.75,1399.75,1399.75,1,1,1399.75
2021-06-13 21:01:00-04:00,1401.5,1401.5,1401.5,1401.5,2,1,2803.0
2021-06-13 21:11:00-04:00,1401.0,1401.0,1400.75,1401.0,6,4,8405.5
2021-06-13 21:13:00-04:00,1399.5,1399.75,1399.5,1399.75,2,2,2799.25
2021-06-13 21:15:00-04:00,1401.0,1401.0,1401.0,1401.0,3,2,4203.0
2021-06-13 21:18:00-04:00,1401.0,1401.0,1401.0,1401.0,2,2,2802.0
2021-06-13 21:20:00-04:00,1402.0,1402.0,1402.0,1402.0,1,1,1402.0
2021-06-13 21:31:00-04:00,1402.75,1402.75,1402.75,1402.75,1,1,1402.75
2021-06-13 21:36:00-04:00,1403.0,1403.0,1403.0,1403.0,4,1,5612.0
2021-06-13 21:45:00-04:00,1403.0,1403.0,1403.0,1403.0,1,1,1403.0
2021-06-13 21:57:00-04:00,1404.25,1404.5,1404.25,1404.5,8,2,11234.75
2021-06-13 22:07:00-04:00,1405.25,1405.25,1405.25,1405.25,1,1,1405.25
2021-06-13 22:12:00-04:00,1404.0,1404.0,1404.0,1404.0,2,1,2808.0
2021-06-13 22:14:00-04:00,1404.25,1404.25,1404.25,1404.25,2,1,2808.5
2021-06-13 22:18:00-04:00,1406.5,1406.75,1406.5,1406.75,2,2,2813.25
2021-06-13 22:20:00-04:00,1406.0,1406.0,1406.0,1406.0,1,1,1406.0
2021-06-13 22:38:00-04:00,1407.25,1407.25,1407.25,1407.25,1,1,1407.25
2021-06-14 00:12:00-04:00,1403.75,1403.75,1403.75,1403.75,7,1,9826.25
2021-06-14 00:15:00-04:00,1404.0,1404.0,1403.25,1403.25,11,2,15443.25
2021-06-14 00:31:00-04:00,1404.0,1404.0,1404.0,1404.0,2,1,2808.0
2021-06-14 00:32:00-04:00,1403.75,1403.75,1403.75,1403.75,1,1,1403.75
2021-06-14 00:33:00-04:00,1403.75,1403.75,1403.75,1403.75,2,2,2807.5
2021-06-14 00:34:00-04:00,1404.0,1404.0,1404.0,1404.0,1,1,1404.0
2021-06-14 00:43:00-04:00,1404.0,1404.0,1404.0,1404.0,2,2,2808.0
2021-06-14 00:45:00-04:00,1403.5,1403.5,1403.5,1403.5,3,2,4210.5
2021-06-14 00:46:00-04:00,1404.25,1404.75,1404.0,1404.0,16,15,22468.5
2021-06-14 00:47:00-04:00,1404.0,1404.0,1404.0,1404.0,5,5,7020.0
2021-06-14 00:48:00-04:00,1403.75,1403.75,1403.75,1403.75,1,1,1403.75
2021-06-14 00:51:00-04:00,1405.75,1406.0,1405.75,1406.0,4,3,5623.75
2021-06-14 00:52:00-04:00,1406.0,1406.25,1406.0,1406.0,6,5,8437.0
2021-06-14 01:01:00-04:00,1406.0,1406.0,1406.0,1406.0,2,1,2812.0
2021-06-14 01:02:00-04:00,1406.0,1406.0,1406.0,1406.0,2,1,2812.0
2021-06-14 01:06:00-04:00,1406.5,1406.5,1406.5,1406.5,1,1,1406.5
2021-06-14 01:13:00-04:00,1406.75,1406.75,1406.75,1406.75,5,4,7033.75
2021-06-14 01:14:00-04:00,1406.75,1406.75,1406.75,1406.75,1,1,1406.75
2021-06-14 01:50:00-04:00,1410.0,1410.5,1410.0,1410.5,2,2,2820.5
2021-06-14 01:54:00-04:00,1410.25,1410.25,1410.25,1410.25,1,1,1410.25
2021-06-14 01:58:00-04:00,1409.75,1409.75,1409.25,1409.25,2,2,2819.0
2021-06-14 02:24:00-04:00,1407.75,1407.75,1407.75,1407.75,1,1,1407.75
2021-06-14 02:27:00-04:00,1405.75,1405.75,1405.75,1405.75,5,1,7028.75
2021-06-14 02:28:00-04:00,1406.25,1406.25,1406.25,1406.25,1,1,1406.25
2021-06-14 03:06:00-04:00,1407.5,1407.5,1407.5,1407.5,2,1,2815.0
2021-06-14 03:08:00-04:00,1408.25,1408.25,1408.25,1408.25,1,1,1408.25
2021-06-14 03:30:00-04:00,1409.0,1409.0,1408.75,1408.75,5,3,7044.75
2021-06-14 03:34:00-04:00,1409.5,1409.5,1409.5,1409.5,1,1,1409.5
2021-06-14 03:40:00-04:00,1409.25,1409.25,1409.0,1409.0,2,2,2818.25
2021-06-14 03:51:00-04:00,1411.75,1411.75,1411.75,1411.75,3,1,4235.25
2021-06-14 03:56:00-04:00,1411.5,1411.5,1411.5,1411.5,1,1,1411.5
2021-06-14 04:00:00-04:00,1409.5,1409.5,1409.5,1409.5,1,1,1409.5
2021-06-14 04:10:00-04:00,1410.0,1410.0,1410.0,1410.0,1,1,1410.0
2021-06-14 04:11:00-04:00,1410.25,1410.25,1410.25,1410.25,1,1,1410.25
2021-06-14 04:16:00-04:00,1410.0,1410.0,1410.0,1410.0,1,1,1410.0
2021-06-14 04:27:00-04:00,1409.25,1409.25,1409.0,1409.0,2,2,2818.25
2021-06-14 04:30:00-04:00,1410.25,1410.25,1409.0,1409.0,6,2,8460.25
2021-06-14 04:31:00-04:00,1409.75,1409.75,1409.75,1409.75,3,2,4229.25
2021-06-14 04:32:00-04:00,1409.75,1409.75,1409.75,1409.75,1,1,1409.75
2021-06-14 04:38:00-04:00,1407.25,1407.25,1407.25,1407.25,4,1,5629.0
2021-06-14 04:40:00-04:00,1405.75,1405.75,1405.75,1405.75,1,1,1405.75
2021-06-14 04:41:00-04:00,1406.25,1406.25,1406.25,1406.25,4,2,5625.0
2021-06-14 04:45:00-04:00,1406.5,1406.5,1406.0,1406.0,5,3,7032.0
2021-06-14 04:51:00-04:00,1405.75,1405.75,1405.75,1405.75,1,1,1405.75
2021-06-14 05:05:00-04:00,1406.0,1406.0,1406.0,1406.0,1,1,1406.0
2021-06-14 05:15:00-04:00,1406.0,1406.0,1406.0,1406.0,1,1,1406.0
2021-06-14 05:16:00-04:00,1406.25,1406.25,1406.25,1406.25,1,1,1406.25
2021-06-14 05:17:00-04:00,1406.25,1406.25,1406.25,1406.25,1,1,1406.25
2021-06-14 05:25:00-04:00,1408.5,1408.5,1408.5,1408.5,1,1,1408.5
2021-06-14 05:29:00-04:00,1408.75,1408.75,1408.75,1408.75,1,1,1408.75
2021-06-14 05:33:00-04:00,1406.5,1406.5,1406.5,1406.5,2,1,2813.0
2021-06-14 05:35:00-04:00,1407.0,1407.0,1407.0,1407.0,1,1,1407.0
2021-06-14 05:45:00-04:00,1403.75,1403.75,1403.75,1403.75,1,1,1403.75
2021-06-14 05:46:00-04:00,1404.0,1404.0,1404.0,1404.0,2,1,2808.0
2021-06-14 05:58:00-04:00,1403.5,1403.5,1403.5,1403.5,1,1,1403.5
2021-06-14 06:04:00-04:00,1404.25,1404.25,1403.5,1403.5,2,2,2807.75
2021-06-14 06:05:00-04:00,1402.0,1402.0,1401.75,1401.75,4,4,5607.5
2021-06-14 06:10:00-04:00,1402.0,1402.0,1402.0,1402.0,5,4,7010.0
2021-06-14 06:18:00-04:00,1402.5,1402.5,1402.5,1402.5,2,1,2805.0
2021-06-14 06:19:00-04:00,1403.0,1403.0,1403.0,1403.0,5,1,7015.0
2021-06-14 06:21:00-04:00,1403.0,1405.5,1403.0,1405.5,11,6,15442.25
2021-06-14 06:22:00-04:00,1406.5,1406.5,1406.5,1406.5,1,1,1406.5
2021-06-14 06:28:00-04:00,1405.5,1405.5,1405.5,1405.5,1,1,1405.5
2021-06-14 06:39:00-04:00,1404.5,1404.5,1404.5,1404.5,1,1,1404.5
2021-06-14 06:46:00-04:00,1405.25,1405.5,1405.25,1405.5,3,2,4216.0
2021-06-14 06:47:00-04:00,1406.5,1406.5,1406.0,1406.0,3,2,4219.0
2021-06-14 07:18:00-04:00,1404.0,1404.25,1404.0,1404.0,3,3,4212.25
2021-06-14 07:30:00-04:00,1401.5,1401.5,1399.75,1399.75,11,5,15403.75
2021-06-14 07:31:00-04:00,1400.0,1400.0,1400.0,1400.0,2,2,2800.0
2021-06-14 07:32:00-04:00,1400.0,1400.0,1400.0,1400.0,1,1,1400.0
2021-06-14 07:33:00-04:00,1400.75,1400.75,1400.75,1400.75,1,1,1400.75
2021-06-14 07:39:00-04:00,1399.75,1399.75,1399.75,1399.75,1,1,1399.75
2021-06-14 07:46:00-04:00,1400.0,1400.0,1400.0,1400.0,2,2,2800.0
2021-06-14 07:48:00-04:00,1400.0,1400.0,1400.0,1400.0,1,1,1400.0
2021-06-14 07:49:00-04:00,1400.25,1400.25,1400.25,1400.25,2,2,2800.5
