,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-23 21:30:00-04:00,81.26,81.26,81.26,81.26,1,1,81.26
2021-06-24 06:00:00-04:00,81.34,81.34,81.34,81.34,1,1,81.34
2021-06-24 06:40:00-04:00,81.41,81.41,81.41,81.41,2,1,162.82
2021-06-24 08:28:00-04:00,81.325,81.325,81.325,81.325,1,1,81.325
2021-06-24 10:56:00-04:00,81.065,81.065,81.065,81.065,2,1,162.13
2021-06-24 10:58:00-04:00,81.05,81.05,81.05,81.05,2,2,162.1
2021-06-24 10:59:00-04:00,81.04,81.04,81.04,81.04,2,1,162.08
2021-06-24 11:10:00-04:00,81.09,81.09,81.09,81.09,1,1,81.09
2021-06-24 11:40:00-04:00,81.1,81.1,81.1,81.1,1,1,81.1
2021-06-24 11:43:00-04:00,81.105,81.105,81.105,81.105,2,1,162.21
2021-06-24 12:21:00-04:00,81.105,81.105,81.105,81.105,1,1,81.105
2021-06-24 12:49:00-04:00,81.21,81.21,81.21,81.21,1,1,81.21
2021-06-24 13:55:00-04:00,81.19,81.19,81.19,81.19,1,1,81.19
