,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-19 18:47:00-04:00,77.945,77.945,77.945,77.945,1,1,77.945
2021-08-19 19:18:00-04:00,77.945,77.945,77.945,77.945,1,1,77.945
2021-08-19 20:32:00-04:00,77.995,77.995,77.995,77.995,1,1,77.995
2021-08-20 00:46:00-04:00,77.75,77.75,77.75,77.75,1,1,77.75
2021-08-20 01:16:00-04:00,77.575,77.575,77.555,77.56,4,4,310.255
2021-08-20 01:17:00-04:00,77.53,77.53,77.53,77.53,1,1,77.53
2021-08-20 02:19:00-04:00,77.735,77.735,77.735,77.735,1,1,77.735
2021-08-20 02:50:00-04:00,77.6,77.6,77.6,77.6,1,1,77.6
2021-08-20 03:27:00-04:00,77.45,77.45,77.405,77.405,4,3,309.745
2021-08-20 05:13:00-04:00,77.295,77.295,77.295,77.295,1,1,77.295
2021-08-20 05:27:00-04:00,77.25,77.25,77.25,77.25,3,1,231.75
2021-08-20 06:11:00-04:00,77.385,77.385,77.385,77.385,1,1,77.385
2021-08-20 06:29:00-04:00,77.45,77.45,77.45,77.45,1,1,77.45
2021-08-20 09:43:00-04:00,77.645,77.645,77.645,77.645,1,1,77.645
2021-08-20 10:11:00-04:00,77.77,77.775,77.77,77.775,3,2,233.32
2021-08-20 10:18:00-04:00,77.845,77.89,77.845,77.89,2,2,155.735
2021-08-20 12:32:00-04:00,77.88,77.88,77.88,77.88,1,1,77.88
