,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-19 19:57:00-04:00,77.92,77.92,77.92,77.92,1,1,77.92
2021-08-19 20:09:00-04:00,77.975,77.975,77.975,77.975,1,1,77.975
2021-08-19 20:30:00-04:00,77.99,77.99,77.99,77.99,3,1,233.97
2021-08-19 20:31:00-04:00,77.995,77.995,77.995,77.995,1,1,77.995
2021-08-19 20:55:00-04:00,78.02,78.02,78.02,78.02,1,1,78.02
2021-08-19 21:09:00-04:00,78.005,78.005,78.005,78.005,2,1,156.01
2021-08-19 21:39:00-04:00,77.915,77.915,77.915,77.915,3,2,233.745
2021-08-19 21:45:00-04:00,77.815,77.815,77.81,77.81,3,2,233.44
2021-08-19 22:14:00-04:00,77.735,77.745,77.735,77.745,12,6,932.92
2021-08-19 22:15:00-04:00,77.745,77.745,77.745,77.745,15,8,1166.175
2021-08-19 22:44:00-04:00,77.74,77.74,77.74,77.74,1,1,77.74
2021-08-19 23:16:00-04:00,77.8,77.8,77.8,77.8,1,1,77.8
2021-08-19 23:56:00-04:00,77.785,77.785,77.785,77.785,1,1,77.785
2021-08-20 00:15:00-04:00,77.805,77.805,77.805,77.805,1,1,77.805
2021-08-20 00:30:00-04:00,77.79,77.79,77.79,77.79,2,1,155.58
2021-08-20 00:31:00-04:00,77.795,77.795,77.795,77.795,3,2,233.385
2021-08-20 00:32:00-04:00,77.79,77.79,77.79,77.79,2,1,155.58
2021-08-20 00:37:00-04:00,77.77,77.77,77.77,77.77,1,1,77.77
2021-08-20 00:59:00-04:00,77.75,77.75,77.75,77.75,1,1,77.75
2021-08-20 01:14:00-04:00,77.65,77.65,77.65,77.65,6,1,465.9
2021-08-20 01:15:00-04:00,77.645,77.645,77.645,77.645,2,1,155.29
2021-08-20 01:16:00-04:00,77.595,77.595,77.55,77.55,5,2,387.84
2021-08-20 01:17:00-04:00,77.53,77.53,77.495,77.495,27,7,2092.42
2021-08-20 01:18:00-04:00,77.515,77.515,77.515,77.515,2,1,155.03
2021-08-20 01:29:00-04:00,77.59,77.59,77.59,77.59,1,1,77.59
2021-08-20 01:32:00-04:00,77.62,77.62,77.62,77.62,3,2,232.86
2021-08-20 01:41:00-04:00,77.65,77.65,77.65,77.65,1,1,77.65
2021-08-20 01:46:00-04:00,77.69,77.69,77.69,77.69,1,1,77.69
2021-08-20 01:51:00-04:00,77.72,77.72,77.72,77.72,1,1,77.72
2021-08-20 01:56:00-04:00,77.715,77.715,77.715,77.715,2,1,155.43
2021-08-20 02:00:00-04:00,77.71,77.71,77.71,77.71,2,1,155.42
2021-08-20 02:15:00-04:00,77.76,77.76,77.76,77.76,2,1,155.52
2021-08-20 02:19:00-04:00,77.73,77.73,77.73,77.73,2,1,155.46
2021-08-20 02:29:00-04:00,77.725,77.725,77.725,77.725,1,1,77.725
2021-08-20 02:35:00-04:00,77.68,77.68,77.68,77.68,1,1,77.68
2021-08-20 02:39:00-04:00,77.71,77.71,77.71,77.71,1,1,77.71
2021-08-20 02:47:00-04:00,77.61,77.61,77.61,77.61,2,1,155.22
2021-08-20 02:50:00-04:00,77.595,77.595,77.595,77.595,2,1,155.19
2021-08-20 02:53:00-04:00,77.625,77.625,77.625,77.625,2,1,155.25
2021-08-20 03:09:00-04:00,77.575,77.575,77.575,77.575,1,1,77.575
2021-08-20 03:10:00-04:00,77.57,77.57,77.57,77.57,1,1,77.57
2021-08-20 03:25:00-04:00,77.445,77.445,77.44,77.44,3,2,232.325
2021-08-20 03:27:00-04:00,77.445,77.445,77.4,77.4,16,4,1238.85
2021-08-20 03:28:00-04:00,77.39,77.39,77.39,77.39,1,1,77.39
2021-08-20 03:40:00-04:00,77.455,77.455,77.455,77.455,1,1,77.455
2021-08-20 03:51:00-04:00,77.445,77.445,77.445,77.445,1,1,77.445
2021-08-20 03:52:00-04:00,77.445,77.445,77.445,77.445,1,1,77.445
2021-08-20 03:54:00-04:00,77.415,77.415,77.415,77.415,1,1,77.415
2021-08-20 04:04:00-04:00,77.52,77.52,77.52,77.52,1,1,77.52
2021-08-20 04:06:00-04:00,77.5,77.5,77.5,77.5,2,1,155.0
2021-08-20 04:14:00-04:00,77.465,77.465,77.465,77.465,1,1,77.465
2021-08-20 04:20:00-04:00,77.465,77.465,77.465,77.465,1,1,77.465
2021-08-20 04:21:00-04:00,77.445,77.445,77.445,77.445,1,1,77.445
2021-08-20 04:22:00-04:00,77.44,77.44,77.44,77.44,1,1,77.44
2021-08-20 04:29:00-04:00,77.435,77.435,77.435,77.435,1,1,77.435
2021-08-20 04:41:00-04:00,77.35,77.35,77.35,77.35,2,1,154.7
2021-08-20 05:13:00-04:00,77.29,77.29,77.285,77.285,5,3,386.435
2021-08-20 05:16:00-04:00,77.265,77.265,77.265,77.265,4,1,309.06
2021-08-20 05:20:00-04:00,77.24,77.24,77.24,77.24,1,1,77.24
2021-08-20 05:27:00-04:00,77.25,77.25,77.25,77.25,12,1,927.0
2021-08-20 05:31:00-04:00,77.27,77.27,77.27,77.27,6,2,463.62
2021-08-20 05:44:00-04:00,77.335,77.335,77.335,77.335,1,1,77.335
2021-08-20 05:48:00-04:00,77.34,77.34,77.34,77.34,1,1,77.34
2021-08-20 06:04:00-04:00,77.37,77.37,77.37,77.37,1,1,77.37
2021-08-20 06:11:00-04:00,77.37,77.37,77.37,77.37,1,1,77.37
2021-08-20 06:14:00-04:00,77.365,77.365,77.365,77.365,1,1,77.365
2021-08-20 06:31:00-04:00,77.445,77.445,77.445,77.445,2,1,154.89
2021-08-20 06:44:00-04:00,77.47,77.47,77.47,77.47,1,1,77.47
2021-08-20 06:45:00-04:00,77.47,77.47,77.47,77.47,2,1,154.94
2021-08-20 06:54:00-04:00,77.44,77.44,77.44,77.44,1,1,77.44
2021-08-20 06:56:00-04:00,77.45,77.45,77.45,77.45,4,1,309.8
2021-08-20 07:10:00-04:00,77.395,77.395,77.395,77.395,1,1,77.395
2021-08-20 07:17:00-04:00,77.395,77.395,77.395,77.395,2,1,154.79
2021-08-20 07:23:00-04:00,77.44,77.44,77.44,77.44,2,1,154.88
2021-08-20 07:39:00-04:00,77.48,77.48,77.48,77.48,1,1,77.48
2021-08-20 08:21:00-04:00,77.445,77.445,77.445,77.445,1,1,77.445
2021-08-20 08:26:00-04:00,77.5,77.5,77.5,77.5,2,1,155.0
2021-08-20 08:28:00-04:00,77.53,77.535,77.53,77.535,4,2,310.13
2021-08-20 08:31:00-04:00,77.485,77.485,77.485,77.485,2,1,154.97
2021-08-20 08:41:00-04:00,77.495,77.495,77.495,77.495,1,1,77.495
2021-08-20 08:42:00-04:00,77.47,77.47,77.47,77.47,2,1,154.94
2021-08-20 09:08:00-04:00,77.545,77.57,77.545,77.57,37,4,2869.935
2021-08-20 09:09:00-04:00,77.57,77.57,77.57,77.57,3,2,232.71
2021-08-20 09:18:00-04:00,77.595,77.6,77.595,77.6,12,2,931.165
2021-08-20 09:22:00-04:00,77.57,77.57,77.57,77.57,10,5,775.7
2021-08-20 09:24:00-04:00,77.555,77.56,77.555,77.56,13,2,1008.245
2021-08-20 09:28:00-04:00,77.565,77.565,77.565,77.565,1,1,77.565
2021-08-20 09:38:00-04:00,77.6,77.6,77.6,77.6,2,2,155.2
2021-08-20 09:41:00-04:00,77.585,77.585,77.585,77.585,2,2,155.17
2021-08-20 09:43:00-04:00,77.625,77.64,77.625,77.64,5,3,388.16
2021-08-20 09:44:00-04:00,77.62,77.695,77.62,77.675,9,5,698.78
2021-08-20 09:45:00-04:00,77.7,77.7,77.7,77.7,1,1,77.7
2021-08-20 09:47:00-04:00,77.755,77.755,77.755,77.755,1,1,77.755
2021-08-20 09:52:00-04:00,77.765,77.765,77.765,77.765,1,1,77.765
2021-08-20 09:56:00-04:00,77.765,77.765,77.765,77.765,5,1,388.825
2021-08-20 10:01:00-04:00,77.765,77.765,77.765,77.765,3,1,233.295
2021-08-20 10:05:00-04:00,77.78,77.78,77.78,77.78,9,4,700.02
2021-08-20 10:08:00-04:00,77.8,77.8,77.8,77.8,1,1,77.8
2021-08-20 10:11:00-04:00,77.765,77.785,77.765,77.77,17,7,1322.105
2021-08-20 10:13:00-04:00,77.8,77.8,77.8,77.8,4,1,311.2
2021-08-20 10:14:00-04:00,77.79,77.79,77.79,77.79,1,1,77.79
2021-08-20 10:17:00-04:00,77.79,77.79,77.785,77.785,16,5,1244.595
2021-08-20 10:18:00-04:00,77.84,77.885,77.84,77.885,5,3,389.295
2021-08-20 10:20:00-04:00,77.895,77.895,77.895,77.895,2,1,155.79
2021-08-20 10:21:00-04:00,77.89,77.89,77.86,77.86,5,2,389.33
2021-08-20 10:23:00-04:00,77.825,77.825,77.825,77.825,2,1,155.65
2021-08-20 10:26:00-04:00,77.83,77.83,77.83,77.83,1,1,77.83
2021-08-20 10:28:00-04:00,77.815,77.815,77.81,77.81,4,4,311.255
2021-08-20 10:29:00-04:00,77.815,77.815,77.8,77.81,6,5,466.85
2021-08-20 10:30:00-04:00,77.79,77.79,77.79,77.79,1,1,77.79
2021-08-20 10:31:00-04:00,77.78,77.78,77.78,77.78,1,1,77.78
2021-08-20 10:39:00-04:00,77.81,77.815,77.81,77.815,12,2,933.745
2021-08-20 10:42:00-04:00,77.79,77.795,77.79,77.795,3,3,233.38
2021-08-20 10:43:00-04:00,77.805,77.805,77.805,77.805,1,1,77.805
2021-08-20 10:50:00-04:00,77.715,77.715,77.715,77.715,1,1,77.715
2021-08-20 10:52:00-04:00,77.71,77.71,77.71,77.71,2,1,155.42
2021-08-20 10:54:00-04:00,77.695,77.7,77.695,77.7,2,2,155.395
2021-08-20 10:59:00-04:00,77.675,77.675,77.675,77.675,2,1,155.35
2021-08-20 11:08:00-04:00,77.8,77.8,77.8,77.8,12,5,933.6
2021-08-20 11:09:00-04:00,77.8,77.8,77.8,77.8,3,2,233.4
2021-08-20 11:16:00-04:00,77.795,77.795,77.795,77.795,2,1,155.59
2021-08-20 11:17:00-04:00,77.8,77.8,77.8,77.8,5,3,389.0
2021-08-20 11:20:00-04:00,77.815,77.815,77.81,77.81,2,2,155.625
2021-08-20 11:36:00-04:00,77.81,77.81,77.81,77.81,1,1,77.81
2021-08-20 11:43:00-04:00,77.75,77.75,77.75,77.75,2,2,155.5
2021-08-20 11:44:00-04:00,77.75,77.755,77.75,77.755,2,2,155.505
2021-08-20 11:56:00-04:00,77.76,77.76,77.76,77.76,1,1,77.76
2021-08-20 12:06:00-04:00,77.845,77.85,77.845,77.85,2,2,155.695
2021-08-20 12:10:00-04:00,77.835,77.835,77.835,77.835,1,1,77.835
2021-08-20 12:24:00-04:00,77.865,77.865,77.865,77.865,2,1,155.73
2021-08-20 12:25:00-04:00,77.87,77.87,77.87,77.87,1,1,77.87
2021-08-20 13:22:00-04:00,77.87,77.87,77.87,77.87,2,2,155.74
2021-08-20 13:25:00-04:00,77.88,77.88,77.88,77.88,1,1,77.88
2021-08-20 13:36:00-04:00,77.845,77.845,77.845,77.845,10,5,778.45
2021-08-20 14:00:00-04:00,77.85,77.85,77.85,77.85,1,1,77.85
2021-08-20 14:02:00-04:00,77.86,77.86,77.86,77.86,1,1,77.86
2021-08-20 14:08:00-04:00,77.865,77.865,77.865,77.865,1,1,77.865
