,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-19 18:10:00-04:00,77.93,77.93,77.93,77.93,1,1,77.93
2021-08-19 20:31:00-04:00,77.995,77.995,77.995,77.995,1,1,77.995
2021-08-20 01:17:00-04:00,77.5,77.5,77.5,77.5,45,7,3487.5
2021-08-20 01:34:00-04:00,77.635,77.635,77.635,77.635,1,1,77.635
2021-08-20 02:40:00-04:00,77.735,77.735,77.735,77.735,1,1,77.735
2021-08-20 05:56:00-04:00,77.32,77.32,77.32,77.32,4,4,309.28
2021-08-20 06:13:00-04:00,77.345,77.345,77.345,77.345,1,1,77.345
2021-08-20 07:47:00-04:00,77.5,77.5,77.5,77.5,2,2,155.0
2021-08-20 09:03:00-04:00,77.49,77.49,77.49,77.49,5,1,387.45
2021-08-20 09:08:00-04:00,77.54,77.54,77.54,77.54,10,3,775.4
2021-08-20 09:10:00-04:00,77.58,77.58,77.58,77.58,10,2,775.8
2021-08-20 09:49:00-04:00,77.77,77.77,77.77,77.77,10,10,777.7
2021-08-20 09:50:00-04:00,77.77,77.77,77.77,77.77,1,1,77.77
2021-08-20 10:28:00-04:00,77.83,77.835,77.83,77.835,6,4,467.005
2021-08-20 10:48:00-04:00,77.765,77.78,77.765,77.78,10,3,777.75
2021-08-20 11:11:00-04:00,77.81,77.81,77.81,77.81,1,1,77.81
2021-08-20 12:59:00-04:00,77.885,77.885,77.88,77.88,7,2,545.17
2021-08-20 13:25:00-04:00,77.88,77.88,77.88,77.88,1,1,77.88
2021-08-20 13:52:00-04:00,77.85,77.85,77.85,77.85,1,1,77.85
2021-08-20 14:03:00-04:00,77.855,77.855,77.85,77.85,6,2,467.11
2021-08-20 14:41:00-04:00,77.87,77.87,77.87,77.87,3,2,233.61
