,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-23 20:00:00-04:00,1466.5,1467.0,1462.0,1463.75,27,19,39568.25
2021-05-23 20:01:00-04:00,1464.0,1464.0,1464.0,1464.0,1,1,1464.0
2021-05-23 20:03:00-04:00,1466.25,1466.25,1464.5,1464.5,2,2,2930.75
2021-05-23 20:05:00-04:00,1464.0,1464.0,1464.0,1464.0,11,8,16104.0
2021-05-23 20:06:00-04:00,1464.75,1464.75,1464.0,1464.0,12,9,17569.75
2021-05-23 20:07:00-04:00,1463.25,1463.25,1462.5,1463.0,14,4,20482.0
2021-05-23 20:08:00-04:00,1461.25,1461.25,1458.75,1458.75,26,16,37960.25
2021-05-23 20:09:00-04:00,1460.0,1460.0,1458.0,1458.5,28,16,40849.5
2021-05-23 20:10:00-04:00,1459.0,1459.0,1458.25,1459.0,19,10,27711.0
2021-05-23 20:11:00-04:00,1459.5,1459.5,1459.0,1459.0,4,2,5837.0
2021-05-23 20:12:00-04:00,1459.25,1460.25,1459.25,1460.25,3,3,4379.0
2021-05-23 20:13:00-04:00,1459.25,1459.25,1459.25,1459.25,1,1,1459.25
2021-05-23 20:14:00-04:00,1458.75,1458.75,1457.75,1458.5,5,4,7292.0
2021-05-23 20:15:00-04:00,1459.75,1461.25,1459.75,1460.0,8,4,11683.25
2021-05-23 20:19:00-04:00,1461.25,1461.25,1461.25,1461.25,2,1,2922.5
2021-05-23 20:22:00-04:00,1460.0,1460.0,1460.0,1460.0,1,1,1460.0
2021-05-23 20:24:00-04:00,1458.75,1458.75,1458.75,1458.75,2,1,2917.5
2021-05-23 20:25:00-04:00,1459.0,1459.5,1459.0,1459.5,4,2,5837.5
2021-05-23 20:26:00-04:00,1459.75,1459.75,1459.75,1459.75,1,1,1459.75
2021-05-23 20:27:00-04:00,1460.0,1460.0,1460.0,1460.0,2,2,2920.0
2021-05-23 20:30:00-04:00,1460.0,1460.5,1460.0,1460.5,9,2,13143.5
2021-05-23 20:31:00-04:00,1461.25,1461.5,1461.25,1461.5,7,4,10230.0
2021-05-23 20:34:00-04:00,1461.5,1461.5,1461.5,1461.5,1,1,1461.5
2021-05-23 20:35:00-04:00,1461.25,1461.25,1460.5,1460.5,3,2,4383.0
2021-05-23 20:41:00-04:00,1459.75,1460.25,1459.5,1459.5,17,9,24821.25
