,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-23 20:00:00-04:00,1329.5,1330.0,1329.0,1329.0,4,4,5318.25
2021-05-23 20:01:00-04:00,1329.0,1330.25,1329.0,1330.25,3,3,3989.25
2021-05-23 20:02:00-04:00,1330.5,1330.5,1330.5,1330.5,1,1,1330.5
2021-05-23 20:04:00-04:00,1330.5,1330.5,1330.5,1330.5,1,1,1330.5
2021-05-23 20:06:00-04:00,1328.25,1328.25,1327.75,1327.75,3,3,3984.0
2021-05-23 20:08:00-04:00,1326.5,1326.5,1323.0,1324.25,23,19,30461.5
2021-05-23 20:09:00-04:00,1324.5,1324.5,1323.0,1323.25,4,4,5294.0
2021-05-23 20:10:00-04:00,1324.25,1325.75,1324.25,1325.75,2,2,2650.0
2021-05-23 20:12:00-04:00,1325.75,1325.75,1325.75,1325.75,1,1,1325.75
2021-05-23 20:13:00-04:00,1324.75,1324.75,1323.75,1323.75,2,2,2648.5
2021-05-23 20:14:00-04:00,1323.75,1323.75,1323.75,1323.75,1,1,1323.75
2021-05-23 20:39:00-04:00,1325.0,1325.0,1325.0,1325.0,1,1,1325.0
2021-05-23 21:00:00-04:00,1323.0,1323.0,1322.75,1322.75,2,2,2645.75
2021-05-23 21:04:00-04:00,1321.75,1321.75,1321.0,1321.0,4,4,5285.5
2021-05-23 21:07:00-04:00,1319.25,1319.25,1319.25,1319.25,1,1,1319.25
2021-05-23 21:11:00-04:00,1321.0,1321.0,1321.0,1321.0,1,1,1321.0
2021-05-23 21:18:00-04:00,1320.25,1320.25,1320.25,1320.25,1,1,1320.25
2021-05-23 21:19:00-04:00,1320.25,1320.25,1320.25,1320.25,1,1,1320.25
2021-05-23 21:22:00-04:00,1319.0,1319.0,1319.0,1319.0,2,1,2638.0
2021-05-23 21:23:00-04:00,1318.75,1319.0,1318.75,1319.0,2,2,2637.75
2021-05-23 21:24:00-04:00,1318.75,1318.75,1318.75,1318.75,1,1,1318.75
2021-05-23 21:32:00-04:00,1318.25,1318.25,1318.25,1318.25,1,1,1318.25
2021-05-23 21:42:00-04:00,1319.0,1319.0,1319.0,1319.0,2,1,2638.0
2021-05-23 21:51:00-04:00,1320.0,1320.0,1320.0,1320.0,1,1,1320.0
2021-05-23 21:54:00-04:00,1321.0,1321.0,1321.0,1321.0,1,1,1321.0
2021-05-23 22:03:00-04:00,1320.5,1320.5,1320.5,1320.5,1,1,1320.5
2021-05-23 22:46:00-04:00,1323.5,1324.0,1323.5,1324.0,2,2,2647.5
2021-05-23 23:00:00-04:00,1324.5,1324.5,1324.5,1324.5,1,1,1324.5
2021-05-23 23:19:00-04:00,1324.5,1324.5,1324.5,1324.5,5,2,6622.5
2021-05-23 23:31:00-04:00,1324.25,1324.25,1324.25,1324.25,1,1,1324.25
2021-05-23 23:39:00-04:00,1323.5,1323.5,1323.5,1323.5,1,1,1323.5
2021-05-24 02:33:00-04:00,1323.5,1323.5,1323.5,1323.5,5,2,6617.5
2021-05-24 02:35:00-04:00,1323.5,1323.5,1323.5,1323.5,6,1,7941.0
