,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-11 22:57:00-04:00,80.075,80.075,80.075,80.075,1,1,80.075
2021-10-12 01:59:00-04:00,80.14,80.14,80.14,80.14,5,1,400.7
2021-10-12 06:59:00-04:00,80.29,80.29,80.29,80.29,1,1,80.29
2021-10-12 09:55:00-04:00,80.26,80.26,80.26,80.26,2,1,160.52
2021-10-12 11:41:00-04:00,80.31,80.31,80.31,80.31,3,1,240.93
2021-10-12 11:43:00-04:00,80.295,80.295,80.295,80.295,1,1,80.295
2021-10-12 11:46:00-04:00,80.29,80.29,80.29,80.29,1,1,80.29
2021-10-12 11:57:00-04:00,80.36,80.365,80.36,80.365,2,2,160.725
2021-10-12 13:11:00-04:00,80.235,80.235,80.235,80.235,1,1,80.235
2021-10-12 13:27:00-04:00,80.205,80.205,80.205,80.205,1,1,80.205
2021-10-12 13:38:00-04:00,80.24,80.24,80.24,80.24,1,1,80.24
2021-10-12 13:52:00-04:00,80.295,80.295,80.295,80.295,1,1,80.295
