,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty
,open,high,low,close,volume,num_trds,value
2021-08-23 20:00:00-04:00,1310.25,1311.25,1309.5,1311.25,6,6,7862.0
2021-08-23 20:01:00-04:00,1308.75,1308.75,1308.75,1308.75,1,1,1308.75
2021-08-23 20:06:00-04:00,1307.25,1307.25,1306.25,1306.75,7,7,9147.25
2021-08-23 20:17:00-04:00,1306.5,1306.5,1306.5,1306.5,2,1,2613.0
2021-08-23 21:02:00-04:00,1306.25,1306.25,1306.25,1306.25,1,1,1306.25
2021-08-23 21:04:00-04:00,1307.25,1307.25,1307.25,1307.25,1,1,1307.25
2021-08-23 21:05:00-04:00,1307.5,1308.0,1307.5,1308.0,2,2,2615.5
2021-08-23 21:06:00-04:00,1307.0,1307.5,1307.0,1307.5,2,2,2614.5
2021-08-23 21:07:00-04:00,1307.75,1307.75,1307.75,1307.75,1,1,1307.75
2021-08-23 21:11:00-04:00,1308.25,1308.25,1308.25,1308.25,1,1,1308.25
2021-08-23 21:16:00-04:00,1308.5,1308.5,1308.5,1308.5,1,1,1308.5
2021-08-23 21:18:00-04:00,1307.5,1307.75,1307.5,1307.75,2,2,2615.25
2021-08-23 21:19:00-04:00,1307.5,1307.75,1307.25,1307.25,3,3,3922.5
2021-08-23 21:21:00-04:00,1307.5,1307.5,1307.5,1307.5,1,1,1307.5
2021-08-23 21:23:00-04:00,1307.5,1307.5,1307.5,1307.5,1,1,1307.5
2021-08-23 21:35:00-04:00,1308.25,1308.25,1308.25,1308.25,1,1,1308.25
2021-08-23 21:52:00-04:00,1311.75,1311.75,1311.75,1311.75,1,1,1311.75
2021-08-23 21:57:00-04:00,1312.75,1312.75,1312.75,1312.75,2,2,2625.5
2021-08-23 21:58:00-04:00,1313.75,1314.25,1313.75,1314.25,3,3,3942.0
2021-08-23 22:02:00-04:00,1312.75,1312.75,1312.75,1312.75,1,1,1312.75
2021-08-23 22:04:00-04:00,1312.25,1313.5,1312.25,1313.0,6,6,7877.75
