,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-26 18:11:00-04:00,79.695,79.695,79.695,79.695,3,1,239.085
2021-07-27 08:13:00-04:00,79.54,79.54,79.54,79.54,2,2,159.08
2021-07-27 08:14:00-04:00,79.545,79.55,79.545,79.55,8,8,636.37
2021-07-27 08:24:00-04:00,79.61,79.61,79.61,79.61,1,1,79.61
2021-07-27 08:27:00-04:00,79.595,79.6,79.595,79.6,5,5,397.99
2021-07-27 09:59:00-04:00,79.485,79.485,79.485,79.485,2,1,158.97
2021-07-27 10:00:00-04:00,79.545,79.545,79.49,79.49,11,4,874.695
2021-07-27 10:23:00-04:00,79.435,79.435,79.435,79.435,2,1,158.87
2021-07-27 10:43:00-04:00,79.525,79.525,79.52,79.525,5,5,397.615
2021-07-27 11:00:00-04:00,79.575,79.575,79.57,79.57,5,5,397.86
2021-07-27 11:57:00-04:00,79.5,79.5,79.5,79.5,1,1,79.5
