,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-27 03:15:00-04:00,79.5,79.5,79.5,79.5,1,1,79.5
2021-07-27 03:24:00-04:00,79.46,79.46,79.46,79.46,1,1,79.46
2021-07-27 09:31:00-04:00,79.53,79.53,79.53,79.53,10,2,795.3
2021-07-27 09:59:00-04:00,79.475,79.485,79.475,79.485,3,3,238.44
2021-07-27 10:00:00-04:00,79.54,79.54,79.485,79.485,5,5,397.51
2021-07-27 10:02:00-04:00,79.535,79.535,79.535,79.535,1,1,79.535
2021-07-27 10:03:00-04:00,79.535,79.535,79.535,79.535,1,1,79.535
2021-07-27 10:14:00-04:00,79.445,79.445,79.445,79.445,1,1,79.445
2021-07-27 10:47:00-04:00,79.525,79.525,79.525,79.525,10,2,795.25
2021-07-27 10:50:00-04:00,79.515,79.515,79.515,79.515,8,1,636.12
2021-07-27 11:06:00-04:00,79.57,79.57,79.57,79.57,5,1,397.85
2021-07-27 11:45:00-04:00,79.475,79.475,79.475,79.475,1,1,79.475
