,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-28 02:27:00-04:00,79.52,79.52,79.52,79.52,1,1,79.52
2021-07-28 02:33:00-04:00,79.515,79.515,79.515,79.515,2,2,159.03
2021-07-28 04:54:00-04:00,79.55,79.55,79.55,79.55,2,1,159.1
2021-07-28 04:56:00-04:00,79.565,79.565,79.565,79.565,1,1,79.565
2021-07-28 05:12:00-04:00,79.6,79.6,79.6,79.6,1,1,79.6
2021-07-28 08:56:00-04:00,79.5,79.5,79.5,79.5,1,1,79.5
2021-07-28 09:03:00-04:00,79.485,79.485,79.485,79.485,1,1,79.485
2021-07-28 11:40:00-04:00,79.6,79.6,79.6,79.6,1,1,79.6
2021-07-28 11:51:00-04:00,79.61,79.615,79.61,79.615,3,2,238.84
2021-07-28 14:01:00-04:00,79.44,79.44,79.44,79.44,1,1,79.44
2021-07-28 14:05:00-04:00,79.48,79.48,79.48,79.48,1,1,79.48
2021-07-28 14:21:00-04:00,79.6,79.6,79.6,79.6,1,1,79.6
2021-07-28 14:39:00-04:00,79.675,79.675,79.675,79.675,1,1,79.675
